,what,happened,to,his,ribs,in,the,accident,?
tesla,0.23221199214458466,0.11394373327493668,0.17548894882202148,0.1580733060836792,0.09673763811588287,0.17097744345664978,0.1324402391910553,0.1518668681383133,0.10250775516033173
's,0.02692362666130066,-0.012165569700300694,0.03782717138528824,0.047556519508361816,-0.03453919664025307,-0.037580832839012146,-0.01540423184633255,-0.058824557811021805,-0.023395681753754616
back,0.2965294420719147,0.2772162854671478,0.4675939381122589,0.3421434462070465,0.24858121573925018,0.25397348403930664,0.3612101674079895,0.17798557877540588,0.2397768795490265
was,0.22111038863658905,0.36671528220176697,0.3636345863342285,0.4405253231525421,0.1290595680475235,0.45514053106307983,0.48711544275283813,0.27127954363822937,0.18412111699581146
severely,0.19176317751407623,0.2679477035999298,0.2500481903553009,0.32666435837745667,0.1981777846813202,0.2145220786333084,0.266305536031723,0.33734989166259766,0.165714293718338
wrenched,0.22371390461921692,0.24982158839702606,0.23326534032821655,0.2052505910396576,0.4151546359062195,0.20583593845367432,0.2825797200202942,0.16763858497142792,0.1931677907705307
and,0.31309178471565247,0.22602374851703644,0.48971283435821533,0.4234102666378021,0.1790129840373993,0.4954058527946472,0.5171257257461548,0.17653004825115204,0.20544172823429108
three,0.24888746440410614,0.24494783580303192,0.3043823838233948,0.2982024848461151,0.2539616525173187,0.34828072786331177,0.43452659249305725,0.14650876820087433,0.20928427577018738
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.38364991545677185,0.1764022409915924,0.5696388483047485,0.733189046382904,0.1727704554796219,0.1826142966747284
his,0.26976513862609863,0.21838653087615967,0.3715193271636963,0.9999998807907104,0.18729837238788605,0.3598145842552185,0.4394008219242096,0.2630104422569275,0.18075084686279297
ribs,0.1340993344783783,0.13400402665138245,0.10475406050682068,0.18729837238788605,1.0,0.13166657090187073,0.23325857520103455,0.09877364337444305,0.14854298532009125
were,0.22298263013362885,0.34330758452415466,0.31913647055625916,0.3142043352127075,0.24701975286006927,0.3815755248069763,0.3906462490558624,0.1904745101928711,0.17890112102031708
broken,0.28858938813209534,0.32152020931243896,0.1961265206336975,0.21857398748397827,0.32800132036209106,0.19177721440792084,0.27700477838516235,0.22188834846019745,0.1915387511253357
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.3598145842552185,0.13166657090187073,1.0,0.6662389636039734,0.23779717087745667,0.20430970191955566
the,0.42745697498321533,0.3589572608470917,0.535392165184021,0.4394008219242096,0.23325857520103455,0.6662389636039734,1.0,0.18348170816898346,0.22068053483963013
accident,0.2266911268234253,0.41394057869911194,0.16931231319904327,0.2630104422569275,0.09877364337444305,0.23779717087745667,0.18348170816898346,1.0000001192092896,0.13474830985069275
