,abc,carries,weekend,events,for,what,extreme,sports,competition,?
abc,1.0000001192092896,0.1587006002664566,0.27004382014274597,0.1799924075603485,0.22510288655757904,0.1317344456911087,0.14610764384269714,0.20410163700580597,0.16764429211616516,0.19065172970294952
also,0.2030053734779358,0.26025235652923584,0.20852252840995789,0.2512781023979187,0.5373267531394958,0.42747777700424194,0.30653107166290283,0.2572351396083832,0.26481446623802185,0.21848613023757935
carries,0.1587006002664566,1.0,0.10085040330886841,0.18090029060840607,0.27086395025253296,0.16581358015537262,0.1284443587064743,0.07086565345525742,0.13354754447937012,0.13831257820129395
various,0.12460041046142578,0.20894421637058258,0.14349614083766937,0.241580069065094,0.3578505516052246,0.26045072078704834,0.21502940356731415,0.1659049242734909,0.2369329333305359,0.12823495268821716
x,0.17262683808803558,0.19872190058231354,0.13095255196094513,0.12608447670936584,0.18337465822696686,0.13783220946788788,0.1954861879348755,0.0853099599480629,0.17077568173408508,0.23304535448551178
games,0.2072104811668396,0.12186697870492935,0.22956393659114838,0.30255067348480225,0.2952845096588135,0.1820194572210312,0.15293103456497192,0.3945665657520294,0.34048986434936523,0.1360001415014267
weekend,0.27004382014274597,0.10085040330886841,1.0,0.29607540369033813,0.2303866147994995,0.19973790645599365,0.11438477784395218,0.22444456815719604,0.2323145717382431,0.29261621832847595
events,0.1799924075603485,0.18090029060840607,0.29607540369033813,1.0000001192092896,0.2524527311325073,0.269866019487381,0.2663627564907074,0.3299616277217865,0.26201707124710083,0.09835197776556015
not,0.15984800457954407,0.20770969986915588,0.19369879364967346,0.219646155834198,0.39280617237091064,0.5449194312095642,0.22058945894241333,0.17275534570217133,0.22046951949596405,0.41942933201789856
broadcast,0.4876510202884674,0.14909054338932037,0.30675965547561646,0.25261011719703674,0.2546502649784088,0.17857211828231812,0.13242529332637787,0.2826615273952484,0.2589193880558014,0.15760008990764618
by,0.17600902915000916,0.172663152217865,0.133712038397789,0.2042161077260971,0.3248702883720398,0.2455483376979828,0.2150869518518448,0.1928456425666809,0.16993066668510437,0.17966607213020325
espn,0.42660194635391235,0.1588391214609146,0.28431692719459534,0.24198958277702332,0.26341113448143005,0.20291002094745636,0.16319745779037476,0.4434240460395813,0.22398030757904053,0.1709517240524292
.,0.2567209303379059,0.2589939534664154,0.23360580205917358,0.1484961062669754,0.4726039469242096,0.3567904531955719,0.21937976777553558,0.25474128127098083,0.2138785570859909,0.4130953550338745
