,what,country,has,low,income,inequality,and,high,presence,of,unions,?
he,0.3114890456199646,0.24869666993618011,0.4109892249107361,0.14257489144802094,0.19098244607448578,0.1916923075914383,0.45427167415618896,0.20491869747638702,0.17849542200565338,0.38706058263778687,0.18696871399879456,0.2089974731206894
points,0.2184005230665207,0.12330710142850876,0.22107867896556854,0.1866936832666397,0.22440454363822937,0.2849021553993225,0.2753230333328247,0.18738552927970886,0.19209478795528412,0.20397144556045532,0.1644347608089447,0.11006313562393188
out,0.3633197546005249,0.1651015430688858,0.30727511644363403,0.2749064862728119,0.1600833386182785,0.20822980999946594,0.3881998062133789,0.22897948324680328,0.15733645856380463,0.34176841378211975,0.1819685399532318,0.22020699083805084
that,0.6297725439071655,0.210195854306221,0.41272613406181335,0.2722960412502289,0.2627509534358978,0.3467824459075928,0.4731321930885315,0.2400680035352707,0.4035877585411072,0.41498205065727234,0.23865030705928802,0.32716336846351624
nations,0.19211222231388092,0.44342976808547974,0.1980651617050171,0.1867576688528061,0.22440767288208008,0.3608638346195221,0.2505394220352173,0.19268816709518433,0.17844434082508087,0.27521562576293945,0.3657767176628113,0.20999202132225037
with,0.2464839518070221,0.24760155379772186,0.44092974066734314,0.2028178721666336,0.19497792422771454,0.2160445749759674,0.5477725267410278,0.19851811230182648,0.2774095833301544,0.41827285289764404,0.2654126286506653,0.2433311939239502
high,0.20466077327728271,0.12652596831321716,0.21330732107162476,0.5862668752670288,0.19670991599559784,0.22487330436706543,0.2911888659000397,1.0,0.19706472754478455,0.2803038954734802,0.09506689757108688,0.11137914657592773
rates,0.2148645967245102,0.20219944417476654,0.22595056891441345,0.4185386598110199,0.46031635999679565,0.3752773702144623,0.2589600086212158,0.36107149720191956,0.24091219902038574,0.2585311233997345,0.23839059472084045,0.13808594644069672
of,0.33290785551071167,0.28866857290267944,0.3909035325050354,0.27171993255615234,0.2581324577331543,0.27910974621772766,0.5116966962814331,0.2803038954734802,0.2917717397212982,1.0,0.2497035413980484,0.1826142966747284
unionization,0.281488299369812,0.24616464972496033,0.23568424582481384,0.23700371384620667,0.3164171874523163,0.4639938771724701,0.2411324828863144,0.23305033147335052,0.2848392724990845,0.363132119178772,0.5766720771789551,0.23645181953907013
",",0.3087472915649414,0.27878350019454956,0.3734780251979828,0.25131091475486755,0.19703416526317596,0.21822890639305115,0.6633074283599854,0.27938312292099,0.21457527577877045,0.4946078956127167,0.20337598025798798,0.31091248989105225
particularly,0.33027681708335876,0.17960959672927856,0.27153345942497253,0.2797755002975464,0.21079540252685547,0.22197522222995758,0.38546788692474365,0.25608471035957336,0.427696168422699,0.30258041620254517,0.22167523205280304,0.2644225060939789
