,what,is,a,term,for,the,reversing,of,steam,flow,in,a,piston,engine,after,each,stroke,?
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.27866655588150024,0.4322226941585541,0.6662389636039734,0.24877068400382996,0.5696388483047485,0.19852672517299652,0.22435857355594635,1.0,0.539380669593811,0.21022552251815796,0.18885408341884613,0.44050168991088867,0.30816060304641724,0.21251417696475983,0.20430970191955566
most,0.3219912350177765,0.41165053844451904,0.3508910834789276,0.2088012844324112,0.3906237483024597,0.47635307908058167,0.19602912664413452,0.4178851246833801,0.2003706395626068,0.15076173841953278,0.41416558623313904,0.3508910834789276,0.18450218439102173,0.19863130152225494,0.22962093353271484,0.2952626943588257,0.17305482923984528,0.2107497900724411
reciprocating,0.3255842924118042,0.24320678412914276,0.3434195816516876,0.28132203221321106,0.33894744515419006,0.25304242968559265,0.4225705564022064,0.27445268630981445,0.2718157172203064,0.2781677544116974,0.21796420216560364,0.3434195816516876,0.4374397397041321,0.35745206475257874,0.1884988248348236,0.35151207447052,0.20577433705329895,0.2616906762123108
piston,0.13301563262939453,0.20201575756072998,0.2788951098918915,0.17388716340065002,0.13033834099769592,0.22337445616722107,0.2666499614715576,0.15260520577430725,0.3801049590110779,0.23764073848724365,0.21022552251815796,0.2788951098918915,1.0000001192092896,0.4761192500591278,0.10167483985424042,0.23298536241054535,0.3603556454181671,0.17207856476306915
engines,0.1634974628686905,0.1648903638124466,0.20574161410331726,0.14876464009284973,0.19945158064365387,0.2245008647441864,0.22988733649253845,0.17593856155872345,0.4903687536716461,0.18646866083145142,0.18084456026554108,0.20574161410331726,0.457582950592041,0.8767010569572449,0.18249601125717163,0.16592825949192047,0.34597593545913696,0.18940703570842743
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.21899577975273132,0.4946078956127167,0.2264556586742401,0.23027558624744415,0.5201468467712402,0.427140474319458,0.20961400866508484,0.19789794087409973,0.38860568404197693,0.207483172416687,0.25895872712135315,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2740369141101837,0.4739971458911896,1.0,0.33674561977386475,0.733189046382904,0.23105813562870026,0.314039409160614,0.6662389636039734,0.5829201340675354,0.22337445616722107,0.21651263535022736,0.4565047025680542,0.470844566822052,0.18689148128032684,0.22068053483963013
steam,0.15672586858272552,0.13029660284519196,0.2141898274421692,0.10872190445661545,0.19393667578697205,0.23105813562870026,0.2387671023607254,0.20239725708961487,1.0000001192092896,0.3237466514110565,0.19852672517299652,0.2141898274421692,0.3801049590110779,0.4921848475933075,0.17783430218696594,0.06167967990040779,0.2490442544221878,0.113324373960495
reverses,0.2291983813047409,0.2235281765460968,0.2794314920902252,0.1580386608839035,0.2072111964225769,0.29414185881614685,0.6748629808425903,0.28912028670310974,0.1960996687412262,0.28878530859947205,0.16723887622356415,0.2794314920902252,0.2377055436372757,0.18861767649650574,0.24625185132026672,0.28384947776794434,0.16888347268104553,0.19917351007461548
its,0.30393704771995544,0.4447362422943115,0.4424409866333008,0.22507697343826294,0.2992613911628723,0.559237003326416,0.21017520129680634,0.48690423369407654,0.16099195182323456,0.22264854609966278,0.3793783485889435,0.4424409866333008,0.14848127961158752,0.2350696474313736,0.29879069328308105,0.37826475501060486,0.13302744925022125,0.15103481709957123
