,what,form,of,oxygen,do,marine,animals,acquire,in,greater,amounts,during,cooler,climatic,conditions,?
during,0.24137552082538605,0.16864711046218872,0.3869180977344513,0.18351154029369354,0.1831897497177124,0.2884496748447418,0.23287779092788696,0.11640367656946182,0.4627237319946289,0.1792374700307846,0.2552817165851593,1.0,0.2687315046787262,0.26609301567077637,0.2852204144001007,0.1325719803571701
periods,0.21756020188331604,0.25649991631507874,0.256827712059021,0.26567021012306213,0.20144689083099365,0.2029600739479065,0.25644055008888245,0.1415800154209137,0.19927051663398743,0.11514640599489212,0.33877289295196533,0.4688571095466614,0.2838275730609894,0.32814648747444153,0.37010815739631653,0.167264923453331
of,0.33290785551071167,0.29600051045417786,1.0,0.16848602890968323,0.26150479912757874,0.24999871850013733,0.2599885165691376,0.19236667454242706,0.5696388483047485,0.34470728039741516,0.25878721475601196,0.3869180977344513,0.16459952294826508,0.24683158099651337,0.2074868083000183,0.1826142966747284
lower,0.20079238712787628,0.1836884766817093,0.31757521629333496,0.21222375333309174,0.12720887362957,0.09993480890989304,0.20880509912967682,0.1845937967300415,0.27455443143844604,0.24440555274486542,0.2109452784061432,0.18886689841747284,0.30547988414764404,0.212598517537117,0.20954908430576324,0.08471795171499252
global,0.21706031262874603,0.13134829699993134,0.19114547967910767,0.21841073036193848,0.19965578615665436,0.19519056379795074,0.1404595822095871,0.1520508974790573,0.10151144117116928,0.17580105364322662,0.1349937468767166,0.15211611986160278,0.21045953035354614,0.31740739941596985,0.20962241291999817,0.22985349595546722
temperatures,0.2523624897003174,0.21169671416282654,0.2011728584766388,0.38756829500198364,0.22281956672668457,0.1927402764558792,0.34040015935897827,0.11039365082979202,0.2835210859775543,0.2706938683986664,0.4449865520000458,0.28266534209251404,0.6252859830856323,0.5659464001655579,0.47118309140205383,0.1895846426486969
",",0.3087472915649414,0.21805599331855774,0.4946078956127167,0.21812842786312103,0.3283645510673523,0.231239914894104,0.23067066073417664,0.19705404341220856,0.5201468467712402,0.25035545229911804,0.23585352301597595,0.3225448727607727,0.2048913985490799,0.184305340051651,0.17239321768283844,0.31091248989105225
snow,0.16016478836536407,0.08949904888868332,0.16572466492652893,0.1863725483417511,0.15299217402935028,0.1316232681274414,0.2550627291202545,0.09576863795518875,0.1431034654378891,0.11723139882087708,0.21665669977664948,0.1742340475320816,0.3076590299606323,0.3266940712928772,0.28797268867492676,0.1894082874059677
and,0.31309178471565247,0.30469027161598206,0.5116966962814331,0.22261030972003937,0.276123583316803,0.24699723720550537,0.3589221239089966,0.23553775250911713,0.4954058527946472,0.26711440086364746,0.33048760890960693,0.36462149024009705,0.2508160173892975,0.21454790234565735,0.252461701631546,0.20544172823429108
rain,0.16031549870967865,0.1748649775981903,0.22789213061332703,0.2398974448442459,0.14546920359134674,0.18227863311767578,0.25693660974502563,0.12069618701934814,0.2159966677427292,0.16037887334823608,0.28646233677864075,0.19982445240020752,0.4218948483467102,0.3820706009864807,0.29806411266326904,0.16845054924488068
from,0.2737620174884796,0.2607075572013855,0.4249346852302551,0.23457925021648407,0.20424067974090576,0.19361181557178497,0.22686421871185303,0.2194083333015442,0.4274188280105591,0.23450924456119537,0.24408064782619476,0.3186885714530945,0.17279012501239777,0.23313958942890167,0.19634586572647095,0.19969791173934937
