,what,network,was,converted,into,an,independent,subsidiary,by,rca,in,1942,?
rca,0.14200295507907867,0.16861818730831146,0.2589319050312042,0.0934254378080368,0.07565774768590927,0.1084224060177803,0.1779482513666153,0.3622250258922577,0.2319910079240799,0.9999998807907104,0.1138772964477539,0.23608067631721497,0.07305777072906494
converted,0.1663769781589508,0.11819904297590256,0.2062978297472,1.0000001192092896,0.3863663077354431,0.16811077296733856,0.1280299872159958,0.18167352676391602,0.2693045139312744,0.0934254378080368,0.22429603338241577,0.0863487496972084,0.12743066251277924
the,0.42745697498321533,0.27187061309814453,0.48711544275283813,0.2538719177246094,0.39493247866630554,0.4207492768764496,0.2927691638469696,0.2279236614704132,0.4408751428127289,0.12673714756965637,0.6662389636039734,0.38329726457595825,0.22068053483963013
nbc,0.1638578325510025,0.4656192362308502,0.251334547996521,0.08584792166948318,0.06829692423343658,0.17501957714557648,0.16286839544773102,0.20977404713630676,0.16605262458324432,0.28461092710494995,0.19303210079669952,0.2831250727176666,0.1680917739868164
blue,0.17981211841106415,0.16397789120674133,0.15539668500423431,0.16038769483566284,0.14609403908252716,0.12627823650836945,0.15593838691711426,0.16112855076789856,0.18874850869178772,0.20522606372833252,0.22384510934352875,0.17747873067855835,0.15668673813343048
network,0.16917307674884796,1.0000001192092896,0.1994880586862564,0.11819904297590256,0.1536092758178711,0.22587502002716064,0.1808796226978302,0.3834895193576813,0.214903324842453,0.16861818730831146,0.19496823847293854,0.18813876807689667,0.17853789031505585
into,0.2180619090795517,0.1536092758178711,0.2322220653295517,0.3863663077354431,1.0,0.2105669528245926,0.18103374540805817,0.19164197146892548,0.30473223328590393,0.07565774768590927,0.38021373748779297,0.1335039883852005,0.15662476420402527
an,0.2821882665157318,0.22587502002716064,0.3694365322589874,0.16811077296733856,0.2105669528245926,1.0,0.19614122807979584,0.16942083835601807,0.2719563841819763,0.1084224060177803,0.2605783939361572,0.1923380196094513,0.19793890416622162
independent,0.28752967715263367,0.1808796226978302,0.2497003674507141,0.1280299872159958,0.18103374540805817,0.19614122807979584,1.0000001192092896,0.32881373167037964,0.20215941965579987,0.1779482513666153,0.2794609069824219,0.13977515697479248,0.11902587860822678
subsidiary,0.17018544673919678,0.3834895193576813,0.2168111354112625,0.18167352676391602,0.19164197146892548,0.16942083835601807,0.32881373167037964,1.0,0.25565260648727417,0.3622250258922577,0.2031269520521164,0.27154621481895447,0.12890306115150452
",",0.3087472915649414,0.1932937651872635,0.45456063747406006,0.18564631044864655,0.2826121151447296,0.3581022024154663,0.24115799367427826,0.21156229078769684,0.3680937886238098,0.19369250535964966,0.5201468467712402,0.2961331903934479,0.31091248989105225
formally,0.19840256869792938,0.18176661431789398,0.3541161119937897,0.21239739656448364,0.2246742993593216,0.21778328716754913,0.27014246582984924,0.19724465906620026,0.3241901695728302,0.13809867203235626,0.2996116280555725,0.19534768164157867,0.1371411830186844
divorcing,0.24862438440322876,0.060660410672426224,0.19175894558429718,0.16223187744617462,0.15749667584896088,0.13179723918437958,0.20236936211585999,0.1103639230132103,0.18110625445842743,0.20687705278396606,0.20026986300945282,0.07813204079866409,0.21582044661045074
