,what,is,a,chlorenchyma,cell,?
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.22090177237987518,0.15822452306747437,0.22068053483963013
plant,0.23371253907680511,0.2497083991765976,0.2010895311832428,0.4149576425552368,0.338656485080719,0.16613075137138367
cells,0.1758001297712326,0.1644774079322815,0.2297232300043106,0.4759851098060608,0.7729857563972473,0.1898086667060852
which,0.5261979103088379,0.4457404911518097,0.56894451379776,0.300027996301651,0.26335951685905457,0.25814583897590637
contain,0.1832355558872223,0.31030410528182983,0.23510922491550446,0.3078002631664276,0.2958375811576843,0.18853069841861725
chloroplasts,0.2524593770503998,0.22550933063030243,0.24622295796871185,0.7027034163475037,0.5408841967582703,0.13049766421318054
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.23488366603851318,0.19039002060890198,0.24591213464736938
usually,0.32521089911460876,0.4230746626853943,0.46690207719802856,0.24681198596954346,0.21638844907283783,0.19435347616672516
parenchyma,0.24276168644428253,0.3423059284687042,0.3565497100353241,0.6029953360557556,0.3796328008174896,0.2505318224430084
cells,0.1758001297712326,0.1644774079322815,0.2297232300043106,0.4759851098060608,0.7729857563972473,0.1898086667060852
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.31457188725471497,0.17534321546554565,0.31091248989105225
though,0.4089210331439972,0.3265945613384247,0.33230000734329224,0.23009443283081055,0.16558174788951874,0.3188856542110443
chloroplasts,0.2524593770503998,0.22550933063030243,0.24622295796871185,0.7027034163475037,0.5408841967582703,0.13049766421318054
can,0.34502777457237244,0.44256699085235596,0.3915780484676361,0.32416874170303345,0.263077050447464,0.3226337134838104
also,0.42747777700424194,0.5012649297714233,0.5149940252304077,0.329159677028656,0.1868675798177719,0.21848613023757935
be,0.3929833769798279,0.4819129705429077,0.39883795380592346,0.2656286656856537,0.22487285733222961,0.3324260413646698
found,0.1796332150697708,0.3526395261287689,0.2869448959827423,0.29318222403526306,0.12998047471046448,0.16790300607681274
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.2445276528596878,0.16478286683559418,0.20430970191955566
collenchyma,0.19594240188598633,0.30241161584854126,0.35223791003227234,0.652165949344635,0.35258743166923523,0.15656828880310059
tissue,0.21392318606376648,0.18431530892848969,0.21925245225429535,0.5111411809921265,0.5407310724258423,0.17040768265724182
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.3206179440021515,0.2801848351955414,0.4130953550338745
,what,is,a,chlorenchyma,cell,?
a,0.3320399522781372,0.658733606338501,1.0,0.29381322860717773,0.21525812149047852,0.23916715383529663
plant,0.23371253907680511,0.2497083991765976,0.2010895311832428,0.4149576425552368,0.338656485080719,0.16613075137138367
cell,0.19222842156887054,0.15086454153060913,0.21525812149047852,0.4010390639305115,1.0000001192092896,0.2058541625738144
which,0.5261979103088379,0.4457404911518097,0.56894451379776,0.300027996301651,0.26335951685905457,0.25814583897590637
contains,0.14236655831336975,0.4272567629814148,0.3092464506626129,0.24994602799415588,0.18151144683361053,0.15215006470680237
chloroplasts,0.2524593770503998,0.22550933063030243,0.24622295796871185,0.7027034163475037,0.5408841967582703,0.13049766421318054
is,0.28837618231773376,1.0,0.658733606338501,0.27067166566848755,0.15086454153060913,0.22961433231830597
known,0.20381177961826324,0.41921812295913696,0.30882248282432556,0.24532753229141235,0.14143969118595123,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.24377772212028503,0.25192439556121826,0.27043893933296204
a,0.3320399522781372,0.658733606338501,1.0,0.29381322860717773,0.21525812149047852,0.23916715383529663
chlorenchyma,0.21997705101966858,0.27067166566848755,0.29381322860717773,1.0,0.4010390639305115,0.14209392666816711
cell,0.19222842156887054,0.15086454153060913,0.21525812149047852,0.4010390639305115,1.0000001192092896,0.2058541625738144
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.3206179440021515,0.2801848351955414,0.4130953550338745
