,what,has,the,tendency,to,increase,wages,in,a,field,or,job,position,?
an,0.2821882665157318,0.2991473078727722,0.4207492768764496,0.16346542537212372,0.3138085603713989,0.22955887019634247,0.15565986931324005,0.2605783939361572,0.44552403688430786,0.1812812238931656,0.3096676766872406,0.16033436357975006,0.17940422892570496,0.19793890416622162
example,0.3456268310546875,0.28235751390457153,0.3755223751068115,0.31170663237571716,0.3451666533946991,0.32701289653778076,0.19268949329853058,0.30483278632164,0.40234753489494324,0.22442582249641418,0.5192843675613403,0.24019241333007812,0.2689300775527954,0.30374911427497864
of,0.33290785551071167,0.3909035325050354,0.733189046382904,0.21120117604732513,0.41548454761505127,0.3156060576438904,0.17478904128074646,0.5696388483047485,0.5052502155303955,0.20410659909248352,0.3792596757411957,0.2253132164478302,0.23636478185653687,0.1826142966747284
this,0.5489566326141357,0.4198763072490692,0.6274310946464539,0.30135378241539,0.5759071707725525,0.3563258945941925,0.21261194348335266,0.45205554366111755,0.5422310829162598,0.23614506423473358,0.4406825602054596,0.2581324577331543,0.2833313047885895,0.3155723512172699
would,0.45766422152519226,0.3014826476573944,0.4133751392364502,0.33665403723716736,0.5965728163719177,0.29228541254997253,0.3149997889995575,0.30461156368255615,0.398599237203598,0.18384042382240295,0.39548179507255554,0.319030225276947,0.24390071630477905,0.37178951501846313
be,0.3929833769798279,0.3863394856452942,0.4248143136501312,0.30969950556755066,0.4972836375236511,0.3498366177082062,0.2276950478553772,0.3481820821762085,0.39883795380592346,0.21388062834739685,0.5260903835296631,0.23075640201568604,0.23193661868572235,0.3324260413646698
jobs,0.24064965546131134,0.19490747153759003,0.25216126441955566,0.12128312885761261,0.29148486256599426,0.24599149823188782,0.4461614489555359,0.25891396403312683,0.23724274337291718,0.16131533682346344,0.2146802544593811,0.6616148352622986,0.2265568971633911,0.15148547291755676
such,0.23989605903625488,0.26101309061050415,0.3575236201286316,0.2665005028247833,0.2871878743171692,0.2946314811706543,0.20512083172798157,0.2704046070575714,0.2706976532936096,0.18795233964920044,0.5489916801452637,0.1612885296344757,0.12784147262573242,0.17851735651493073
as,0.31749409437179565,0.351646363735199,0.48381632566452026,0.2571268379688263,0.42092081904411316,0.24019303917884827,0.20887167751789093,0.3887844979763031,0.39550232887268066,0.21304655075073242,0.4400654137134552,0.2932385802268982,0.2407573163509369,0.27043893933296204
dish-washing,0.3268486559391022,0.18505197763442993,0.3426166772842407,0.3181745707988739,0.3492583632469177,0.23377999663352966,0.27449744939804077,0.2511481046676636,0.27940261363983154,0.13959373533725739,0.3653484880924225,0.2569790482521057,0.23366931080818176,0.204236701130867
or,0.33867141604423523,0.316264808177948,0.4174870550632477,0.35019561648368835,0.38921234011650085,0.2745954096317291,0.23854075372219086,0.3586423695087433,0.48853766918182373,0.23558464646339417,1.0000001192092896,0.20071177184581757,0.2321704477071762,0.32389625906944275
customer,0.22827444970607758,0.2145237922668457,0.21169348061084747,0.2576232850551605,0.3213038146495819,0.3206847608089447,0.3816637396812439,0.2185874879360199,0.3227086365222931,0.15379519760608673,0.295635849237442,0.37236151099205017,0.1876390427350998,0.19180448353290558
service,0.16857224702835083,0.0973827913403511,0.22661015391349792,0.09782754629850388,0.24411341547966003,0.15811680257320404,0.2793372869491577,0.1740635335445404,0.23104366660118103,0.14106135070323944,0.19917282462120056,0.28361794352531433,0.1922510713338852,0.1676298975944519
.,0.3567904531955719,0.4105546176433563,0.5934505462646484,0.20729157328605652,0.4645031690597534,0.24619564414024353,0.22644665837287903,0.5591574311256409,0.50484299659729,0.23224417865276337,0.36683785915374756,0.2807863652706146,0.24342353641986847,0.4130953550338745
,what,has,the,tendency,to,increase,wages,in,a,field,or,job,position,?
a,0.3320399522781372,0.4670248031616211,0.5829201340675354,0.2879684865474701,0.45503583550453186,0.24428929388523102,0.19376714527606964,0.539380669593811,1.0,0.2030690312385559,0.48853766918182373,0.2834402620792389,0.28626853227615356,0.23916715383529663
job,0.29268908500671387,0.204313725233078,0.24242734909057617,0.09991458058357239,0.2869062125682831,0.2262503057718277,0.31373345851898193,0.2114088088274002,0.2834402620792389,0.15038901567459106,0.20071177184581757,1.0,0.307644248008728,0.22160480916500092
