,what,is,the,basic,unit,of,territorial,division,in,poland,?
the,0.42745697498321533,0.5823672413825989,1.0,0.27259987592697144,0.24230392277240753,0.733189046382904,0.3039662539958954,0.26203617453575134,0.6662389636039734,0.24871079623699188,0.22068053483963013
basic,0.3564627468585968,0.2828887104988098,0.27259987592697144,1.0000001192092896,0.26484933495521545,0.2817785441875458,0.13506078720092773,0.21366485953330994,0.2729884386062622,0.1202244684100151,0.26534420251846313
unit,0.175853431224823,0.1913307011127472,0.24230392277240753,0.26484933495521545,1.0,0.26649972796440125,0.235879585146904,0.2965758740901947,0.21935637295246124,0.1867266446352005,0.09069886058568954
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2817785441875458,0.26649972796440125,1.0,0.31948116421699524,0.23579144477844238,0.5696388483047485,0.26632049679756165,0.1826142966747284
territorial,0.21081089973449707,0.13631148636341095,0.3039662539958954,0.13506078720092773,0.235879585146904,0.31948116421699524,1.0000001192092896,0.29566603899002075,0.25956836342811584,0.25509777665138245,0.10118355602025986
division,0.19144181907176971,0.20176531374454498,0.26203617453575134,0.21366485953330994,0.2965758740901947,0.23579144477844238,0.29566603899002075,1.0,0.2658538520336151,0.20934662222862244,0.08900629729032516
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2729884386062622,0.21935637295246124,0.5696388483047485,0.25956836342811584,0.2658538520336151,1.0,0.2887791395187378,0.20430970191955566
poland,0.16095873713493347,0.13666775822639465,0.24871079623699188,0.1202244684100151,0.1867266446352005,0.26632049679756165,0.25509777665138245,0.20934662222862244,0.2887791395187378,0.9999999403953552,0.14259830117225647
is,0.28837618231773376,1.0,0.5823672413825989,0.2828887104988098,0.1913307011127472,0.4854315221309662,0.13631148636341095,0.20176531374454498,0.5394441485404968,0.13666775822639465,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2517271041870117,0.26746660470962524,0.5052502155303955,0.20547889173030853,0.19939710199832916,0.539380669593811,0.19834734499454498,0.23916715383529663
commune,0.16306807100772858,0.2968692481517792,0.22042424976825714,0.06365291029214859,0.10394851118326187,0.2223334163427353,0.1343958079814911,0.12899963557720184,0.2463139444589615,0.2155500054359436,0.12318435311317444
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.21817919611930847,0.1777588576078415,0.35032153129577637,0.20641419291496277,0.2016449272632599,0.3087427020072937,0.1692374348640442,0.40561532974243164
gmina,0.16370515525341034,0.2566367983818054,0.23613490164279938,0.18793624639511108,0.26688992977142334,0.26678091287612915,0.26511329412460327,0.26633191108703613,0.27385690808296204,0.4014072120189667,0.10621817409992218
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.23405425250530243,0.2031766027212143,0.3680361211299896,0.17571762204170227,0.20391593873500824,0.3326910734176636,0.18025755882263184,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2838435769081116,0.2251177579164505,0.5352458953857422,0.29538410902023315,0.27855971455574036,0.5591574311256409,0.2872875928878784,0.4130953550338745
