,in,what,theoretical,machine,is,it,confirmed,that,a,problem,in,p,belies,membership,in,the,np,class,?
since,0.4325680434703827,0.29783400893211365,0.17503975331783295,0.13956017792224884,0.3567592203617096,0.39943817257881165,0.34462302923202515,0.3873181641101837,0.3303585946559906,0.2826496660709381,0.4325680434703827,0.12848231196403503,0.25113174319267273,0.3187171220779419,0.4325680434703827,0.4054957628250122,0.20054607093334198,0.11163710057735443,0.2876587212085724
deterministic,0.2504095733165741,0.41523241996765137,0.5030299425125122,0.27763426303863525,0.33447402715682983,0.30689218640327454,0.19627155363559723,0.45721620321273804,0.35494157671928406,0.39390483498573303,0.2504095733165741,0.1865248680114746,0.4545263350009918,0.34843334555625916,0.2504095733165741,0.33725428581237793,0.4106857478618622,0.19645839929580688,0.26914435625076294
turing,0.26572495698928833,0.2806522250175476,0.46017590165138245,0.4048772156238556,0.18364353477954865,0.17868860065937042,0.089837446808815,0.3136295974254608,0.25234705209732056,0.2813624143600464,0.26572495698928833,0.19995348155498505,0.21431465446949005,0.2681526243686676,0.26572495698928833,0.2644472122192383,0.28572317957878113,0.10090221464633942,0.1460462063550949
machines,0.2209317833185196,0.25512105226516724,0.27667856216430664,0.7925316095352173,0.1786929816007614,0.23724479973316193,0.0047980681993067265,0.3558396100997925,0.21060632169246674,0.30271488428115845,0.2209317833185196,0.09621541202068329,0.29395735263824463,0.12333779036998749,0.2209317833185196,0.22618883848190308,0.1857479065656662,0.1778031885623932,0.17646311223506927
are,0.3841303884983063,0.29724663496017456,0.19839611649513245,0.17000128328800201,0.5330929756164551,0.3617996573448181,0.15771619975566864,0.45265161991119385,0.265255331993103,0.2619974911212921,0.3841303884983063,0.0965256616473198,0.3716951310634613,0.231269970536232,0.3841303884983063,0.40399202704429626,0.22153069078922272,0.1495869755744934,0.24591213464736938
special,0.2897285223007202,0.24134232103824615,0.16452808678150177,0.2079230695962906,0.24467575550079346,0.2483513355255127,0.1950577199459076,0.27173271775245667,0.31333932280540466,0.1745782196521759,0.2897285223007202,0.07179274410009384,0.1069411039352417,0.1289183795452118,0.2897285223007202,0.3027077615261078,0.12082529813051224,0.15362074971199036,0.29623302817344666
non-deterministic,0.25323057174682617,0.4249761998653412,0.5274657011032104,0.2774420380592346,0.34313321113586426,0.3144744336605072,0.19669243693351746,0.45615339279174805,0.35841843485832214,0.3800432085990906,0.25323057174682617,0.2264905720949173,0.48938295245170593,0.38545817136764526,0.25323057174682617,0.35790613293647766,0.41714906692504883,0.21353702247142792,0.284718781709671
turing,0.26572495698928833,0.2806522250175476,0.46017590165138245,0.4048772156238556,0.18364353477954865,0.17868860065937042,0.089837446808815,0.3136295974254608,0.25234705209732056,0.2813624143600464,0.26572495698928833,0.19995348155498505,0.21431465446949005,0.2681526243686676,0.26572495698928833,0.2644472122192383,0.28572317957878113,0.10090221464633942,0.1460462063550949
machines,0.2209317833185196,0.25512105226516724,0.27667856216430664,0.7925316095352173,0.1786929816007614,0.23724479973316193,0.0047980681993067265,0.3558396100997925,0.21060632169246674,0.30271488428115845,0.2209317833185196,0.09621541202068329,0.29395735263824463,0.12333779036998749,0.2209317833185196,0.22618883848190308,0.1857479065656662,0.1778031885623932,0.17646311223506927
",",0.5201468467712402,0.3087472915649414,0.2542550563812256,0.21841607987880707,0.4691906273365021,0.48329564929008484,0.18906112015247345,0.4137537479400635,0.427140474319458,0.23938199877738953,0.5201468467712402,0.291064590215683,0.2784058153629303,0.2181890308856964,0.5201468467712402,0.4933079481124878,0.1823609173297882,0.1753857135772705,0.31091248989105225
it,0.5130809545516968,0.45803478360176086,0.1959863156080246,0.22480705380439758,0.6328473687171936,0.9999999403953552,0.19953522086143494,0.5921133160591125,0.5452592968940735,0.296018123626709,0.5130809545516968,0.14431746304035187,0.27983012795448303,0.2104789912700653,0.5130809545516968,0.6251175999641418,0.1906801462173462,0.14999699592590332,0.25732165575027466
is,0.5394441485404968,0.28837618231773376,0.22241048514842987,0.18938691914081573,1.0,0.6328473687171936,0.16952036321163177,0.3995479643344879,0.658733606338501,0.23238427937030792,0.5394441485404968,0.11757151037454605,0.3397231101989746,0.1935994029045105,0.5394441485404968,0.5823672413825989,0.2208731323480606,0.1275252103805542,0.22961433231830597
easily,0.2218341827392578,0.2574663758277893,0.20565670728683472,0.25149065256118774,0.2750869691371918,0.36681246757507324,0.164345383644104,0.3973645865917206,0.27337828278541565,0.3477213382720947,0.2218341827392578,0.12425017356872559,0.18411055207252502,0.11307383328676224,0.2218341827392578,0.25559568405151367,0.21529723703861237,0.13723789155483246,0.24040374159812927
observed,0.24517615139484406,0.26469987630844116,0.2962697446346283,0.17310447990894318,0.20653970539569855,0.21150386333465576,0.3300476670265198,0.3131817877292633,0.15875723958015442,0.20154829323291779,0.24517615139484406,0.12463647872209549,0.3083397150039673,0.18367697298526764,0.24517615139484406,0.26280322670936584,0.18987002968788147,0.16202008724212646,0.12128034234046936
that,0.435920387506485,0.6297725439071655,0.3066844344139099,0.2756650745868683,0.3995479643344879,0.5921133160591125,0.3167957365512848,1.0,0.47537946701049805,0.4416671693325043,0.435920387506485,0.15546166896820068,0.4446660578250885,0.30350688099861145,0.435920387506485,0.5473989248275757,0.2149038165807724,0.23035554587841034,0.32716336846351624
each,0.30816060304641724,0.3353266417980194,0.18638135492801666,0.24086420238018036,0.2954041659832001,0.31343626976013184,0.13349957764148712,0.46111494302749634,0.434999018907547,0.19521000981330872,0.30816060304641724,0.13419228792190552,0.2145315408706665,0.29129722714424133,0.30816060304641724,0.470844566822052,0.15731610357761383,0.13021305203437805,0.21173812448978424
problem,0.16969570517539978,0.42183366417884827,0.26836568117141724,0.23731867969036102,0.23238427937030792,0.296018123626709,0.12964077293872833,0.4416671693325043,0.2605542540550232,1.0,0.16969570517539978,0.1706637293100357,0.24578768014907837,0.1900072544813156,0.16969570517539978,0.24928659200668335,0.4497864544391632,0.19669321179389954,0.3762950301170349
in,1.0,0.30808621644973755,0.20558910071849823,0.16716814041137695,0.5394441485404968,0.5130809545516968,0.2745530903339386,0.435920387506485,0.539380669593811,0.16969570517539978,1.0,0.10853569954633713,0.21264144778251648,0.21524956822395325,1.0,0.6662389636039734,0.15881246328353882,0.1761927455663681,0.20430970191955566
p,0.10853569954633713,0.18586504459381104,0.15368764102458954,0.1421336978673935,0.11757151037454605,0.14431746304035187,0.14158666133880615,0.15546166896820068,0.15866722166538239,0.1706637293100357,0.10853569954633713,1.0,0.15727144479751587,0.09338971227407455,0.10853569954633713,0.16481639444828033,0.24241971969604492,0.1395781934261322,0.20840544998645782
is,0.5394441485404968,0.28837618231773376,0.22241048514842987,0.18938691914081573,1.0,0.6328473687171936,0.16952036321163177,0.3995479643344879,0.658733606338501,0.23238427937030792,0.5394441485404968,0.11757151037454605,0.3397231101989746,0.1935994029045105,0.5394441485404968,0.5823672413825989,0.2208731323480606,0.1275252103805542,0.22961433231830597
also,0.5073733329772949,0.42747777700424194,0.19959761202335358,0.20545156300067902,0.5012649297714233,0.542508602142334,0.20000174641609192,0.6005857586860657,0.5149940252304077,0.2736782729625702,0.5073733329772949,0.13961121439933777,0.2661353647708893,0.2202647626399994,0.5073733329772949,0.6021018624305725,0.18021249771118164,0.18543128669261932,0.21848613023757935
member,0.20856694877147675,0.09932345896959305,0.12757104635238647,0.10219626873731613,0.2522773742675781,0.14092883467674255,0.21139538288116455,0.17725452780723572,0.24081070721149445,0.1061636358499527,0.20856694877147675,0.1214858740568161,0.19306668639183044,0.5808453559875488,0.20856694877147675,0.2806392312049866,0.12974262237548828,0.2041008472442627,0.06826172769069672
of,0.5696388483047485,0.33290785551071167,0.2684490382671356,0.15468473732471466,0.4854315221309662,0.38761502504348755,0.24135258793830872,0.41498205065727234,0.5052502155303955,0.20464475452899933,0.5696388483047485,0.18174134194850922,0.27626344561576843,0.26808464527130127,0.5696388483047485,0.733189046382904,0.13667912781238556,0.19740594923496246,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.21045458316802979,0.22788187861442566,0.5823672413825989,0.6251175999641418,0.2951974868774414,0.5473989248275757,0.5829201340675354,0.24928659200668335,0.6662389636039734,0.16481639444828033,0.27497315406799316,0.2937599718570709,0.6662389636039734,1.0,0.14565430581569672,0.18034407496452332,0.22068053483963013
class,0.1761927455663681,0.16880196332931519,0.17396610975265503,0.1612197756767273,0.1275252103805542,0.14999699592590332,0.0714128240942955,0.23035554587841034,0.23462694883346558,0.19669321179389954,0.1761927455663681,0.1395781934261322,0.13744165003299713,0.24926553666591644,0.1761927455663681,0.18034407496452332,0.18459567427635193,1.0,0.12778934836387634
np,0.15881246328353882,0.273849755525589,0.3098677694797516,0.17104555666446686,0.2208731323480606,0.1906801462173462,0.056758638471364975,0.2149038165807724,0.19096361100673676,0.4497864544391632,0.15881246328353882,0.24241971969604492,0.23234203457832336,0.1928442418575287,0.15881246328353882,0.14565430581569672,1.0,0.18459567427635193,0.25319206714630127
.,0.5591574311256409,0.3567904531955719,0.19316019117832184,0.20798662304878235,0.4569662809371948,0.5593622326850891,0.21654154360294342,0.4460422694683075,0.50484299659729,0.22562150657176971,0.5591574311256409,0.2982616722583771,0.23686915636062622,0.19005811214447021,0.5591574311256409,0.5934505462646484,0.26927393674850464,0.24688394367694855,0.4130953550338745
