,persistent,unemployment,has,what,effect,on,long-term,economic,growth,?
high,0.199506476521492,0.242209792137146,0.21330732107162476,0.20466077327728271,0.2141745388507843,0.20843200385570526,0.22639791667461395,0.11984767764806747,0.2083626389503479,0.11137914657592773
and,0.22012010216712952,0.2652346193790436,0.43716782331466675,0.31309178471565247,0.23508284986019135,0.4077630043029785,0.36647236347198486,0.2707010805606842,0.2731747627258301,0.20544172823429108
persistent,1.0,0.2629147469997406,0.19258436560630798,0.30953219532966614,0.3370545208454132,0.214656263589859,0.2745257318019867,0.255138635635376,0.2821529805660248,0.2348787635564804
unemployment,0.2629147469997406,0.9999999403953552,0.17582646012306213,0.1712515503168106,0.2530612647533417,0.18352682888507843,0.23640117049217224,0.5093812346458435,0.4337153732776642,0.20707537233829498
",",0.18267494440078735,0.2032092660665512,0.3734780251979828,0.3087472915649414,0.2150653600692749,0.49057599902153015,0.3221086859703064,0.2340485155582428,0.2218456119298935,0.31091248989105225
in,0.22725197672843933,0.24091598391532898,0.4173259735107422,0.30808621644973755,0.25150683522224426,0.46853652596473694,0.3143702447414398,0.22027181088924408,0.2819603681564331,0.20430970191955566
which,0.31722429394721985,0.1988108605146408,0.4350704550743103,0.5261979103088379,0.33791235089302063,0.4245251417160034,0.38058748841285706,0.2570582926273346,0.32359230518341064,0.25814583897590637
inequality,0.274930864572525,0.5337590575218201,0.16442200541496277,0.30072227120399475,0.3300517201423645,0.16136983036994934,0.32865235209465027,0.4401332437992096,0.3248327970504761,0.23619021475315094
increases,0.3226054012775421,0.34780609607696533,0.3269798159599304,0.23849372565746307,0.4069940745830536,0.22925710678100586,0.2675612270832062,0.2508953809738159,0.40438833832740784,0.10270863026380539
",",0.18267494440078735,0.2032092660665512,0.3734780251979828,0.3087472915649414,0.2150653600692749,0.49057599902153015,0.3221086859703064,0.2340485155582428,0.2218456119298935,0.31091248989105225
has,0.19258436560630798,0.17582646012306213,1.0,0.20338068902492523,0.1701475977897644,0.34604379534721375,0.2280782163143158,0.2052665501832962,0.2680913209915161,0.15994466841220856
a,0.2403341829776764,0.25060829520225525,0.4670248031616211,0.3320399522781372,0.24771364033222198,0.3848365545272827,0.3568371832370758,0.2234611213207245,0.21544985473155975,0.23916715383529663
negative,0.20960873365402222,0.24193145334720612,0.19049720466136932,0.23431497812271118,0.3105284571647644,0.23069027066230774,0.24631698429584503,0.18378664553165436,0.2509571313858032,0.12562139332294464
effect,0.3370545208454132,0.2530612647533417,0.1701475977897644,0.2546532452106476,1.0,0.2661469280719757,0.24174490571022034,0.25554975867271423,0.32532799243927,0.1783771812915802
on,0.214656263589859,0.18352682888507843,0.34604379534721375,0.34226128458976746,0.2661469280719757,0.9999999403953552,0.2152891606092453,0.20757777988910675,0.11376523971557617,0.2714994251728058
subsequent,0.1872294843196869,0.0841585174202919,0.14943504333496094,0.20167095959186554,0.2127535343170166,0.27173054218292236,0.3213665783405304,0.15162737667560577,0.10263090580701828,0.13111010193824768
long-run,0.19291800260543823,0.14833693206310272,0.22207485139369965,0.204223170876503,0.188120499253273,0.22015491127967834,0.8421422243118286,0.22605355083942413,0.18951307237148285,0.2331775724887848
economic,0.255138635635376,0.5093812346458435,0.2052665501832962,0.18082544207572937,0.25554975867271423,0.20757777988910675,0.31191590428352356,0.9999999403953552,0.4732155203819275,0.1206481084227562
growth,0.2821529805660248,0.4337153732776642,0.2680913209915161,0.1739405393600464,0.32532799243927,0.11376523971557617,0.2699372172355652,0.4732155203819275,1.0000001192092896,0.07547862827777863
.,0.19215421378612518,0.23137354850769043,0.4105546176433563,0.3567904531955719,0.2277858853340149,0.49257001280784607,0.3449627459049225,0.22435031831264496,0.2825547754764557,0.4130953550338745
