,how,is,chloroplast,replication,observed,?
scientists,0.3038296401500702,0.24610774219036102,0.2923235595226288,0.2552136778831482,0.30277904868125916,0.16597221791744232
have,0.4370637536048889,0.3613572418689728,0.26476383209228516,0.2384684532880783,0.3204551935195923,0.32991164922714233
attempted,0.1899494230747223,0.11834166944026947,0.11446067690849304,0.22909137606620789,0.16900420188903809,0.11123745888471603
to,0.44169697165489197,0.42745086550712585,0.22531428933143616,0.2564338743686676,0.1710500717163086,0.29463258385658264
observe,0.2708672881126404,0.20135720074176788,0.22015641629695892,0.2027735561132431,0.8260174989700317,0.1595022827386856
chloroplast,0.23138970136642456,0.20798198878765106,1.0000001192092896,0.496858686208725,0.28184080123901367,0.12532055377960205
replication,0.25632908940315247,0.24308517575263977,0.496858686208725,1.0,0.23270615935325623,0.1812686026096344
via,0.13460594415664673,0.18325740098953247,0.17880399525165558,0.2034751921892166,0.18960583209991455,0.19443516433238983
electron,0.2726774513721466,0.2023618221282959,0.47729572653770447,0.3854718506336212,0.2724115550518036,0.18293288350105286
microscopy,0.28085562586784363,0.178314208984375,0.5305344462394714,0.4691486060619354,0.3139660358428955,0.18185050785541534
since,0.2347431182861328,0.3567592203617096,0.18957437574863434,0.2134486883878708,0.23985165357589722,0.2876587212085724
the,0.33890387415885925,0.5823672413825989,0.21317854523658752,0.30478328466415405,0.26280322670936584,0.22068053483963013
1970s,-0.026102442294359207,-0.0592941977083683,0.032284099608659744,0.015779567882418633,-0.012004058808088303,0.03861190751194954
.,0.3287222981452942,0.4569662809371948,0.2371024191379547,0.25125551223754883,0.21245750784873962,0.4130953550338745
