,who,conducted,the,construction,of,the,new,center,?
the,0.3733934462070465,0.25795331597328186,1.0,0.2671978175640106,0.733189046382904,1.0,0.3845241069793701,0.29064592719078064,0.22068053483963013
design,0.12787467241287231,0.14170202612876892,0.27913451194763184,0.44344785809516907,0.2522938847541809,0.27913451194763184,0.2420760542154312,0.19701287150382996,0.16351860761642456
",",0.3365725874900818,0.23980332911014557,0.4933079481124878,0.23704268038272858,0.4946078956127167,0.4933079481124878,0.36073189973831177,0.1905742734670639,0.31091248989105225
development,0.15172652900218964,0.13044068217277527,0.3362044394016266,0.36418893933296204,0.28700894117355347,0.3362044394016266,0.2089257836341858,0.19364222884178162,0.1211358830332756
and,0.41279885172843933,0.2071675807237625,0.5171257257461548,0.22762417793273926,0.5116966962814331,0.5171257257461548,0.31402453780174255,0.28670641779899597,0.20544172823429108
construction,0.08125896006822586,0.18042074143886566,0.2671978175640106,1.0,0.2815735340118408,0.2671978175640106,0.2525217533111572,0.19075962901115417,0.13494056463241577
of,0.2827862501144409,0.22415050864219666,0.733189046382904,0.2815735340118408,1.0,0.733189046382904,0.343457967042923,0.24526838958263397,0.1826142966747284
the,0.3733934462070465,0.25795331597328186,1.0,0.2671978175640106,0.733189046382904,1.0,0.3845241069793701,0.29064592719078064,0.22068053483963013
center,0.09184163808822632,0.1447198987007141,0.29064592719078064,0.19075962901115417,0.24526838958263397,0.29064592719078064,0.18740497529506683,0.9999999403953552,0.12538520991802216
was,0.3318818509578705,0.28831079602241516,0.48711544275283813,0.224521666765213,0.4069072902202606,0.48711544275283813,0.2748313844203949,0.19517986476421356,0.18412111699581146
conducted,0.20996502041816711,1.0000001192092896,0.25795331597328186,0.18042074143886566,0.22415050864219666,0.25795331597328186,0.18631139397621155,0.1447198987007141,0.1105341762304306
by,0.39727845788002014,0.2579965889453888,0.4408751428127289,0.1921110898256302,0.3646814823150635,0.4408751428127289,0.25394493341445923,0.12630024552345276,0.17966607213020325
kurt,0.23715610802173615,0.1942318230867386,0.18562473356723785,0.03066289983689785,0.13749372959136963,0.18562473356723785,0.13358135521411896,0.16265317797660828,0.12989398837089539
h.,-0.20266836881637573,-0.22741958498954773,-0.10884115099906921,-0.10644245892763138,-0.09578611701726913,-0.10884115099906921,-0.05520886927843094,0.10717301815748215,-0.10847286134958267
debus,0.2160760462284088,0.34996557235717773,0.28357821702957153,0.23703406751155853,0.2073785960674286,0.28357821702957153,0.27476781606674194,0.1836739033460617,0.16738484799861908
",",0.3365725874900818,0.23980332911014557,0.4933079481124878,0.23704268038272858,0.4946078956127167,0.4933079481124878,0.36073189973831177,0.1905742734670639,0.31091248989105225
a,0.36608949303627014,0.1929338276386261,0.5829201340675354,0.25036895275115967,0.5052502155303955,0.5829201340675354,0.3214259147644043,0.2640431225299835,0.23916715383529663
member,0.3046252727508545,0.18411631882190704,0.2806392312049866,0.08107133209705353,0.2701796889305115,0.2806392312049866,0.16893768310546875,0.13851530849933624,0.06826172769069672
of,0.2827862501144409,0.22415050864219666,0.733189046382904,0.2815735340118408,1.0,0.733189046382904,0.343457967042923,0.24526838958263397,0.1826142966747284
dr.,0.20237460732460022,0.11575460433959961,0.22598165273666382,0.1025896966457367,0.1309068351984024,0.22598165273666382,0.12676745653152466,-0.0004371018148958683,0.14418397843837738
wernher,0.32433751225471497,0.2509641945362091,0.33223649859428406,0.24821238219738007,0.28497976064682007,0.33223649859428406,0.2780565023422241,0.19458003342151642,0.25120455026626587
von,0.1834137886762619,0.23246347904205322,0.21817399561405182,0.15084214508533478,0.19899946451187134,0.21817399561405182,0.12703432142734528,0.09751670062541962,0.13907472789287567
braun,0.25198039412498474,0.2468872368335724,0.18706366419792175,0.13324858248233795,0.16651400923728943,0.18706366419792175,0.22962594032287598,0.18801414966583252,0.2169470489025116
's,0.05599616840481758,-0.011587770655751228,-0.01540423184633255,0.04049986973404884,-0.03817026689648628,-0.01540423184633255,-0.008355522528290749,-0.006294060964137316,-0.023395681753754616
original,0.1785319596529007,0.10539364814758301,0.4037000238895416,0.23119403421878815,0.30228546261787415,0.4037000238895416,0.24007517099380493,0.18025149405002594,0.17256900668144226
v-2,0.005813900846987963,0.11937520653009415,0.1368453949689865,0.10493632405996323,0.07260984927415848,0.1368453949689865,0.039655786007642746,0.1823488175868988,-0.07724006474018097
rocket,0.21103179454803467,0.1246219202876091,0.20029182732105255,0.12158168852329254,0.17197085916996002,0.20029182732105255,0.17652854323387146,0.18728291988372803,0.16587020456790924
engineering,0.14024005830287933,0.18431134521961212,0.23901307582855225,0.43152761459350586,0.2630712687969208,0.23901307582855225,0.19006545841693878,0.1689319610595703,0.16555240750312805
team,0.22248858213424683,0.16146181523799896,0.22564226388931274,0.13713304698467255,0.20352502167224884,0.22564226388931274,0.20930764079093933,0.19995826482772827,0.11243411153554916
.,0.3541337847709656,0.1726469248533249,0.5934505462646484,0.23682771623134613,0.5352458953857422,0.5934505462646484,0.35031336545944214,0.29649654030799866,0.4130953550338745
