,how,was,coal,transferred,from,the,river,banks,to,colliers,?
they,0.43247655034065247,0.3300964832305908,0.23144347965717316,0.25972992181777954,0.3321932256221771,0.49925389885902405,0.15919263660907745,0.25952115654945374,0.5452046394348145,0.2855285406112671,0.2753053903579712
were,0.2082374095916748,0.590133786201477,0.23825810849666595,0.20490197837352753,0.29991888999938965,0.3906462490558624,0.1080881804227829,0.2024570107460022,0.31913647055625916,0.2563258409500122,0.17890112102031708
so,0.6081400513648987,0.2666010558605194,0.1971529871225357,0.23312468826770782,0.2813224494457245,0.4296516180038452,0.15412232279777527,0.1824904978275299,0.5091881155967712,0.2331792414188385,0.43163934350013733
called,0.2869613468647003,0.33927658200263977,0.17596405744552612,0.27540823817253113,0.2703215777873993,0.489897221326828,0.15814678370952606,0.13603124022483826,0.2987143397331238,0.2530655860900879,0.18963319063186646
because,0.48179173469543457,0.3841400742530823,0.20342305302619934,0.19363826513290405,0.35139670968055725,0.44596394896507263,0.14194895327091217,0.14802998304367065,0.5166091918945312,0.22170253098011017,0.2528740465641022
they,0.43247655034065247,0.3300964832305908,0.23144347965717316,0.25972992181777954,0.3321932256221771,0.49925389885902405,0.15919263660907745,0.25952115654945374,0.5452046394348145,0.2855285406112671,0.2753053903579712
worked,0.22484339773654938,0.38922780752182007,0.23002345860004425,0.24763484299182892,0.22349679470062256,0.22615844011306763,0.10051098465919495,0.0708000585436821,0.22250263392925262,0.1958916187286377,0.0901828184723854
on,0.32655060291290283,0.3909217119216919,0.16583877801895142,0.268031507730484,0.36926645040512085,0.5107308030128479,0.2033996731042862,0.2700941860675812,0.41031414270401,0.22175142168998718,0.2714994251728058
the,0.33890387415885925,0.48711544275283813,0.23263108730316162,0.34201255440711975,0.40150508284568787,1.0,0.2894456386566162,0.28661349415779114,0.535392165184021,0.23869499564170837,0.22068053483963013
keels,0.17288370430469513,0.13953420519828796,0.21624980866909027,0.1886584311723709,0.18554240465164185,0.23734328150749207,0.1825684756040573,0.2570705711841583,0.215898334980011,0.3024308681488037,0.18289029598236084
",",0.22659391164779663,0.45456063747406006,0.2299477756023407,0.27208399772644043,0.39760664105415344,0.4933079481124878,0.26637205481529236,0.2574521005153656,0.44245919585227966,0.297942191362381,0.31091248989105225
boats,0.16938060522079468,0.1394244134426117,0.2930630147457123,0.167141392827034,0.1924692690372467,0.24721862375736237,0.3264971077442169,0.34466665983200073,0.27306392788887024,0.2630617916584015,0.10293392837047577
that,0.557814359664917,0.33670201897621155,0.20959489047527313,0.26569053530693054,0.3477667272090912,0.5473989248275757,0.1889113336801529,0.15736013650894165,0.5436353087425232,0.15861396491527557,0.32716336846351624
were,0.2082374095916748,0.590133786201477,0.23825810849666595,0.20490197837352753,0.29991888999938965,0.3906462490558624,0.1080881804227829,0.2024570107460022,0.31913647055625916,0.2563258409500122,0.17890112102031708
used,0.34819337725639343,0.23679393529891968,0.2525128424167633,0.27744123339653015,0.25821518898010254,0.3718377649784088,0.08789447695016861,0.07048225402832031,0.40058770775794983,0.12617820501327515,0.22430120408535004
to,0.44169697165489197,0.3636345863342285,0.20023773610591888,0.2984115183353424,0.4069952368736267,0.535392165184021,0.13636653125286102,0.17257662117481232,1.0,0.19052700698375702,0.29463258385658264
transfer,0.2348649948835373,0.12057474255561829,0.16693896055221558,0.7381244897842407,0.28388476371765137,0.2638886570930481,0.12863320112228394,0.20358887314796448,0.29975026845932007,0.15888135135173798,0.13552898168563843
coal,0.15703199803829193,0.18313007056713104,1.0,0.17295511066913605,0.22152844071388245,0.23263108730316162,0.2566836178302765,0.2128690928220749,0.20023773610591888,0.3047657907009125,0.10339318215847015
from,0.22939439117908478,0.31171464920043945,0.22152844071388245,0.3169066309928894,1.0,0.40150508284568787,0.20433256030082703,0.11466758698225021,0.4069952368736267,0.16165658831596375,0.19969791173934937
the,0.33890387415885925,0.48711544275283813,0.23263108730316162,0.34201255440711975,0.40150508284568787,1.0,0.2894456386566162,0.28661349415779114,0.535392165184021,0.23869499564170837,0.22068053483963013
