,what,was,used,to,create,a,new,electromagnetic,theory,to,reconcile,the,troubles,with,electromagnetic,theory,as,it,used,to,stand,?
through,0.23167094588279724,0.21752823889255524,0.20277023315429688,0.4062686562538147,0.251275897026062,0.3399752974510193,0.23775440454483032,0.22729754447937012,0.1415928453207016,0.4062686562538147,0.1628936529159546,0.44071322679519653,0.2103462964296341,0.26801666617393494,0.22729754447937012,0.1415928453207016,0.24602261185646057,0.3374522924423218,0.20277023315429688,0.4062686562538147,0.11129110306501389,0.16913433372974396
the,0.42745697498321533,0.48711544275283813,0.3718377649784088,0.535392165184021,0.25265660881996155,0.5829201340675354,0.3845241069793701,0.22307927906513214,0.2277156263589859,0.535392165184021,0.22027066349983215,1.0,0.22123943269252777,0.4223487675189972,0.22307927906513214,0.2277156263589859,0.48381632566452026,0.6251175999641418,0.3718377649784088,0.535392165184021,0.2531624138355255,0.22068053483963013
work,0.3762225806713104,0.24745555222034454,0.2676831781864166,0.3482864499092102,0.33973246812820435,0.266241192817688,0.2501217722892761,0.23697082698345184,0.23476560413837433,0.3482864499092102,0.28830793499946594,0.2704800069332123,0.2618348002433777,0.2649822533130646,0.23697082698345184,0.23476560413837433,0.32418152689933777,0.28838732838630676,0.2676831781864166,0.3482864499092102,0.2400975525379181,0.2621155381202698
of,0.33290785551071167,0.4069072902202606,0.3075267970561981,0.41548454761505127,0.23675619065761566,0.5052502155303955,0.343457967042923,0.23840996623039246,0.23506702482700348,0.41548454761505127,0.20857013761997223,0.733189046382904,0.17138417065143585,0.41827285289764404,0.23840996623039246,0.23506702482700348,0.3886612355709076,0.38761502504348755,0.3075267970561981,0.41548454761505127,0.2038130760192871,0.1826142966747284
leading,0.197072371840477,0.27386704087257385,0.1921008974313736,0.260200560092926,0.17912384867668152,0.26281067728996277,0.22327177226543427,0.13285088539123535,0.16465847194194794,0.260200560092926,0.11428207159042358,0.3809107840061188,0.24797725677490234,0.2195664644241333,0.13285088539123535,0.16465847194194794,0.26057323813438416,0.13066034018993378,0.1921008974313736,0.260200560092926,0.18691854178905487,0.1360926628112793
theoretical,0.3012935221195221,0.22156870365142822,0.22177909314632416,0.20695699751377106,0.2299949824810028,0.252067893743515,0.1620326191186905,0.4821963608264923,0.6152767539024353,0.20695699751377106,0.2821800708770752,0.21045458316802979,0.07634511590003967,0.15722839534282684,0.4821963608264923,0.6152767539024353,0.22322718799114227,0.1959863156080246,0.22177909314632416,0.20695699751377106,0.13962234556674957,0.14929188787937164
physicists,0.30818524956703186,0.18183836340904236,0.20543138682842255,0.23192022740840912,0.2164681851863861,0.16681431233882904,0.1790408194065094,0.5027279257774353,0.4610390365123749,0.23192022740840912,0.17902608215808868,0.20523659884929657,0.1033381000161171,0.16152241826057434,0.5027279257774353,0.4610390365123749,0.1672428399324417,0.23299601674079895,0.20543138682842255,0.23192022740840912,0.1121259331703186,0.1777985841035843
",",0.3087472915649414,0.45456063747406006,0.3120402991771698,0.44245919585227966,0.2240353375673294,0.427140474319458,0.36073189973831177,0.2182805985212326,0.18095813691616058,0.44245919585227966,0.28507503867149353,0.4933079481124878,0.2298090159893036,0.4120737314224243,0.2182805985212326,0.18095813691616058,0.48816442489624023,0.48329564929008484,0.3120402991771698,0.44245919585227966,0.27589988708496094,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.3864384889602661,0.45503583550453186,0.3041161596775055,1.0,0.3214259147644043,0.20650780200958252,0.2233850657939911,0.45503583550453186,0.17937800288200378,0.5829201340675354,0.18666279315948486,0.3783375024795532,0.20650780200958252,0.2233850657939911,0.39550232887268066,0.5452592968940735,0.3864384889602661,0.45503583550453186,0.26977941393852234,0.23916715383529663
new,0.2130378633737564,0.2748313844203949,0.154256209731102,0.33159172534942627,0.32890668511390686,0.3214259147644043,0.9999999403953552,0.11781591176986694,0.13607384264469147,0.33159172534942627,0.20592498779296875,0.3845241069793701,0.1462949812412262,0.24325589835643768,0.11781591176986694,0.13607384264469147,0.24585270881652832,0.23156195878982544,0.154256209731102,0.33159172534942627,0.16307230293750763,0.14782847464084625
