,what,was,the,centrifugal,governor,incapable,of,doing,?
the,0.42745697498321533,0.48711544275283813,1.0,0.2855057716369629,0.19955585896968842,0.221793532371521,0.733189046382904,0.29305580258369446,0.22068053483963013
governor,0.21184112131595612,0.25802454352378845,0.19955585896968842,0.1728789061307907,1.0,0.1868131309747696,0.19877229630947113,0.12981060147285461,0.135940283536911
could,0.4188697934150696,0.39896807074546814,0.35393214225769043,0.2753380239009857,0.0946362093091011,0.35836854577064514,0.29043012857437134,0.402386873960495,0.3411986827850342
not,0.5449194312095642,0.2888734042644501,0.4310511648654938,0.2910524010658264,0.1342020332813263,0.3812657296657562,0.3307090103626251,0.4610217809677124,0.41942933201789856
actually,0.5747550129890442,0.29136961698532104,0.39964747428894043,0.32499998807907104,0.15351872146129608,0.3947749435901642,0.3496170938014984,0.42567160725593567,0.36036357283592224
hold,0.20790280401706696,0.19631803035736084,0.3067915439605713,0.2499552220106125,0.1718888282775879,0.31091973185539246,0.2465030699968338,0.27050936222076416,0.18586084246635437
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3234909772872925,0.1417548954486847,0.24700237810611725,0.5052502155303955,0.3023574650287628,0.23916715383529663
set,0.28954121470451355,0.22985222935676575,0.2927955985069275,0.2084372490644455,0.16390177607536316,0.09767099469900131,0.20671486854553223,0.19122420251369476,0.1698019951581955
speed,0.23285695910453796,0.2205008864402771,0.2310667634010315,0.46514061093330383,0.11904416978359222,0.2947508692741394,0.1947416365146637,0.22867494821548462,0.17392314970493317
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20244556665420532,0.25151750445365906,0.2046925127506256,0.4946078956127167,0.31285786628723145,0.31091248989105225
because,0.46729007363319397,0.3841400742530823,0.44596394896507263,0.34712928533554077,0.09844399988651276,0.3031800091266632,0.4075504541397095,0.43942683935165405,0.2528740465641022
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.3275703191757202,0.19040265679359436,0.21785631775856018,0.38761502504348755,0.3171647787094116,0.25732165575027466
would,0.45766422152519226,0.41663143038749695,0.4133751392364502,0.27573809027671814,0.16948933899402618,0.36126694083213806,0.3353942930698395,0.4219750463962555,0.37178951501846313
assume,0.47351330518722534,0.17388269305229187,0.22952081263065338,0.294769287109375,0.15111573040485382,0.3663887083530426,0.25215187668800354,0.43086451292037964,0.39130663871765137
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3234909772872925,0.1417548954486847,0.24700237810611725,0.5052502155303955,0.3023574650287628,0.23916715383529663
new,0.2130378633737564,0.2748313844203949,0.3845241069793701,0.167406365275383,0.16761749982833862,0.16050605475902557,0.343457967042923,0.20402584969997406,0.14782847464084625
constant,0.22559526562690735,0.11607828736305237,0.2037150114774704,0.4232039749622345,0.13509675860404968,0.2292242795228958,0.25393494963645935,0.22756491601467133,0.14516431093215942
speed,0.23285695910453796,0.2205008864402771,0.2310667634010315,0.46514061093330383,0.11904416978359222,0.2947508692741394,0.1947416365146637,0.22867494821548462,0.17392314970493317
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.20533668994903564,0.19612561166286469,0.12878991663455963,0.5696388483047485,0.27240219712257385,0.20430970191955566
response,0.3532308340072632,0.2303798496723175,0.28909924626350403,0.25546994805336,0.16246771812438965,0.2967055141925812,0.21864040195941925,0.2668248414993286,0.2007838636636734
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.28058773279190063,0.15556925535202026,0.2589816153049469,0.41548454761505127,0.3272162973880768,0.29463258385658264
load,0.15150345861911774,0.06926365941762924,0.1801917552947998,0.39346548914909363,0.12167949229478836,0.1985655575990677,0.1411849856376648,0.23282204568386078,0.25886332988739014
changes,0.2740466892719269,0.17310309410095215,0.3427845537662506,0.27751511335372925,0.0875633955001831,0.18704193830490112,0.25827232003211975,0.33778607845306396,0.21264225244522095
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2542785704135895,0.2575504183769226,0.16453291475772858,0.5352458953857422,0.3253456652164459,0.4130953550338745
