,what,did,josel,ask,the,city,of,strasbourg,to,forbid,the,sale,of,?
josel,0.14145724475383759,0.17029181122779846,1.0,0.12949803471565247,0.23822356760501862,0.22385630011558533,0.21895205974578857,0.3985293507575989,0.16891537606716156,0.08275935053825378,0.23822356760501862,0.24759119749069214,0.21895205974578857,0.09231944382190704
asked,0.3468177318572998,0.5203380584716797,0.21717806160449982,0.6124382615089417,0.25750473141670227,0.15490056574344635,0.20290979743003845,0.1258596032857895,0.39673250913619995,0.28810039162635803,0.25750473141670227,0.1407746523618698,0.20290979743003845,0.28475281596183777
the,0.42745697498321533,0.34736719727516174,0.23822356760501862,0.21926461160182953,1.0,0.35769423842430115,0.733189046382904,0.23444372415542603,0.535392165184021,0.24011290073394775,1.0,0.23683100938796997,0.733189046382904,0.22068053483963013
city,0.17493832111358643,0.12266099452972412,0.22385630011558533,0.11953214555978775,0.35769423842430115,1.0,0.32503411173820496,0.286662757396698,0.20300441980361938,0.17494648694992065,0.35769423842430115,0.12068264186382294,0.32503411173820496,0.13423943519592285
of,0.33290785551071167,0.2513895630836487,0.21895205974578857,0.18911920487880707,0.733189046382904,0.32503411173820496,1.0,0.2756233513355255,0.41548454761505127,0.2880786955356598,0.733189046382904,0.18532836437225342,1.0,0.1826142966747284
strasbourg,0.17556358873844147,0.11865007877349854,0.3985293507575989,0.1630047708749771,0.23444372415542603,0.286662757396698,0.2756233513355255,1.0000001192092896,0.1613924205303192,0.23112405836582184,0.23444372415542603,0.20008206367492676,0.2756233513355255,0.12678104639053345
to,0.455847829580307,0.4452643394470215,0.16891537606716156,0.3951546251773834,0.535392165184021,0.20300441980361938,0.41548454761505127,0.1613924205303192,1.0,0.3468911945819855,0.535392165184021,0.28558340668678284,0.41548454761505127,0.29463258385658264
forbid,0.32586637139320374,0.3532564043998718,0.08275935053825378,0.36030274629592896,0.24011290073394775,0.17494648694992065,0.2880786955356598,0.23112405836582184,0.3468911945819855,1.0,0.24011290073394775,0.25594303011894226,0.2880786955356598,0.3301309645175934
the,0.42745697498321533,0.34736719727516174,0.23822356760501862,0.21926461160182953,1.0,0.35769423842430115,0.733189046382904,0.23444372415542603,0.535392165184021,0.24011290073394775,1.0,0.23683100938796997,0.733189046382904,0.22068053483963013
sale,0.19106879830360413,0.17367155849933624,0.24759119749069214,0.164940744638443,0.23683100938796997,0.12068264186382294,0.18532836437225342,0.20008206367492676,0.28558340668678284,0.25594303011894226,0.23683100938796997,1.0000001192092896,0.18532836437225342,0.10629682242870331
of,0.33290785551071167,0.2513895630836487,0.21895205974578857,0.18911920487880707,0.733189046382904,0.32503411173820496,1.0,0.2756233513355255,0.41548454761505127,0.2880786955356598,0.733189046382904,0.18532836437225342,1.0,0.1826142966747284
luther,0.2134782373905182,0.23667675256729126,0.2696872353553772,0.1694738268852234,0.1759674996137619,0.1066574677824974,0.1719115972518921,0.31421807408332825,0.18029534816741943,0.22294503450393677,0.1759674996137619,0.12257428467273712,0.1719115972518921,0.1732746809720993
's,0.02692362666130066,0.05069678649306297,-0.0021682356018573046,0.024097878485918045,-0.01540423184633255,0.004406440537422895,-0.03817026689648628,0.004336394369602203,0.03782717138528824,-0.049052052199840546,-0.01540423184633255,0.02224520407617092,-0.03817026689648628,-0.023395681753754616
anti-jewish,0.24965569376945496,0.2533884048461914,0.28719496726989746,0.2857206463813782,0.2829035222530365,0.2875927984714508,0.2563115656375885,0.2551896870136261,0.28858062624931335,0.3203319311141968,0.2829035222530365,0.22135582566261292,0.2563115656375885,0.26591992378234863
works,0.2418437898159027,0.17949827015399933,0.1973487138748169,0.20437851548194885,0.26337864995002747,0.1283625364303589,0.1964656114578247,0.12115440517663956,0.22564561665058136,0.15405774116516113,0.26337864995002747,0.19619517028331757,0.1964656114578247,0.19597402215003967
:,-0.12022944539785385,-0.05305134505033493,0.04732433333992958,-0.06502138078212738,-0.03403344005346298,-0.06421580910682678,-0.08807745575904846,0.09219326078891754,-0.09243495017290115,-0.13549748063087463,-0.03403344005346298,-0.004612274933606386,-0.08807745575904846,-0.07156077772378922
they,0.4431931674480438,0.4879390597343445,0.14576108753681183,0.2959772050380707,0.49925389885902405,0.17537204921245575,0.3426007330417633,0.16451707482337952,0.5452046394348145,0.3063366711139679,0.49925389885902405,0.2373676896095276,0.3426007330417633,0.2753053903579712
refused,0.19773393869400024,0.5581128597259521,0.14707127213478088,0.38287365436553955,0.2606237530708313,0.10871024429798126,0.21729640662670135,0.16357868909835815,0.41818010807037354,0.374592125415802,0.2606237530708313,0.17974740266799927,0.21729640662670135,0.14580921828746796
initially,0.24580118060112,0.2628418803215027,0.13841287791728973,0.15031953155994415,0.2997018098831177,0.15141667425632477,0.21367986500263214,0.1627049297094345,0.30896347761154175,0.16914023458957672,0.2997018098831177,0.25233617424964905,0.21367986500263214,0.0699334517121315
",",0.3087472915649414,0.3015086054801941,0.28542959690093994,0.2689289450645447,0.4933079481124878,0.35839709639549255,0.4946078956127167,0.2589317262172699,0.44245919585227966,0.2791818380355835,0.4933079481124878,0.230073943734169,0.4946078956127167,0.31091248989105225
