,who,was,upt,forced,to,separate,themselves,from,in,1949,?
at,0.22096660733222961,0.36707764863967896,0.08853987604379654,0.21049343049526215,0.36524343490600586,0.19754810631275177,0.15148186683654785,0.3447161316871643,0.4374977946281433,0.1085570678114891,0.21978627145290375
the,0.3733934462070465,0.48711544275283813,0.25772973895072937,0.2571122944355011,0.535392165184021,0.3612915575504303,0.3444426357746124,0.40150508284568787,0.6662389636039734,0.2687380611896515,0.22068053483963013
end,0.15423893928527832,0.19220198690891266,0.17668381333351135,0.2617371678352356,0.3229445815086365,0.2222100794315338,0.18844814598560333,0.31609439849853516,0.28539085388183594,0.07470493018627167,0.12543344497680664
of,0.2827862501144409,0.4069072902202606,0.16551406681537628,0.27082350850105286,0.41548454761505127,0.33388569951057434,0.2638634443283081,0.4249346852302551,0.5696388483047485,0.2565067410469055,0.1826142966747284
1949,0.15308405458927155,0.22808216512203217,0.1327783614397049,0.13392876088619232,0.2212606966495514,0.2584475874900818,0.139275923371315,0.1600027084350586,0.17519041895866394,0.9999999403953552,0.16888584196567535
",",0.3365725874900818,0.45456063747406006,0.23893846571445465,0.2527396082878113,0.44245919585227966,0.2999747693538666,0.19974499940872192,0.39760664105415344,0.5201468467712402,0.1767846941947937,0.31091248989105225
movie,0.2578212320804596,0.3245687186717987,0.21344828605651855,0.13584040105342865,0.2026578187942505,0.07387781888246536,0.09110815078020096,0.22314418852329254,0.2507663369178772,0.15285533666610718,0.18408656120300293
theater,0.20615032315254211,0.3185870051383972,0.08220668882131577,0.13668978214263916,0.1754733920097351,0.12475679814815521,0.05690121650695801,0.1358756572008133,0.3081531822681427,0.15508636832237244,0.12811817228794098
operator,0.20449180901050568,0.2075299620628357,0.11414141207933426,0.13022062182426453,0.24327775835990906,0.1712522655725479,0.07014656811952591,0.12107858806848526,0.25355902314186096,0.07159357517957687,0.12810945510864258
united,0.21193812787532806,0.31727492809295654,0.07505986094474792,0.17400850355625153,0.2715383470058441,0.20086796581745148,0.13945834338665009,0.27339106798171997,0.3938477039337158,0.1861564666032791,0.17266890406608582
