,who,is,the,producer,of,doctor,who,?
doctor,0.3504868149757385,0.19875872135162354,0.2820442318916321,0.23966555297374725,0.16895952820777893,0.9999999403953552,0.3504868149757385,0.1462511420249939
who,0.9999998807907104,0.24293622374534607,0.3733934462070465,0.20600847899913788,0.2827862501144409,0.3504868149757385,0.9999998807907104,0.26220351457595825
is,0.24293622374534607,1.0,0.5823672413825989,0.2122708410024643,0.4854315221309662,0.19875872135162354,0.24293622374534607,0.22961433231830597
a,0.36608949303627014,0.658733606338501,0.5829201340675354,0.2085941731929779,0.5052502155303955,0.22883038222789764,0.36608949303627014,0.23916715383529663
british,0.2666113078594208,0.19484983384609222,0.28973397612571716,0.24601586163043976,0.23701532185077667,0.19140693545341492,0.2666113078594208,0.09711728990077972
science-fiction,0.24990907311439514,0.3197912871837616,0.28611838817596436,0.2643291652202606,0.2931134104728699,0.39818131923675537,0.24990907311439514,0.22927473485469818
television,0.2515988349914551,0.21374565362930298,0.24569597840309143,0.3802628219127655,0.21995750069618225,0.31410008668899536,0.2515988349914551,0.16825827956199646
programme,0.2317163497209549,0.20126456022262573,0.23601844906806946,0.2234380841255188,0.18707643449306488,0.2561369240283966,0.2317163497209549,0.139840766787529
produced,0.12907662987709045,0.25678005814552307,0.22045251727104187,0.5258541107177734,0.18961067497730255,0.12545296549797058,0.12907662987709045,0.1623450517654419
by,0.39727845788002014,0.3899846076965332,0.4408751428127289,0.236362025141716,0.3646814823150635,0.13681447505950928,0.39727845788002014,0.17966607213020325
the,0.3733934462070465,0.5823672413825989,1.0,0.20962586998939514,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
bbc,0.2086644321680069,0.19024956226348877,0.2735401690006256,0.26495593786239624,0.1797877550125122,0.32370132207870483,0.2086644321680069,0.20556949079036713
since,0.27765995264053345,0.3567592203617096,0.4054957628250122,0.186207577586174,0.35513219237327576,0.10913390666246414,0.27765995264053345,0.2876587212085724
1963,-0.045281361788511276,0.07947119325399399,0.03728247061371803,-0.02944372221827507,0.040411919355392456,0.008513279259204865,-0.045281361788511276,0.03411978855729103
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.2136206030845642,0.5352458953857422,0.22361043095588684,0.3541337847709656,0.4130953550338745
