,what,does,pushing,and,pulling,perceptions,provide,for,describing,forces,?
since,0.29783400893211365,0.23816218972206116,0.14435093104839325,0.3515571057796478,0.15509924292564392,0.12396407872438431,0.18358436226844788,0.36751601099967957,0.18175971508026123,0.18879997730255127,0.2876587212085724
forces,0.2112482488155365,0.15523643791675568,0.323599636554718,0.26456665992736816,0.22975192964076996,0.2125069797039032,0.2086971402168274,0.14048048853874207,0.13574545085430145,1.0,0.16984491050243378
are,0.29724663496017456,0.3126322329044342,0.20770537853240967,0.48576638102531433,0.2545705735683441,0.30092594027519226,0.3588597774505615,0.3895993232727051,0.24324870109558105,0.22039441764354706,0.24591213464736938
perceived,0.35275155305862427,0.29089993238449097,0.2997595965862274,0.24759353697299957,0.22998671233654022,0.5251032114028931,0.23686274886131287,0.19987857341766357,0.33200883865356445,0.22492630779743195,0.20685844123363495
as,0.31749409437179565,0.31202155351638794,0.24153563380241394,0.49487000703811646,0.2525683343410492,0.20602279901504517,0.29995355010032654,0.44774648547172546,0.28564131259918213,0.1724308878183365,0.27043893933296204
pushes,0.2766447365283966,0.3622220456600189,0.6480184197425842,0.26513609290122986,0.5592432022094727,0.20498202741146088,0.1833188831806183,0.17066878080368042,0.19090448319911957,0.3315795361995697,0.17036858201026917
or,0.33867141604423523,0.4248845875263214,0.2924133241176605,0.4713204801082611,0.31979939341545105,0.3114143908023834,0.36427032947540283,0.4111599624156952,0.3789467215538025,0.17726115882396698,0.32389625906944275
pulls,0.2309534251689911,0.3054320514202118,0.4935843050479889,0.2881987690925598,0.7511372566223145,0.21369868516921997,0.2113800197839737,0.22784322500228882,0.2129477560520172,0.2803494930267334,0.14441001415252686
",",0.3087472915649414,0.28617382049560547,0.2548750638961792,0.6633074283599854,0.19414186477661133,0.24212439358234406,0.20966707170009613,0.4464869201183319,0.18802613019943237,0.2544684410095215,0.31091248989105225
this,0.5489566326141357,0.4166489243507385,0.37467607855796814,0.42353692650794983,0.3045024573802948,0.28635457158088684,0.31749656796455383,0.5082864165306091,0.3449174463748932,0.24922366440296173,0.3155723512172699
can,0.34502777457237244,0.5156301856040955,0.2682626247406006,0.3675691485404968,0.29341354966163635,0.3367692232131958,0.3899819850921631,0.35690054297447205,0.2754853069782257,0.15958181023597717,0.3226337134838104
provide,0.27049049735069275,0.3120734691619873,0.18791373074054718,0.32960009574890137,0.22847335040569305,0.20129603147506714,1.0,0.42299434542655945,0.3190901279449463,0.2086971402168274,0.22704634070396423
an,0.2821882665157318,0.29477936029434204,0.21437960863113403,0.2838519215583801,0.19227543473243713,0.17794491350650787,0.24505722522735596,0.3236706852912903,0.24436134099960327,0.16929563879966736,0.19793890416622162
intuitive,0.34618091583251953,0.323604941368103,0.25296667218208313,0.1965027153491974,0.2582015097141266,0.4856024384498596,0.3362399637699127,0.23791468143463135,0.42081713676452637,0.15115609765052795,0.34172603487968445
understanding,0.4748767614364624,0.377290278673172,0.3127650022506714,0.34223711490631104,0.21811595559120178,0.4679877460002899,0.40729692578315735,0.36845552921295166,0.41619056463241577,0.21859560906887054,0.3107462525367737
for,0.3017193675041199,0.35159170627593994,0.20903702080249786,0.5064792633056641,0.2708468437194824,0.25801223516464233,0.42299434542655945,0.9999999403953552,0.3185044229030609,0.14048048853874207,0.264628142118454
describing,0.31072598695755005,0.253566175699234,0.2091553807258606,0.24380511045455933,0.22351360321044922,0.28506794571876526,0.3190901279449463,0.3185044229030609,1.0,0.13574545085430145,0.20341216027736664
forces,0.2112482488155365,0.15523643791675568,0.323599636554718,0.26456665992736816,0.22975192964076996,0.2125069797039032,0.2086971402168274,0.14048048853874207,0.13574545085430145,1.0,0.16984491050243378
.,0.3567904531955719,0.3022993505001068,0.2511032223701477,0.588965117931366,0.21244435012340546,0.20417892932891846,0.23842981457710266,0.4726039469242096,0.19878196716308594,0.21802116930484772,0.4130953550338745
