,what,did,jim,gray,cover,?
jim,0.17815354466438293,0.11088504642248154,1.0,0.21212291717529297,0.1859302520751953,0.09886423498392105
gray,0.15054908394813538,0.11630945652723312,0.21212291717529297,1.0,0.22412964701652527,0.18180930614471436
will,0.3510494530200958,0.40638336539268494,0.1457546502351761,0.12231414765119553,0.19302411377429962,0.35046905279159546
anchor,0.14488151669502258,0.07074887305498123,0.21347492933273315,0.2388899028301239,0.17411455512046814,0.12241752445697784
the,0.42745697498321533,0.34736719727516174,0.21709053218364716,0.20816172659397125,0.26727065443992615,0.22068053483963013
pre-game,0.28076252341270447,0.21737422049045563,0.17145495116710663,0.14459985494613647,0.17671525478363037,0.2883962392807007
and,0.31309178471565247,0.34479495882987976,0.20620384812355042,0.2884683907032013,0.27793973684310913,0.20544172823429108
halftime,0.18945850431919098,0.25294193625450134,0.27016735076904297,0.18481862545013428,0.3009667694568634,0.21138669550418854
coverage,0.2971228361129761,0.28288882970809937,0.08926896005868912,0.06740132719278336,0.45714977383613586,0.2543165385723114
.,0.3567904531955719,0.35288307070732117,0.20377755165100098,0.2714194655418396,0.22325164079666138,0.4130953550338745
