,what,kind,of,amino,acids,are,overrepresented,in,epitope,regions,?
early,0.2454567849636078,0.2119108885526657,0.30937549471855164,0.11616740375757217,0.14750175178050995,0.21465954184532166,0.23983941972255707,0.34672921895980835,0.28520721197128296,0.12022180110216141,0.15272949635982513
techniques,0.19165433943271637,0.2446884661912918,0.2114233523607254,0.253583163022995,0.2592664361000061,0.23532822728157043,0.19349195063114166,0.22916999459266663,0.18978983163833618,0.2505793869495392,0.1533757448196411
relied,0.31698423624038696,0.22948871552944183,0.2752161920070648,0.22140301764011383,0.20532889664173126,0.25121834874153137,0.2754632532596588,0.22985701262950897,0.10826444625854492,0.1859094500541687,0.11906863749027252
mainly,0.29325804114341736,0.32429859042167664,0.3325652480125427,0.20157335698604584,0.21414197981357574,0.40445566177368164,0.1900072693824768,0.353954017162323,0.20336386561393738,0.30288955569267273,0.07608037441968918
on,0.34226128458976746,0.1850661337375641,0.3966929316520691,0.17053428292274475,0.1776890754699707,0.268924742937088,0.2307453751564026,0.46853652596473694,0.24578791856765747,0.1871456503868103,0.2714994251728058
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2069987654685974,0.16902804374694824,0.40399202704429626,0.33988216519355774,0.6662389636039734,0.316259503364563,0.36158451437950134,0.22068053483963013
observation,0.2846803367137909,0.25540757179260254,0.2131652981042862,0.19778400659561157,0.16602079570293427,0.21429668366909027,0.2123878300189972,0.22631743550300598,0.27189958095550537,0.158229798078537,0.15791697800159454
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.26085928082466125,0.2479507476091385,0.45265161991119385,0.3276154398918152,0.435920387506485,0.2623900771141052,0.22637471556663513,0.32716336846351624
hydrophilic,0.12597359716892242,0.27835503220558167,0.212540864944458,0.4853774309158325,0.6363056898117065,0.28906679153442383,0.19733896851539612,0.1986083984375,0.22234617173671722,0.23285283148288727,0.1540590524673462
amino,0.19441649317741394,0.18354739248752594,0.1863875389099121,1.0,0.7611264586448669,0.28922685980796814,0.11928804218769073,0.18299956619739532,0.29948827624320984,0.2600119113922119,0.17202535271644592
acids,0.16600719094276428,0.19400130212306976,0.17266087234020233,0.7611264586448669,1.0,0.3076273202896118,0.10895705968141556,0.19412952661514282,0.2637096345424652,0.2594456970691681,0.179454505443573
are,0.29724663496017456,0.296465665102005,0.39081433415412903,0.28922685980796814,0.3076273202896118,1.0,0.26537075638771057,0.3841303884983063,0.21070222556591034,0.3568890690803528,0.24591213464736938
overrepresented,0.2508111894130707,0.18003486096858978,0.39042750000953674,0.11928804218769073,0.10895705968141556,0.26537075638771057,1.0,0.3240761160850525,0.1917644590139389,0.1874038279056549,0.2569687068462372
