,after,asking,if,the,books,were,his,",",what,else,did,eck,ask,luther,?
johann,0.15328314900398254,0.05054138973355293,0.19197311997413635,0.1716882735490799,0.17506268620491028,0.20254716277122498,0.2528531551361084,0.23122678697109222,0.14257463812828064,0.16673734784126282,0.20292572677135468,0.41396206617355347,0.11048242449760437,0.3837730586528778,0.1194499209523201
eck,0.1608361452817917,0.07383885234594345,0.14506857097148895,0.24178750813007355,0.2603786289691925,0.10748579353094101,0.27123960852622986,0.2767295837402344,0.20082831382751465,0.15387332439422607,0.16970084607601166,1.0000001192092896,0.1358880251646042,0.3661292493343353,0.17439329624176025
",",0.38860568404197693,0.27350926399230957,0.257730096578598,0.4933079481124878,0.258169561624527,0.36755475401878357,0.3378419280052185,1.0000001192092896,0.3087472915649414,0.2643522322177887,0.3015086054801941,0.2767295837402344,0.2689289450645447,0.23255878686904907,0.31091248989105225
speaking,0.1886710226535797,0.27956798672676086,0.20044872164726257,0.34174251556396484,0.15300601720809937,0.2448127269744873,0.22401155531406403,0.2840890884399414,0.3079870939254761,0.19291625916957855,0.21895916759967804,0.19706572592258453,0.19680307805538177,0.14732424914836884,0.18994855880737305
on,0.39330315589904785,0.22407695651054382,0.24549968540668488,0.5107308030128479,0.24774901568889618,0.2774328887462616,0.32064297795295715,0.49057599902153015,0.34226128458976746,0.19637921452522278,0.2670976221561432,0.2982678711414337,0.19176903367042542,0.19090485572814941,0.2714994251728058
behalf,0.23158709704875946,0.36622297763824463,0.231441929936409,0.29712867736816406,0.13368810713291168,0.16607914865016937,0.33685311675071716,0.23490607738494873,0.2744588255882263,0.2676243484020233,0.25262075662612915,0.1752970814704895,0.3353413939476013,0.19120970368385315,0.15256446599960327
of,0.3867455720901489,0.22649909555912018,0.2557544410228729,0.733189046382904,0.18863578140735626,0.34038281440734863,0.38364991545677185,0.4946078956127167,0.33290785551071167,0.1318979412317276,0.2513895630836487,0.24540671706199646,0.18911920487880707,0.1719115972518921,0.1826142966747284
the,0.4565047025680542,0.2650352418422699,0.33724796772003174,1.0,0.23187310993671417,0.3906462490558624,0.4394008219242096,0.4933079481124878,0.42745697498321533,0.19370581209659576,0.34736719727516174,0.24178750813007355,0.21926461160182953,0.1759674996137619,0.22068053483963013
empire,0.23534879088401794,0.09594722837209702,0.14560888707637787,0.32532164454460144,0.16313789784908295,0.25456157326698303,0.22914105653762817,0.27646857500076294,0.21723191440105438,0.11519955098628998,0.18850058317184448,0.18429499864578247,0.15537318587303162,0.10935846716165543,0.14909450709819794
as,0.3014480769634247,0.2780965566635132,0.3354816734790802,0.48381632566452026,0.2024291753768921,0.3025437891483307,0.3146366477012634,0.48816442489624023,0.31749409437179565,0.24226929247379303,0.3596470057964325,0.2964993417263031,0.2922660708427429,0.20242992043495178,0.27043893933296204
assistant,0.16943487524986267,0.18941029906272888,0.09584718197584152,0.14871449768543243,0.09199637174606323,0.14770172536373138,0.26504063606262207,0.24455159902572632,0.13693960011005402,0.06768523901700974,0.1719101071357727,0.19805623590946198,0.2445787936449051,0.14209464192390442,0.08149340003728867
