,what,was,the,bubonic,plague,mechanism,reliant,on,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3366847634315491,0.2537761330604553,0.24941077828407288,0.26550695300102234,0.5107308030128479,0.22068053483963013
bubonic,0.24423125386238098,0.2626744210720062,0.3366847634315491,1.0,0.6634843349456787,0.33337855339050293,0.22076117992401123,0.19245420396327972,0.21706949174404144
plague,0.22263506054878235,0.24312011897563934,0.2537761330604553,0.6634843349456787,0.9999999403953552,0.17687684297561646,0.1452517807483673,0.16606301069259644,0.11872942000627518
mechanism,0.2635997533798218,0.1742776781320572,0.24941077828407288,0.33337855339050293,0.17687684297561646,1.0,0.2249801605939865,0.1888786405324936,0.1732848435640335
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2626744210720062,0.24312011897563934,0.1742776781320572,0.28889036178588867,0.3909217119216919,0.18412111699581146
also,0.42747777700424194,0.4032125174999237,0.6021018624305725,0.33681103587150574,0.21276697516441345,0.27261269092559814,0.30560043454170227,0.3762153089046478,0.21848613023757935
dependent,0.2771287262439728,0.13589100539684296,0.23169851303100586,0.21772854030132294,0.10578613728284836,0.31134894490242004,0.26126828789711,0.23826982080936432,0.1324409693479538
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.19245420396327972,0.16606301069259644,0.1888786405324936,0.23854757845401764,0.9999999403953552,0.2714994251728058
two,0.23363454639911652,0.27166637778282166,0.43858039379119873,0.25502434372901917,0.13979247212409973,0.1846165955066681,0.16074439883232117,0.3205535411834717,0.19645625352859497
populations,0.19647875428199768,0.1152937039732933,0.2796059846878052,0.3621062636375427,0.26550257205963135,0.24987627565860748,0.2053273618221283,0.1765957623720169,0.17519071698188782
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.30323511362075806,0.27455615997314453,0.21395906805992126,0.19476398825645447,0.3966929316520691,0.1826142966747284
rodents,0.21771547198295593,0.13626764714717865,0.24265769124031067,0.44726404547691345,0.3240010738372803,0.2950342297554016,0.15757644176483154,0.22158418595790863,0.1706136018037796
:,-0.12022944539785385,0.002802103292196989,-0.03403344005346298,-0.15891046822071075,-0.19226768612861633,-0.11939525604248047,-0.03221864253282547,-0.06502202153205872,-0.07156077772378922
one,0.376489520072937,0.3752199709415436,0.5514441132545471,0.2513017952442169,0.1870330423116684,0.19522151350975037,0.2601456046104431,0.3601475656032562,0.2673267424106598
resistant,0.19214145839214325,0.15027830004692078,0.19982527196407318,0.3631674647331238,0.2511041760444641,0.25637710094451904,0.30540987849235535,0.09756070375442505,0.0663314014673233
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.2726469933986664,0.21845681965351105,0.24238377809524536,0.24357156455516815,0.41031414270401,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.3366847634315491,0.2537761330604553,0.24941077828407288,0.26550695300102234,0.5107308030128479,0.22068053483963013
disease,0.2391042411327362,0.1844245046377182,0.22720423340797424,0.541936993598938,0.43937912583351135,0.26852181553840637,0.17502687871456146,0.14357414841651917,0.16159942746162415
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.32434335350990295,0.2630122900009155,0.12176363915205002,0.27739420533180237,0.49057599902153015,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.3537697494029999,0.25075629353523254,0.37143468856811523,0.32712414860725403,0.4245251417160034,0.25814583897590637
act,0.2622668445110321,0.1887621134519577,0.28682878613471985,0.1744019091129303,0.13781489431858063,0.19537308812141418,0.11792776733636856,0.17222115397453308,0.1482519507408142
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.24064815044403076,0.1501513570547104,0.18819177150726318,0.29526016116142273,0.36047765612602234,0.27043893933296204
hosts,0.07549575716257095,0.16942758858203888,0.31077179312705994,0.15276065468788147,0.14371314644813538,0.12329188734292984,0.2214834839105606,0.22706563770771027,0.0862068235874176
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.32434335350990295,0.2630122900009155,0.12176363915205002,0.27739420533180237,0.49057599902153015,0.31091248989105225
keeping,0.3156749904155731,0.18702226877212524,0.271767258644104,0.15560735762119293,0.10105492174625397,0.18371999263763428,0.26939550042152405,0.2436402589082718,0.2775583565235138
the,0.42745697498321533,0.48711544275283813,1.0,0.3366847634315491,0.2537761330604553,0.24941077828407288,0.26550695300102234,0.5107308030128479,0.22068053483963013
disease,0.2391042411327362,0.1844245046377182,0.22720423340797424,0.541936993598938,0.43937912583351135,0.26852181553840637,0.17502687871456146,0.14357414841651917,0.16159942746162415
endemic,0.09419196844100952,0.13094700872898102,0.21873489022254944,0.4967942237854004,0.38072454929351807,0.12524671852588654,0.199533611536026,0.20128726959228516,0.12765537202358246
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.32434335350990295,0.2630122900009155,0.12176363915205002,0.27739420533180237,0.49057599902153015,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2855597734451294,0.2229994833469391,0.13620422780513763,0.27079182863235474,0.4077630043029785,0.20544172823429108
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2694512903690338,0.22077761590480804,0.2361949384212494,0.24476805329322815,0.3848365545272827,0.23916715383529663
second,0.19948028028011322,0.3858029544353485,0.4620301127433777,0.15241467952728271,0.17621594667434692,0.10522713512182236,0.2196485698223114,0.26659107208251953,0.17239587008953094
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.36367517709732056,0.23825600743293762,0.29632803797721863,0.3370024561882019,0.42569106817245483,0.32716336846351624
lack,0.28247135877609253,0.12372270971536636,0.2674623131752014,0.26180464029312134,0.19686730206012726,0.30783790349960327,0.31275469064712524,0.25299304723739624,0.16953514516353607
resistance,0.1382468044757843,0.224801167845726,0.2521642744541168,0.2903362512588501,0.23728275299072266,0.20858339965343475,0.2517029047012329,0.1404474973678589,0.026361597701907158
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.3113137483596802,0.2547653317451477,0.1935136765241623,0.2801310122013092,0.49257001280784607,0.4130953550338745
