,from,whom,did,the,huguenots,in,south,carolina,purchase,land,from,?
after,0.4051513373851776,0.26001983880996704,0.30330467224121094,0.4565047025680542,0.27856364846229553,0.44050168991088867,0.21278640627861023,0.1946459859609604,0.15321393311023712,0.19933275878429413,0.4051513373851776,0.16608688235282898
petitioning,0.1328360140323639,0.2353762984275818,0.2511616349220276,0.28924113512039185,0.19691771268844604,0.24692147970199585,0.07272844761610031,0.10153407603502274,0.26057514548301697,0.09987178444862366,0.1328360140323639,0.22180883586406708
the,0.40150508284568787,0.23752936720848083,0.34736719727516174,1.0,0.30745792388916016,0.6662389636039734,0.3129390776157379,0.24749229848384857,0.242343470454216,0.28587454557418823,0.40150508284568787,0.22068053483963013
british,0.21991202235221863,0.22915877401828766,0.2039594054222107,0.28973397612571716,0.2702842354774475,0.23084034025669098,0.26024845242500305,0.19608494639396667,0.1015871912240982,0.16519016027450562,0.21991202235221863,0.09711728990077972
crown,0.1582959145307541,0.14048241078853607,0.14185261726379395,0.2646690607070923,0.22270731627941132,0.2139754444360733,0.1819448471069336,0.14010629057884216,0.26981955766677856,0.2354726791381836,0.1582959145307541,0.09979621320962906
in,0.4274188280105591,0.20012985169887543,0.2593238651752472,0.6662389636039734,0.25916293263435364,1.0,0.33642083406448364,0.2380082756280899,0.18969708681106567,0.22871792316436768,0.4274188280105591,0.20430970191955566
1697,0.1348508894443512,0.053836576640605927,0.10059000551700592,0.185462087392807,0.08845018595457077,0.15151424705982208,0.16741402447223663,0.05955812707543373,0.016549523919820786,0.20468781888484955,0.1348508894443512,0.18880613148212433
for,0.314039945602417,0.24361787736415863,0.318512886762619,0.4739971458911896,0.17568211257457733,0.4322226941585541,0.17502866685390472,0.17749637365341187,0.2267349809408188,0.19845563173294067,0.314039945602417,0.264628142118454
the,0.40150508284568787,0.23752936720848083,0.34736719727516174,1.0,0.30745792388916016,0.6662389636039734,0.3129390776157379,0.24749229848384857,0.242343470454216,0.28587454557418823,0.40150508284568787,0.22068053483963013
right,0.2076886147260666,0.15055778622627258,0.26817142963409424,0.33901116251945496,0.15242624282836914,0.16096803545951843,0.1653599739074707,0.100518137216568,0.13775239884853363,0.17665857076644897,0.2076886147260666,0.27135515213012695
to,0.4069952368736267,0.3108522593975067,0.4452643394470215,0.535392165184021,0.2685132324695587,0.45010748505592346,0.25657615065574646,0.23296888172626495,0.2556370198726654,0.2885280251502991,0.4069952368736267,0.29463258385658264
own,0.23242637515068054,0.2632460296154022,0.34475913643836975,0.334675133228302,0.20235732197761536,0.31893372535705566,0.13436861336231232,0.10376729816198349,0.27824869751930237,0.2225065380334854,0.23242637515068054,0.1937696635723114
land,0.21997374296188354,0.1605973243713379,0.19881628453731537,0.28587454557418823,0.2369009107351303,0.22871792316436768,0.25411319732666016,0.17214277386665344,0.307309091091156,1.0000001192092896,0.21997374296188354,0.1432059109210968
in,0.4274188280105591,0.20012985169887543,0.2593238651752472,0.6662389636039734,0.25916293263435364,1.0,0.33642083406448364,0.2380082756280899,0.18969708681106567,0.22871792316436768,0.4274188280105591,0.20430970191955566
the,0.40150508284568787,0.23752936720848083,0.34736719727516174,1.0,0.30745792388916016,0.6662389636039734,0.3129390776157379,0.24749229848384857,0.242343470454216,0.28587454557418823,0.40150508284568787,0.22068053483963013
baronies,0.19653388857841492,0.2882492244243622,0.31989729404449463,0.32758626341819763,0.4644451141357422,0.3076173663139343,0.17183881998062134,0.27033689618110657,0.2831364870071411,0.248855322599411,0.19653388857841492,0.12904997169971466
",",0.39760664105415344,0.25587570667266846,0.3015086054801941,0.4933079481124878,0.23394492268562317,0.5201468467712402,0.3256652057170868,0.2566046118736267,0.220005065202713,0.22220008075237274,0.39760664105415344,0.31091248989105225
they,0.3321932256221771,0.3403101861476898,0.4879390597343445,0.49925389885902405,0.2739465832710266,0.4330179989337921,0.21056854724884033,0.19257405400276184,0.23147565126419067,0.2857455909252167,0.3321932256221771,0.2753053903579712
prospered,0.16484852135181427,0.2328944355249405,0.19194327294826508,0.3039306104183197,0.3079465329647064,0.2574298679828644,0.2570410668849945,0.21468648314476013,0.2791821360588074,0.2671208381652832,0.16484852135181427,0.14308592677116394
as,0.3251767158508301,0.31695985794067383,0.3596470057964325,0.48381632566452026,0.14947842061519623,0.3887844979763031,0.21022742986679077,0.1645849645137787,0.21536961197853088,0.17944268882274628,0.3251767158508301,0.27043893933296204
