,who,identified,gravity,as,a,force,?
what,0.40942975878715515,0.16489295661449432,0.259439080953598,0.31749409437179565,0.3320399522781372,0.16915984451770782,0.5051238536834717
we,0.3228752911090851,0.20020326972007751,0.2679198980331421,0.26990577578544617,0.34842976927757263,0.17813695967197418,0.535264790058136
now,0.29819536209106445,0.1853131800889969,0.12382722645998001,0.3483183979988098,0.3046339154243469,0.14073489606380463,0.29641881585121155
call,0.2639438807964325,0.2114015817642212,0.09592597186565399,0.2785561680793762,0.2774817645549774,0.12727190554141998,0.23091886937618256
gravity,0.1279381811618805,0.16928832232952118,0.9999999403953552,0.1831320971250534,0.18152470886707306,0.4355055093765259,0.18354056775569916
was,0.3318818509578705,0.22457899153232574,0.15787701308727264,0.3677520453929901,0.4508470594882965,0.20879842340946198,0.18412111699581146
not,0.369414746761322,0.24491699039936066,0.18105222284793854,0.5105602741241455,0.3791346549987793,0.17318668961524963,0.41942933201789856
identified,0.28017953038215637,0.9999999403953552,0.16928832232952118,0.31918391585350037,0.25864356756210327,0.09104926884174347,0.18080152571201324
as,0.3923053741455078,0.31918391585350037,0.1831320971250534,1.0,0.39550232887268066,0.19216643273830414,0.27043893933296204
a,0.36608949303627014,0.25864356756210327,0.18152470886707306,0.39550232887268066,1.0,0.2451154738664627,0.23916715383529663
universal,0.1685853749513626,0.1433570683002472,0.27375394105911255,0.2161426991224289,0.20401886105537415,0.14701931178569794,0.2074412703514099
force,0.19492056965827942,0.09104926884174347,0.4355055093765259,0.19216643273830414,0.2451154738664627,1.0000001192092896,0.1650998443365097
until,0.2530071437358856,0.14799590408802032,0.10520266741514206,0.3237951695919037,0.2314814180135727,0.17307981848716736,0.20304496586322784
the,0.3733934462070465,0.3162215054035187,0.22609853744506836,0.48381632566452026,0.5829201340675354,0.2800885736942291,0.22068053483963013
work,0.3146236836910248,0.1937379091978073,0.2386413961648941,0.32418152689933777,0.266241192817688,0.1958054006099701,0.2621155381202698
of,0.2827862501144409,0.30219629406929016,0.17525646090507507,0.3886612355709076,0.5052502155303955,0.27094775438308716,0.1826142966747284
isaac,0.23285824060440063,0.04690714552998543,0.3034096956253052,0.15413059294223785,0.2279224842786789,0.20536813139915466,0.1153682991862297
newton,0.19243690371513367,0.09931433200836182,0.4363662898540497,0.18695951998233795,0.1884482353925705,0.28017669916152954,0.09645649790763855
.,0.3541337847709656,0.26644909381866455,0.19336320459842682,0.515582263469696,0.50484299659729,0.2783275842666626,0.4130953550338745
