,what,is,the,most,successful,team,sport,in,kenya,?
[,0.010752761736512184,-0.06921151280403137,0.07130392640829086,0.07481377571821213,0.07920987159013748,0.007359124720096588,0.08257574588060379,0.12324675917625427,-0.005438144318759441,0.011015460826456547
citation,0.26448965072631836,0.20686984062194824,0.2536581754684448,0.1729581356048584,0.08857537806034088,0.1299743503332138,0.21678896248340607,0.22942641377449036,0.027532732114195824,0.3382055461406708
needed,0.3631289601325989,0.21605761349201202,0.3064746856689453,0.23680970072746277,0.19059409201145172,0.1606934517621994,0.15199412405490875,0.21117523312568665,0.10585902631282806,0.2863257825374603
],-0.03775298595428467,-0.02998926118016243,-0.04779602214694023,0.030082017183303833,0.05567745491862297,-0.07095317542552948,-0.0858309417963028,-0.1088862195611,0.0001010681880870834,-0.0022520492784678936
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.31354787945747375,0.22564226388931274,0.15650692582130432,0.6662389636039734,0.21657514572143555,0.22068053483963013
women,0.14828920364379883,0.20067402720451355,0.279754102230072,0.2028503566980362,0.20095136761665344,0.23113521933555603,0.23453667759895325,0.3171939551830292,0.19253922998905182,0.1616753786802292
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.024445664137601852,-0.01727212779223919,0.04450521618127823,0.04287061095237732,-0.037580832839012146,-0.02908705547451973,-0.023395681753754616
team,0.17632107436656952,0.14871908724308014,0.22564226388931274,0.12060809135437012,0.20316269993782043,1.0,0.4124530553817749,0.18841172754764557,0.16592541337013245,0.11243411153554916
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.3426419198513031,0.21818973124027252,0.18100208044052124,0.19458185136318207,0.4173259735107422,0.18851779401302338,0.15994466841220856
competed,0.16552218794822693,0.19746801257133484,0.2465093582868576,0.1879449188709259,0.2632644772529602,0.43073827028274536,0.3959813416004181,0.2519589066505432,0.1593150496482849,0.08153866976499557
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.22451047599315643,0.23558123409748077,0.22562791407108307,0.19157294929027557,0.4374977946281433,0.21434974670410156,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.31354787945747375,0.22564226388931274,0.15650692582130432,0.6662389636039734,0.21657514572143555,0.22068053483963013
olympics,0.16770169138908386,0.12306572496891022,0.22065100073814392,0.17445632815361023,0.2036944329738617,0.3637920916080475,0.3983326852321625,0.25125735998153687,0.22687603533267975,0.14495649933815002
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.4309377074241638,0.2795376479625702,0.22394508123397827,0.20057028532028198,0.4954058527946472,0.20742860436439514,0.20544172823429108
world,0.21669597923755646,0.24458536505699158,0.33604270219802856,0.33157554268836975,0.26203447580337524,0.21212442219257355,0.2194390594959259,0.3038199245929718,0.19910317659378052,0.17579582333564758
championships,0.1320040374994278,0.15770557522773743,0.2617073357105255,0.21875306963920593,0.2575840353965759,0.5003917217254639,0.39707624912261963,0.25197747349739075,0.16400036215782166,0.12499503791332245
but,0.5029441118240356,0.4106791317462921,0.4859698414802551,0.45211657881736755,0.2666237950325012,0.22492043673992157,0.20933538675308228,0.48674455285072327,0.21002237498760223,0.27921953797340393
without,0.3181614279747009,0.22869740426540375,0.3270869255065918,0.19776400923728943,0.11371764540672302,0.07913036644458771,0.1358938366174698,0.2553589344024658,0.10963213443756104,0.2928665280342102
any,0.43670421838760376,0.35691767930984497,0.4525727927684784,0.3733811676502228,0.17384040355682373,0.10668415576219559,0.21414422988891602,0.3135753571987152,0.11421337723731995,0.4113408327102661
notable,0.31026893854141235,0.20672309398651123,0.20948168635368347,0.33399084210395813,0.2429458200931549,0.12425880134105682,0.17937807738780975,0.25145605206489563,0.1570793092250824,0.31928157806396484
success,0.22873179614543915,0.1775658279657364,0.2764457166194916,0.24139422178268433,0.6487343907356262,0.16300399601459503,0.15296867489814758,0.3020555078983307,0.12168233096599579,0.1216118186712265
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.361310213804245,0.26467522978782654,0.19931355118751526,0.5591574311256409,0.24234211444854736,0.4130953550338745
