,what,does,the,outside,of,the,tardis,resemble,?
its,0.30393704771995544,0.33437713980674744,0.559237003326416,0.27479639649391174,0.48690423369407654,0.559237003326416,0.18147899210453033,0.2709645628929138,0.15103481709957123
exterior,0.1873418539762497,0.16449280083179474,0.24049440026283264,0.3585589528083801,0.2579439580440521,0.24049440026283264,0.18658767640590668,0.2960943281650543,0.10013534873723984
appears,0.2502545416355133,0.39159926772117615,0.3605367839336395,0.21724946796894073,0.24498145282268524,0.3605367839336395,0.36973705887794495,0.30007097125053406,0.22075983881950378
as,0.31749409437179565,0.31202155351638794,0.48381632566452026,0.28646576404571533,0.3886612355709076,0.48381632566452026,0.1721082329750061,0.26570940017700195,0.27043893933296204
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.3113526403903961,0.5052502155303955,0.5829201340675354,0.2688678205013275,0.2570250630378723,0.23916715383529663
blue,0.17981211841106415,0.189993217587471,0.2734997570514679,0.16918334364891052,0.23528409004211426,0.2734997570514679,0.16179466247558594,0.26371222734451294,0.15668673813343048
british,0.19255435466766357,0.10894544422626495,0.28973397612571716,0.1577790379524231,0.23701532185077667,0.28973397612571716,0.20010776817798615,0.1183917224407196,0.09711728990077972
police,0.1865120679140091,0.149123415350914,0.2206914722919464,0.2794564962387085,0.19770009815692902,0.2206914722919464,0.18054185807704926,0.11111350357532501,0.1765819936990738
box,0.20509275794029236,0.23173171281814575,0.25871407985687256,0.23233288526535034,0.10286273062229156,0.25871407985687256,0.24328218400478363,0.11082533746957779,0.21736569702625275
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.2726076543331146,0.4946078956127167,0.4933079481124878,0.17403040826320648,0.23286770284175873,0.31091248989105225
which,0.5261979103088379,0.39111801981925964,0.6521818041801453,0.3882860839366913,0.5011631846427917,0.6521818041801453,0.2889474630355835,0.35234665870666504,0.25814583897590637
was,0.22111038863658905,0.19302551448345184,0.48711544275283813,0.21273015439510345,0.4069072902202606,0.48711544275283813,0.1628473550081253,0.19811926782131195,0.18412111699581146
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.3113526403903961,0.5052502155303955,0.5829201340675354,0.2688678205013275,0.2570250630378723,0.23916715383529663
common,0.19989867508411407,0.2881799340248108,0.2705984115600586,0.1586710512638092,0.2949881851673126,0.2705984115600586,0.11656440049409866,0.3064860701560974,0.20434872806072235
sight,0.29080256819725037,0.21153950691223145,0.2571186423301697,0.18390940129756927,0.16412903368473053,0.2571186423301697,0.21605660021305084,0.2746518552303314,0.21953286230564117
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.4191201329231262,0.5696388483047485,0.6662389636039734,0.1960487961769104,0.21878932416439056,0.20430970191955566
britain,0.24206450581550598,0.1098814308643341,0.29784059524536133,0.22230257093906403,0.28899943828582764,0.29784059524536133,0.19740810990333557,0.15978553891181946,0.1268460750579834
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.4191201329231262,0.5696388483047485,0.6662389636039734,0.1960487961769104,0.21878932416439056,0.20430970191955566
1963,-0.01284969411790371,0.08347675949335098,0.03728247061371803,0.032875481992959976,0.040411919355392456,0.03728247061371803,0.028399158269166946,0.031020047143101692,0.03411978855729103
when,0.4700249433517456,0.3380102217197418,0.5091903209686279,0.43530115485191345,0.3757161796092987,0.5091903209686279,0.3220110237598419,0.2080206274986267,0.22841128706932068
the,0.42745697498321533,0.35928019881248474,1.0,0.3879719078540802,0.733189046382904,1.0,0.29145124554634094,0.25901395082473755,0.22068053483963013
series,0.17328087985515594,0.11163214594125748,0.31376904249191284,0.1563326120376587,0.22268271446228027,0.31376904249191284,0.27254346013069153,0.21599124372005463,0.1709602326154709
first,0.28086137771606445,0.2198687642812729,0.49448907375335693,0.25827133655548096,0.3536086082458496,0.49448907375335693,0.2727150321006775,0.20320236682891846,0.18701928853988647
aired,0.1692323386669159,0.1485355794429779,0.2525516450405121,0.16264183819293976,0.15519371628761292,0.2525516450405121,0.2157079130411148,0.15468139946460724,0.22283338010311127
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.28971612453460693,0.5352458953857422,0.5934505462646484,0.224110946059227,0.17686687409877777,0.4130953550338745
