,how,many,hundred,of,years,was,scotland,directly,governed,by,the,parliament,of,great,britain,?
for,0.3308170735836029,0.40972793102264404,0.2813427150249481,0.4185989499092102,0.2878222167491913,0.3863949179649353,0.2155212014913559,0.28193199634552,0.14607784152030945,0.3248702883720398,0.4739971458911896,0.23382046818733215,0.4185989499092102,0.19302397966384888,0.22167551517486572,0.264628142118454
the,0.33890387415885925,0.4335206151008606,0.3325488865375519,0.733189046382904,0.2912273406982422,0.48711544275283813,0.23846951127052307,0.4502958655357361,0.3389590084552765,0.4408751428127289,1.0,0.26521381735801697,0.733189046382904,0.2822027802467346,0.29784059524536133,0.22068053483963013
next,0.24492809176445007,0.17440924048423767,0.21793222427368164,0.2935165464878082,0.23875528573989868,0.25374743342399597,0.09498734772205353,0.23253245651721954,0.1380835324525833,0.20649707317352295,0.35833123326301575,0.18356797099113464,0.2935165464878082,0.1524985134601593,0.17211578786373138,0.167460098862648
three,0.23807744681835175,0.4501400589942932,0.45692089200019836,0.3844621181488037,0.32563796639442444,0.2748996615409851,0.165018692612648,0.1875278502702713,0.301737904548645,0.28754812479019165,0.43452659249305725,0.20437894761562347,0.3844621181488037,0.16990725696086884,0.21836376190185547,0.20928427577018738
hundred,0.21416880190372467,0.4232117235660553,0.9999999403953552,0.3473483920097351,0.5152035355567932,0.23643863201141357,0.20969127118587494,0.1890186220407486,0.20174640417099,0.25382816791534424,0.3325488865375519,0.11970216035842896,0.3473483920097351,0.1842578500509262,0.24839329719543457,0.17378053069114685
years,0.21949264407157898,0.2731519937515259,0.5152035355567932,0.2904134690761566,1.0,0.35855233669281006,0.1745058000087738,0.11518599838018417,0.21532198786735535,0.19883383810520172,0.2912273406982422,0.16476571559906006,0.2904134690761566,0.1807750016450882,0.2247718721628189,0.1914375126361847
",",0.22659391164779663,0.40610817074775696,0.2916340231895447,0.4946078956127167,0.2589467465877533,0.45456063747406006,0.21124857664108276,0.24953341484069824,0.24968869984149933,0.3680937886238098,0.4933079481124878,0.25442883372306824,0.4946078956127167,0.29579275846481323,0.26227492094039917,0.31091248989105225
scotland,0.1224040538072586,0.13961808383464813,0.20969127118587494,0.2208399921655655,0.1745058000087738,0.17744721472263336,1.0,0.15555870532989502,0.16149769723415375,0.13855545222759247,0.23846951127052307,0.33239492774009705,0.2208399921655655,0.20734471082687378,0.4812699258327484,0.09160218387842178
was,0.16678167879581451,0.260356068611145,0.23643863201141357,0.4069072902202606,0.35855233669281006,1.0000001192092896,0.17744721472263336,0.22806373238563538,0.2891733646392822,0.4752357602119446,0.48711544275283813,0.24742799997329712,0.4069072902202606,0.19652196764945984,0.27792006731033325,0.18412111699581146
directly,0.38373512029647827,0.32856667041778564,0.1890186220407486,0.2998887896537781,0.11518599838018417,0.22806373238563538,0.15555870532989502,1.0,0.244345560669899,0.3989485204219818,0.4502958655357361,0.2179914116859436,0.2998887896537781,0.1402447372674942,0.14821620285511017,0.2187996357679367
governed,0.20030426979064941,0.21119412779808044,0.20174640417099,0.4198022782802582,0.21532198786735535,0.2891733646392822,0.16149769723415375,0.244345560669899,1.0000001192092896,0.2678864002227783,0.3389590084552765,0.33729174733161926,0.4198022782802582,0.16582542657852173,0.2638198435306549,0.12964454293251038
by,0.34370526671409607,0.3409687578678131,0.25382816791534424,0.3646814823150635,0.19883383810520172,0.4752357602119446,0.13855545222759247,0.3989485204219818,0.2678864002227783,1.0000001192092896,0.4408751428127289,0.1523929238319397,0.3646814823150635,0.1775381863117218,0.20873384177684784,0.17966607213020325
the,0.33890387415885925,0.4335206151008606,0.3325488865375519,0.733189046382904,0.2912273406982422,0.48711544275283813,0.23846951127052307,0.4502958655357361,0.3389590084552765,0.4408751428127289,1.0,0.26521381735801697,0.733189046382904,0.2822027802467346,0.29784059524536133,0.22068053483963013
parliament,0.13635116815567017,0.15748974680900574,0.11970216035842896,0.2885259687900543,0.16476571559906006,0.24742799997329712,0.33239492774009705,0.2179914116859436,0.33729174733161926,0.1523929238319397,0.26521381735801697,1.0,0.2885259687900543,0.17501547932624817,0.3215476870536804,0.1586504578590393
