,what,is,warsaw,known,as,in,polish,?
warsaw,0.10373849421739578,0.09741193056106567,1.0,0.06629789620637894,0.14492812752723694,0.22642600536346436,0.6311136484146118,0.09769917279481888
(,0.2411840260028839,0.35393038392066956,0.1835584193468094,0.2843264043331146,0.32029855251312256,0.3087427020072937,0.19593769311904907,0.40561532974243164
polish,0.08233486860990524,0.14989061653614044,0.6311136484146118,0.12071610987186432,0.13429972529411316,0.1896398365497589,1.0,0.14012759923934937
:,-0.12022944539785385,-0.07222653180360794,0.07365122437477112,-0.08845984935760498,-0.11037297546863556,0.020521078258752823,0.17526188492774963,-0.07156077772378922
warszawa,0.10578237473964691,0.14272388815879822,0.5773555040359497,0.1373288780450821,0.12183993309736252,0.21249134838581085,0.4174444079399109,0.16275280714035034
[,0.010752761736512184,-0.06921151280403137,0.14057894051074982,-0.024992838501930237,0.018050309270620346,0.12324675917625427,0.05845005437731743,0.011015460826456547
varˈʂava,0.16886426508426666,0.21223218739032745,0.26266130805015564,0.21365392208099365,0.1781221628189087,0.22084425389766693,0.21488063037395477,0.12633873522281647
],-0.03775298595428467,-0.02998926118016243,-0.03730854392051697,0.05155499652028084,-0.03319411352276802,-0.1088862195611,0.047518014907836914,-0.0022520492784678936
(,0.2411840260028839,0.35393038392066956,0.1835584193468094,0.2843264043331146,0.32029855251312256,0.3087427020072937,0.19593769311904907,0.40561532974243164
listen,0.34003081917762756,0.0984208956360817,0.13803325593471527,0.13613365590572357,0.17158055305480957,0.10958155244588852,0.12159782648086548,0.23244893550872803
),0.26259949803352356,0.37732169032096863,0.19817118346691132,0.297453910112381,0.32161882519721985,0.3326910734176636,0.2044559121131897,0.42300865054130554
;,0.10986888408660889,0.05324986204504967,0.01826346665620804,0.06441469490528107,0.05586666986346245,0.092739537358284,0.033279500901699066,0.10349778085947037
see,0.44941186904907227,0.30759111046791077,0.1655777394771576,0.18843646347522736,0.3243166506290436,0.2973747253417969,0.1514473557472229,0.42005208134651184
also,0.42747777700424194,0.5012649297714233,0.16331592202186584,0.4766203761100769,0.5774298906326294,0.5073733329772949,0.1757330447435379,0.21848613023757935
other,0.341873437166214,0.25895947217941284,0.18442021310329437,0.2199651598930359,0.42805421352386475,0.39989137649536133,0.1559128314256668,0.24682199954986572
names,0.1840197592973709,0.21354545652866364,0.08025089651346207,0.2774447500705719,0.3241621255874634,0.19826655089855194,0.09777967631816864,0.16607333719730377
),0.26259949803352356,0.37732169032096863,0.19817118346691132,0.297453910112381,0.32161882519721985,0.3326910734176636,0.2044559121131897,0.42300865054130554
is,0.28837618231773376,1.0,0.09741193056106567,0.41921812295913696,0.43216490745544434,0.5394441485404968,0.14989061653614044,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.23137180507183075,0.3624623417854309,0.48381632566452026,0.6662389636039734,0.17708231508731842,0.22068053483963013
capital,0.17967931926250458,0.2849797308444977,0.15139155089855194,0.14835049211978912,0.19028405845165253,0.3233928978443146,0.10914254933595657,0.0907452180981636
and,0.31309178471565247,0.3859752118587494,0.2083624005317688,0.3468935489654541,0.49487000703811646,0.4954058527946472,0.2486540973186493,0.20544172823429108
largest,0.13463157415390015,0.3413417339324951,0.15168581902980804,0.2938424348831177,0.1819920688867569,0.3017216920852661,0.110835961997509,0.12401245534420013
city,0.17493832111358643,0.3186660706996918,0.25006377696990967,0.20357060432434082,0.21195319294929504,0.3911624252796173,0.14986389875411987,0.13423943519592285
of,0.33290785551071167,0.4854315221309662,0.19253842532634735,0.35814476013183594,0.3886612355709076,0.5696388483047485,0.16866981983184814,0.1826142966747284
poland,0.16095873713493347,0.13666775822639465,0.6352760195732117,0.12024922668933868,0.17358939349651337,0.2887791395187378,0.6610397100448608,0.14259830117225647
.,0.3567904531955719,0.4569662809371948,0.26825499534606934,0.283290296792984,0.515582263469696,0.5591574311256409,0.23422029614448547,0.4130953550338745
