,where,did,the,pharmacist,stand,in,relation,to,the,emperor,'s,personal,physicians,?
in,0.5344807505607605,0.2593238651752472,0.6662389636039734,0.2133195549249649,0.20552469789981842,1.0,0.22537265717983246,0.45010748505592346,0.6662389636039734,0.21183210611343384,-0.037580832839012146,0.17110532522201538,0.18599987030029297,0.20430970191955566
the,0.5003893971443176,0.34736719727516174,1.0,0.18885643780231476,0.2531624138355255,0.6662389636039734,0.2734622061252594,0.535392165184021,1.0,0.2871226370334625,-0.01540423184633255,0.19990217685699463,0.20843391120433807,0.22068053483963013
imperial,0.21764621138572693,0.16254396736621857,0.3074202835559845,0.12990528345108032,0.07050834596157074,0.2295355498790741,0.1208716481924057,0.20807525515556335,0.3074202835559845,0.4687618017196655,-0.05247476324439049,0.15684598684310913,0.1582314670085907,0.10900196433067322
household,0.12705694139003754,0.18038423359394073,0.2428457885980606,0.15426510572433472,0.17848223447799683,0.19101502001285553,0.19818544387817383,0.24151477217674255,0.2428457885980606,0.33951225876808167,0.0370369516313076,0.369117796421051,0.12746918201446533,0.12460741400718689
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.2383713573217392,0.27589988708496094,0.5201468467712402,0.2668071985244751,0.44245919585227966,0.4933079481124878,0.20295536518096924,-0.0016132977325469255,0.23627051711082458,0.1914944052696228,0.31091248989105225
the,0.5003893971443176,0.34736719727516174,1.0,0.18885643780231476,0.2531624138355255,0.6662389636039734,0.2734622061252594,0.535392165184021,1.0,0.2871226370334625,-0.01540423184633255,0.19990217685699463,0.20843391120433807,0.22068053483963013
pharmacist,0.22217056155204773,0.20721067488193512,0.18885643780231476,1.0,0.13611885905265808,0.2133195549249649,0.11221428215503693,0.14544889330863953,0.18885643780231476,0.10885761678218842,-0.007929611019790173,0.15522541105747223,0.43390801548957825,0.1397853046655655
was,0.20731619000434875,0.41399896144866943,0.48711544275283813,0.25733086466789246,0.22636882960796356,0.45514053106307983,0.16749541461467743,0.3636345863342285,0.48711544275283813,0.2147601991891861,0.008974763564765453,0.1733088493347168,0.14784179627895355,0.18412111699581146
even,0.35960274934768677,0.45816805958747864,0.37996912002563477,0.1845656931400299,0.2315252125263214,0.29146435856819153,0.3170393407344818,0.46467068791389465,0.37996912002563477,0.21971897780895233,0.0353488028049469,0.30674538016319275,0.2514621913433075,0.30082517862319946
ranked,0.11600828915834427,0.1721140742301941,0.2711145281791687,0.08589194715023041,0.15391093492507935,0.2005387395620346,0.05453959479928017,0.08006753772497177,0.2711145281791687,0.09850406646728516,0.0652458518743515,0.06782841682434082,0.050913456827402115,0.12953443825244904
above,0.2816171646118164,0.20278730988502502,0.33988961577415466,0.08893580734729767,0.2152252048254013,0.22744394838809967,0.15821395814418793,0.30495497584342957,0.33988961577415466,0.1426001340150833,-0.007520769722759724,0.17374376952648163,0.0933297872543335,0.2521739900112152
the,0.5003893971443176,0.34736719727516174,1.0,0.18885643780231476,0.2531624138355255,0.6662389636039734,0.2734622061252594,0.535392165184021,1.0,0.2871226370334625,-0.01540423184633255,0.19990217685699463,0.20843391120433807,0.22068053483963013
two,0.32765963673591614,0.2755576968193054,0.43858039379119873,0.14471440017223358,0.1848103553056717,0.36463531851768494,0.2772885262966156,0.3343428373336792,0.43858039379119873,0.11609718203544617,0.038143858313560486,0.1355193853378296,0.13446824252605438,0.19645625352859497
personal,0.1410088837146759,0.24463480710983276,0.19990217685699463,0.15522541105747223,0.12173141539096832,0.17110532522201538,0.23725315928459167,0.2410377562046051,0.19990217685699463,0.18782290816307068,0.09529546648263931,1.0,0.20766641199588776,0.206199511885643
physicians,0.2382829189300537,0.24201498925685883,0.20843391120433807,0.43390801548957825,0.06307704746723175,0.18599987030029297,0.11647997796535492,0.2605861723423004,0.20843391120433807,0.11139428615570068,-0.0160693246871233,0.20766641199588776,0.9999999403953552,0.12075905501842499
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.18185114860534668,0.2038130760192871,0.5696388483047485,0.29761821031570435,0.41548454761505127,0.733189046382904,0.2615426778793335,-0.03817026689648628,0.26268208026885986,0.21025621891021729,0.1826142966747284
the,0.5003893971443176,0.34736719727516174,1.0,0.18885643780231476,0.2531624138355255,0.6662389636039734,0.2734622061252594,0.535392165184021,1.0,0.2871226370334625,-0.01540423184633255,0.19990217685699463,0.20843391120433807,0.22068053483963013
emperor,0.17934738099575043,0.13150596618652344,0.2871226370334625,0.10885761678218842,0.1127839982509613,0.21183210611343384,0.19341732561588287,0.2257286012172699,0.2871226370334625,0.9999998807907104,-0.03835967555642128,0.18782290816307068,0.11139428615570068,0.19661661982536316
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.2583400309085846,0.2296130359172821,0.5591574311256409,0.23840641975402832,0.4645031690597534,0.5934505462646484,0.2352581024169922,-0.003708066651597619,0.2188207507133484,0.2053295075893402,0.4130953550338745
