,who,could,be,the,subjects,of,a,teacher,'s,college,investigation,?
the,0.3733934462070465,0.35393214225769043,0.4248143136501312,1.0,0.22999566793441772,0.733189046382904,0.5829201340675354,0.17760860919952393,-0.01540423184633255,0.19751401245594025,0.2993324100971222,0.22068053483963013
functions,0.126784086227417,0.2632847726345062,0.2704888582229614,0.2567043900489807,0.32360947132110596,0.2328059822320938,0.21638484299182892,0.14569424092769623,-0.10537923872470856,0.10979139804840088,0.28425905108451843,0.13745930790901184
of,0.2827862501144409,0.29043012857437134,0.33904364705085754,0.733189046382904,0.24864935874938965,1.0,0.5052502155303955,0.19968076050281525,-0.03817026689648628,0.2384195327758789,0.23923081159591675,0.1826142966747284
the,0.3733934462070465,0.35393214225769043,0.4248143136501312,1.0,0.22999566793441772,0.733189046382904,0.5829201340675354,0.17760860919952393,-0.01540423184633255,0.19751401245594025,0.2993324100971222,0.22068053483963013
teacher,0.35707929730415344,0.21291975677013397,0.1891087293624878,0.17760860919952393,0.2719794809818268,0.19968076050281525,0.31202319264411926,0.9999998807907104,0.026857737451791763,0.39874279499053955,0.20961715281009674,0.1797819435596466
's,0.05599616840481758,0.02905246801674366,0.025217169895768166,-0.01540423184633255,0.04970385879278183,-0.03817026689648628,0.04866964742541313,0.026857737451791763,0.9999999403953552,0.012106797657907009,-0.04192535951733589,-0.023395681753754616
colleges,0.2428450733423233,0.1819974035024643,0.21227063238620758,0.2200278788805008,0.35937994718551636,0.31927260756492615,0.21794883906841278,0.3632963299751282,0.039614032953977585,0.7231911420822144,0.20471228659152985,0.15586905181407928
may,0.23082798719406128,0.41583991050720215,0.45514434576034546,0.2694292366504669,0.21779963374137878,0.26447007060050964,0.29255667328834534,0.15417979657649994,-0.07006479054689407,0.16190727055072784,0.226241797208786,0.2768254578113556
include,0.15078489482402802,0.12381427735090256,0.29535481333732605,0.2951717972755432,0.22015607357025146,0.37431180477142334,0.18765322864055634,0.10256306082010269,-0.07849370688199997,0.14236968755722046,0.10721065104007721,0.14925788342952728
setting,0.19480471312999725,0.18002209067344666,0.23218974471092224,0.2991926074028015,0.2378409504890442,0.22114701569080353,0.3013681173324585,0.20513468980789185,0.024691104888916016,0.15645655989646912,0.1500871479511261,0.16943378746509552
out,0.3129808306694031,0.3307218849658966,0.3626708686351776,0.39404502511024475,0.24844923615455627,0.34176841378211975,0.34264278411865234,0.1989559531211853,0.0021837172098457813,0.11474208533763885,0.28152090311050415,0.22020699083805084
clear,0.20351572334766388,0.28718194365501404,0.30344653129577637,0.3209454417228699,0.22202187776565552,0.25915294885635376,0.24375371634960175,0.1457471251487732,0.011163132265210152,0.15273533761501312,0.26881808042526245,0.2738020122051239
standards,0.2396330088376999,0.26357120275497437,0.2821919918060303,0.2433546632528305,0.35769516229629517,0.18525971472263336,0.1997949630022049,0.13633975386619568,-0.015006564557552338,0.1820193976163864,0.19331756234169006,0.2011813372373581
of,0.2827862501144409,0.29043012857437134,0.33904364705085754,0.733189046382904,0.24864935874938965,1.0,0.5052502155303955,0.19968076050281525,-0.03817026689648628,0.2384195327758789,0.23923081159591675,0.1826142966747284
