,some,in,the,umc,feel,that,false,ecumenism,might,result,in,what,?
however,0.5966196060180664,0.3982149362564087,0.49814513325691223,0.22967033088207245,0.3914106488227844,0.6336373090744019,0.28142836689949036,0.2023216187953949,0.4661698639392853,0.3665235936641693,0.3982149362564087,0.4480680823326111,0.2152075469493866
",",0.42400437593460083,0.5201468467712402,0.4933079481124878,0.1953766793012619,0.23670589923858643,0.4137537479400635,0.16869033873081207,0.25277936458587646,0.2533247768878937,0.23341737687587738,0.5201468467712402,0.3087472915649414,0.31091248989105225
there,0.5035935640335083,0.5361666083335876,0.47025805711746216,0.20561887323856354,0.2609860897064209,0.6006520986557007,0.16475212574005127,0.21431413292884827,0.3662223219871521,0.2712252736091614,0.5361666083335876,0.35085538029670715,0.29405656456947327
are,0.6331475377082825,0.3841303884983063,0.40399202704429626,0.2037472277879715,0.3137334883213043,0.45265161991119385,0.21066147089004517,0.19284062087535858,0.4007396399974823,0.18835392594337463,0.3841303884983063,0.29724663496017456,0.24591213464736938
some,0.9999999403953552,0.4010399878025055,0.4566698372364044,0.21963566541671753,0.3743070363998413,0.6049469113349915,0.22994066774845123,0.24140700697898865,0.541539192199707,0.21151091158390045,0.4010399878025055,0.4491020441055298,0.2562315762042999
in,0.4010399878025055,1.0,0.6662389636039734,0.15436193346977234,0.1927928626537323,0.435920387506485,0.09643620252609253,0.14929725229740143,0.26443570852279663,0.25670310854911804,1.0,0.30808621644973755,0.20430970191955566
the,0.4566698372364044,0.6662389636039734,1.0,0.21262750029563904,0.264497846364975,0.5473989248275757,0.16059079766273499,0.26294460892677307,0.32504433393478394,0.27778977155685425,0.6662389636039734,0.42745697498321533,0.22068053483963013
united,0.22087086737155914,0.3938477039337158,0.34367692470550537,0.1928277611732483,0.14077609777450562,0.25567954778671265,0.11639481037855148,0.22599193453788757,0.1907745897769928,0.16438019275665283,0.3938477039337158,0.20036718249320984,0.17266890406608582
methodist,0.2436341494321823,0.24702993035316467,0.21922016143798828,0.2650960683822632,0.16712091863155365,0.18170638382434845,0.1707969605922699,0.47991567850112915,0.16623950004577637,0.12014087289571762,0.24702993035316467,0.17637217044830322,0.1436992734670639
church,0.23829415440559387,0.2493300437927246,0.23846197128295898,0.20494024455547333,0.1413334608078003,0.18300943076610565,0.17181341350078583,0.5290766358375549,0.16580519080162048,0.099154531955719,0.2493300437927246,0.1944202184677124,0.18081501126289368
who,0.3978389501571655,0.2792111933231354,0.3733934462070465,0.28098225593566895,0.297542929649353,0.45444270968437195,0.13440033793449402,0.17307698726654053,0.3188989460468292,0.13371044397354126,0.2792111933231354,0.40942975878715515,0.26220351457595825
feel,0.3743070363998413,0.1927928626537323,0.264497846364975,0.24142073094844818,1.0,0.41628018021583557,0.15386401116847992,0.19729505479335785,0.4698601961135864,0.18116670846939087,0.1927928626537323,0.413962185382843,0.39212626218795776
