,what,was,galileo,ferraris,?
westinghouse,0.16126319766044617,0.30702054500579834,0.16521055996418,0.22936101257801056,0.17307911813259125
looked,0.3662267029285431,0.35955899953842163,0.20188124477863312,0.1920464187860489,0.2506680488586426
into,0.2180619090795517,0.2322220653295517,0.13032838702201843,0.08547689765691757,0.15662476420402527
getting,0.3483720123767853,0.2391812801361084,0.16095609962940216,0.23540104925632477,0.28468504548072815
a,0.3320399522781372,0.4508470594882965,0.1346738189458847,0.17278960347175598,0.23916715383529663
patent,0.17095203697681427,0.13812966644763947,0.153511643409729,0.19451592862606049,0.13298413157463074
on,0.34226128458976746,0.3909217119216919,0.17711091041564941,0.13918620347976685,0.2714994251728058
a,0.3320399522781372,0.4508470594882965,0.1346738189458847,0.17278960347175598,0.23916715383529663
similar,0.30608364939689636,0.20839861035346985,0.13182419538497925,0.14607223868370056,0.23309361934661865
commutator-less,0.2621093690395355,0.15041503310203552,0.23773321509361267,0.27899280190467834,0.1853102594614029
",",0.3087472915649414,0.45456063747406006,0.21606193482875824,0.2932969033718109,0.31091248989105225
rotating,0.1976575255393982,0.13281278312206268,0.3063861131668091,0.21685250103473663,0.08289054036140442
magnetic,0.19557252526283264,0.11274728924036026,0.2717578709125519,0.14300571382045746,0.10858146101236343
field-based,0.27578580379486084,0.29250359535217285,0.2397683709859848,0.28763681650161743,0.21916547417640686
induction,0.21248550713062286,0.1620527058839798,0.25946590304374695,0.11531659215688705,0.1510571390390396
motor,0.18952611088752747,0.20476558804512024,0.13067390024662018,0.3058985769748688,0.0637441948056221
presented,0.23381416499614716,0.2883085608482361,0.18112406134605408,0.14722906053066254,0.17025142908096313
in,0.30808621644973755,0.45514053106307983,0.19406108558177948,0.16895031929016113,0.20430970191955566
a,0.3320399522781372,0.4508470594882965,0.1346738189458847,0.17278960347175598,0.23916715383529663
paper,0.21202662587165833,0.18939059972763062,0.20185750722885132,0.10709010064601898,0.12693770229816437
in,0.30808621644973755,0.45514053106307983,0.19406108558177948,0.16895031929016113,0.20430970191955566
march,0.20529508590698242,0.4297752380371094,0.1616622805595398,0.18467016518115997,0.2802562415599823
1888,0.15734994411468506,0.1682576835155487,0.2982100546360016,0.17117629945278168,0.07625395059585571
by,0.2455483376979828,0.4752357602119446,0.257488876581192,0.21749475598335266,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,0.21531248092651367,0.18994256854057312,0.22068053483963013
italian,0.15137425065040588,0.27526864409446716,0.308746874332428,0.4122368097305298,0.1156633123755455
physicist,0.19407397508621216,0.26190704107284546,0.3285221755504608,0.26611897349357605,0.1378137767314911
galileo,0.23183517158031464,0.26998451352119446,1.0,0.38297221064567566,0.1773405522108078
ferraris,0.08664268255233765,0.29611191153526306,0.38297221064567566,1.0,0.11597006022930145
",",0.3087472915649414,0.45456063747406006,0.21606193482875824,0.2932969033718109,0.31091248989105225
but,0.5029441118240356,0.36023372411727905,0.22482898831367493,0.2505412697792053,0.27921953797340393
decided,0.3212295174598694,0.41358432173728943,0.15584705770015717,0.22532141208648682,0.258772075176239
tesla,0.23221199214458466,0.16455206274986267,0.26609447598457336,0.19162613153457642,0.10250775516033173
's,0.02692362666130066,0.008974763564765453,-0.07949594408273697,0.010322954505681992,-0.023395681753754616
patent,0.17095203697681427,0.13812966644763947,0.153511643409729,0.19451592862606049,0.13298413157463074
would,0.45766422152519226,0.41663143038749695,0.16445370018482208,0.18239814043045044,0.37178951501846313
probably,0.476871132850647,0.32035544514656067,0.25652408599853516,0.16985881328582764,0.3524723947048187
control,0.2821830213069916,0.19347785413265228,0.18145373463630676,0.1148560494184494,0.1620711386203766
the,0.42745697498321533,0.48711544275283813,0.21531248092651367,0.18994256854057312,0.22068053483963013
market,0.12116116285324097,0.2252027839422226,0.039502449333667755,0.2020159214735031,0.12805593013763428
.,0.3567904531955719,0.40146201848983765,0.21233849227428436,0.2450464814901352,0.4130953550338745
