,what,did,the,early,entrant,program,do,for,potential,students,?
during,0.24137552082538605,0.30679523944854736,0.4838213622570038,0.5124249458312988,0.25875696539878845,0.22609592974185944,0.1831897497177124,0.3448435664176941,0.1381995677947998,0.1957223117351532,0.1325719803571701
this,0.5489566326141357,0.3609912693500519,0.6274310946464539,0.32812264561653137,0.296728253364563,0.24903999269008636,0.34963881969451904,0.5082864165306091,0.3886798322200775,0.2299622893333435,0.3155723512172699
period,0.24507179856300354,0.1760309934616089,0.3125074505805969,0.45666760206222534,0.19482658803462982,0.15605393052101135,0.12856103479862213,0.27999383211135864,0.1605471968650818,0.14483660459518433,0.18706195056438446
the,0.42745697498321533,0.34736719727516174,1.0,0.34442198276519775,0.3719688057899475,0.22986935079097748,0.30239659547805786,0.4739971458911896,0.27955570816993713,0.25268980860710144,0.22068053483963013
university,0.20256435871124268,0.15114416182041168,0.263973206281662,0.15928985178470612,0.20501674711704254,0.20264679193496704,0.11835777014493942,0.18573740124702454,0.13824179768562317,0.4958297908306122,0.11887256056070328
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.3022546172142029,0.19791732728481293,0.17760658264160156,0.3283645510673523,0.4464869201183319,0.23060423135757446,0.26501646637916565,0.31091248989105225
like,0.4320242702960968,0.40502431988716125,0.32912567257881165,0.29148128628730774,0.1840309351682663,0.19428031146526337,0.4615015685558319,0.35140180587768555,0.22789166867733002,0.12978984415531158,0.3268813192844391
shimer,0.2516617476940155,0.10122577846050262,0.28562697768211365,0.1585066020488739,0.14624641835689545,0.165283203125,0.11141908913850784,0.1725798398256302,0.19178271293640137,0.15839403867721558,0.177059605717659
college,0.20568516850471497,0.2254478633403778,0.19751401245594025,0.19495421648025513,0.19762355089187622,0.22076371312141418,0.15103314816951752,0.22815082967281342,0.08023478090763092,0.4935513734817505,0.11076676845550537
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.29847630858421326,0.2511903643608093,0.24895258247852325,0.276123583316803,0.5064792633056641,0.2564159035682678,0.28111961483955383,0.20544172823429108
10,0.11840458959341049,0.1914099007844925,0.2880653440952301,0.19437694549560547,0.08063485473394394,-0.0058362409472465515,0.24704506993293762,0.07862305641174316,-0.01951340213418007,0.15871745347976685,0.022911956533789635
