,what,chloroplast,lineage,is,cyanophora,in,?
the,0.42745697498321533,0.21317854523658752,0.2478068619966507,0.5823672413825989,0.2588452696800232,0.6662389636039734,0.22068053483963013
alga,0.12795694172382355,0.6077602505683899,0.2982301115989685,0.23884379863739014,0.5146681666374207,0.14411792159080505,0.15664592385292053
cyanophora,0.24604105949401855,0.5647469758987427,0.45869573950767517,0.21547691524028778,1.0000001192092896,0.15514279901981354,0.25893574953079224
",",0.3087472915649414,0.20078974962234497,0.1862419843673706,0.4691906273365021,0.23608672618865967,0.5201468467712402,0.31091248989105225
a,0.3320399522781372,0.237538680434227,0.1881593018770218,0.658733606338501,0.28012919425964355,0.539380669593811,0.23916715383529663
glaucophyte,0.24588492512702942,0.626166582107544,0.49592021107673645,0.2786009907722473,0.6888766288757324,0.22773320972919464,0.21570050716400146
",",0.3087472915649414,0.20078974962234497,0.1862419843673706,0.4691906273365021,0.23608672618865967,0.5201468467712402,0.31091248989105225
is,0.28837618231773376,0.20798198878765106,0.17703697085380554,1.0,0.21547691524028778,0.5394441485404968,0.22961433231830597
thought,0.4469435214996338,0.24722152948379517,0.2325073778629303,0.28001952171325684,0.2664668560028076,0.24524326622486115,0.2600135803222656
to,0.455847829580307,0.22531428933143616,0.16788765788078308,0.42745086550712585,0.19069908559322357,0.45010748505592346,0.29463258385658264
be,0.3929833769798279,0.26292285323143005,0.15600140392780304,0.4819129705429077,0.22971925139427185,0.3481820821762085,0.3324260413646698
one,0.376489520072937,0.25640013813972473,0.24081246554851532,0.4544198513031006,0.2126462459564209,0.4129433035850525,0.2673267424106598
of,0.33290785551071167,0.2069506198167801,0.22792929410934448,0.4854315221309662,0.2238575667142868,0.5696388483047485,0.1826142966747284
the,0.42745697498321533,0.21317854523658752,0.2478068619966507,0.5823672413825989,0.2588452696800232,0.6662389636039734,0.22068053483963013
first,0.28086137771606445,0.2370421439409256,0.20247583091259003,0.30889374017715454,0.22273577749729156,0.4127444326877594,0.18701928853988647
organisms,0.22214920818805695,0.6271380186080933,0.3697062134742737,0.1773757040500641,0.5335975289344788,0.21345661580562592,0.22621455788612366
to,0.455847829580307,0.22531428933143616,0.16788765788078308,0.42745086550712585,0.19069908559322357,0.45010748505592346,0.29463258385658264
contain,0.1832355558872223,0.3699825406074524,0.2103087306022644,0.31030410528182983,0.35637637972831726,0.23975171148777008,0.18853069841861725
a,0.3320399522781372,0.237538680434227,0.1881593018770218,0.658733606338501,0.28012919425964355,0.539380669593811,0.23916715383529663
chloroplast,0.23505516350269318,1.0000001192092896,0.32536736130714417,0.20798198878765106,0.5647469758987427,0.19207799434661865,0.12532055377960205
.,0.3567904531955719,0.2371024191379547,0.1666526049375534,0.4569662809371948,0.27996137738227844,0.5591574311256409,0.4130953550338745
,what,chloroplast,lineage,is,cyanophora,in,?
the,0.42745697498321533,0.21317854523658752,0.2478068619966507,0.5823672413825989,0.2588452696800232,0.6662389636039734,0.22068053483963013
glaucophyte,0.24588492512702942,0.626166582107544,0.49592021107673645,0.2786009907722473,0.6888766288757324,0.22773320972919464,0.21570050716400146
chloroplast,0.23505516350269318,1.0000001192092896,0.32536736130714417,0.20798198878765106,0.5647469758987427,0.19207799434661865,0.12532055377960205
group,0.2114069163799286,0.2523905038833618,0.38710761070251465,0.22153858840465546,0.3081835210323334,0.2304753065109253,0.13827809691429138
is,0.28837618231773376,0.20798198878765106,0.17703697085380554,1.0,0.21547691524028778,0.5394441485404968,0.22961433231830597
the,0.42745697498321533,0.21317854523658752,0.2478068619966507,0.5823672413825989,0.2588452696800232,0.6662389636039734,0.22068053483963013
smallest,0.2000153660774231,0.23816503584384918,0.2180596888065338,0.390435129404068,0.25322818756103516,0.29234784841537476,0.11955065280199051
of,0.33290785551071167,0.2069506198167801,0.22792929410934448,0.4854315221309662,0.2238575667142868,0.5696388483047485,0.1826142966747284
the,0.42745697498321533,0.21317854523658752,0.2478068619966507,0.5823672413825989,0.2588452696800232,0.6662389636039734,0.22068053483963013
three,0.24888746440410614,0.22020289301872253,0.15167714655399323,0.23072560131549835,0.1865902692079544,0.34828072786331177,0.20928427577018738
primary,0.2113915979862213,0.2639007270336151,0.1917736828327179,0.23824772238731384,0.2147413194179535,0.21150650084018707,0.16286636888980865
chloroplast,0.23505516350269318,1.0000001192092896,0.32536736130714417,0.20798198878765106,0.5647469758987427,0.19207799434661865,0.12532055377960205
lineages,0.14779634773731232,0.42530593276023865,0.9164671897888184,0.19924521446228027,0.5335662961006165,0.17917577922344208,0.1678934246301651
",",0.3087472915649414,0.20078974962234497,0.1862419843673706,0.4691906273365021,0.23608672618865967,0.5201468467712402,0.31091248989105225
being,0.3760843276977539,0.23412999510765076,0.16140910983085632,0.4445112943649292,0.17781558632850647,0.33162933588027954,0.26743772625923157
found,0.1796332150697708,0.22485198080539703,0.1980515569448471,0.3526395261287689,0.2976940870285034,0.39141854643821716,0.16790300607681274
in,0.30808621644973755,0.19207799434661865,0.13516981899738312,0.5394441485404968,0.15514279901981354,1.0,0.20430970191955566
only,0.41415658593177795,0.298546701669693,0.2515625059604645,0.44708555936813354,0.3138789236545563,0.42992329597473145,0.2767370045185089
13,-0.0796622633934021,0.0631043091416359,0.12844714522361755,-0.007720510475337505,-0.013008958660066128,0.02730540931224823,-0.11384815722703934
species,0.14617158472537994,0.41470786929130554,0.4439602196216583,0.2673557698726654,0.5740588307380676,0.2179255336523056,0.1957087516784668
",",0.3087472915649414,0.20078974962234497,0.1862419843673706,0.4691906273365021,0.23608672618865967,0.5201468467712402,0.31091248989105225
and,0.31309178471565247,0.19758054614067078,0.18835565447807312,0.3859752118587494,0.17979556322097778,0.4954058527946472,0.20544172823429108
is,0.28837618231773376,0.20798198878765106,0.17703697085380554,1.0,0.21547691524028778,0.5394441485404968,0.22961433231830597
thought,0.4469435214996338,0.24722152948379517,0.2325073778629303,0.28001952171325684,0.2664668560028076,0.24524326622486115,0.2600135803222656
to,0.455847829580307,0.22531428933143616,0.16788765788078308,0.42745086550712585,0.19069908559322357,0.45010748505592346,0.29463258385658264
be,0.3929833769798279,0.26292285323143005,0.15600140392780304,0.4819129705429077,0.22971925139427185,0.3481820821762085,0.3324260413646698
the,0.42745697498321533,0.21317854523658752,0.2478068619966507,0.5823672413825989,0.2588452696800232,0.6662389636039734,0.22068053483963013
one,0.376489520072937,0.25640013813972473,0.24081246554851532,0.4544198513031006,0.2126462459564209,0.4129433035850525,0.2673267424106598
that,0.6297725439071655,0.30851247906684875,0.21197539567947388,0.3995479643344879,0.2887172996997833,0.435920387506485,0.32716336846351624
branched,0.19290299713611603,0.39395830035209656,0.31129762530326843,0.22920872271060944,0.3939110040664673,0.2298184037208557,0.16112618148326874
off,0.2350364625453949,0.19273965060710907,0.08490823209285736,0.20147104561328888,0.13235101103782654,0.25627145171165466,0.12937544286251068
the,0.42745697498321533,0.21317854523658752,0.2478068619966507,0.5823672413825989,0.2588452696800232,0.6662389636039734,0.22068053483963013
earliest,0.23163363337516785,0.22011390328407288,0.2928088903427124,0.22056961059570312,0.35606515407562256,0.3064194619655609,0.139415442943573
.,0.3567904531955719,0.2371024191379547,0.1666526049375534,0.4569662809371948,0.27996137738227844,0.5591574311256409,0.4130953550338745
