,how,many,times,did,plague,occur,in,venice,?
plague,0.16610242426395416,0.2661729156970978,0.20353786647319794,0.1901843398809433,0.9999999403953552,0.24318695068359375,0.2488756626844406,0.3226087689399719,0.11872942000627518
occurred,0.11476008594036102,0.24568422138690948,0.2283134162425995,0.2772168517112732,0.2475358545780182,0.6558175086975098,0.3479720652103424,0.07400558143854141,0.15880417823791504
in,0.2601168751716614,0.41474202275276184,0.2427823841571808,0.2593238651752472,0.2488756626844406,0.26916563510894775,1.0,0.26352378726005554,0.20430970191955566
venice,0.11895649880170822,0.16642962396144867,0.17952020466327667,0.17266996204853058,0.3226087689399719,0.0799553170800209,0.26352378726005554,0.9999999403953552,0.1528070569038391
22,-0.07495728880167007,0.03192092478275299,-0.08129625022411346,-0.003912506625056267,0.11985424160957336,0.008996482938528061,0.01694893091917038,0.018077069893479347,0.06663474440574646
times,0.2685738503932953,0.303416907787323,1.0,0.23068773746490479,0.20353786647319794,0.17967745661735535,0.2427823841571808,0.17952020466327667,0.18880689144134521
between,0.2747800648212433,0.29423660039901733,0.2427930384874344,0.16542956233024597,0.13008351624011993,0.3135787546634674,0.41100412607192993,0.20864750444889069,0.12887074053287506
1361,0.12489032000303268,0.02230098471045494,-0.0363105945289135,0.08292403817176819,0.17131327092647552,-0.041311029344797134,-0.08059554547071457,0.011958960443735123,0.0820477083325386
and,0.33647966384887695,0.5296266674995422,0.2611900568008423,0.34479495882987976,0.2229994833469391,0.2570546269416809,0.4954058527946472,0.2211664319038391,0.20544172823429108
1528,-0.05862162262201309,-0.09486492723226547,-0.04595578461885452,0.053846169263124466,-0.04649263620376587,-0.07284651696681976,-0.06492186337709427,-0.048547834157943726,-0.05951966345310211
.,0.3287222981452942,0.3974229395389557,0.2891986668109894,0.35288307070732117,0.2547653317451477,0.21290622651576996,0.5591574311256409,0.2624143660068512,0.4130953550338745
