,how,many,grade,one,listed,railway,stations,are,in,the,uk,?
the,0.33890387415885925,0.4335206151008606,0.19111110270023346,0.5514441132545471,0.31246060132980347,0.2692219316959381,0.24762700498104095,0.40399202704429626,0.6662389636039734,1.0,0.2143084555864334,0.22068053483963013
station,0.12616953253746033,0.15228354930877686,0.15344257652759552,0.18641649186611176,0.21779748797416687,0.5970122814178467,0.8503052592277527,0.12370817363262177,0.21784305572509766,0.23609806597232819,0.2123185694217682,0.12574981153011322
is,0.22544461488723755,0.2649032473564148,0.18658840656280518,0.4544198513031006,0.24937160313129425,0.20497626066207886,0.2002124935388565,0.5330929756164551,0.5394441485404968,0.5823672413825989,0.17650434374809265,0.22961433231830597
one,0.3213292360305786,0.4223630726337433,0.22885306179523468,1.0000001192092896,0.33518242835998535,0.2131599336862564,0.24847227334976196,0.42537835240364075,0.4129433035850525,0.5514441132545471,0.23009344935417175,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.1790352761745453,0.4999135136604309,0.28872668743133545,0.21322962641716003,0.20414425432682037,0.39081433415412903,0.5696388483047485,0.733189046382904,0.21513383090496063,0.1826142966747284
only,0.36590442061424255,0.4670507609844208,0.22379425168037415,0.5699372291564941,0.32228216528892517,0.17397965490818024,0.2648601830005646,0.4533037543296814,0.42992329597473145,0.5497692227363586,0.2043992280960083,0.2767370045185089
six,0.20644865930080414,0.37673795223236084,0.165201336145401,0.5123199820518494,0.2291766256093979,0.15796004235744476,0.19792911410331726,0.32657361030578613,0.3013422191143036,0.3614266812801361,0.16940367221832275,0.15298804640769958
grade,0.22027473151683807,0.16727083921432495,1.0,0.22885306179523468,0.38322439789772034,0.20200002193450928,0.2037392407655716,0.22973433136940002,0.18351052701473236,0.19111110270023346,0.2769143879413605,0.12344983220100403
one,0.3213292360305786,0.4223630726337433,0.22885306179523468,1.0000001192092896,0.33518242835998535,0.2131599336862564,0.24847227334976196,0.42537835240364075,0.4129433035850525,0.5514441132545471,0.23009344935417175,0.2673267424106598
listed,0.19256755709648132,0.29396384954452515,0.38322439789772034,0.33518242835998535,1.0000001192092896,0.1918848305940628,0.3013860881328583,0.37825334072113037,0.2905867397785187,0.31246060132980347,0.21401269733905792,0.2152968794107437
railway,0.12338674068450928,0.13060329854488373,0.20200002193450928,0.2131599336862564,0.1918848305940628,1.0,0.5476300120353699,0.16314223408699036,0.2326211929321289,0.2692219316959381,0.22096991539001465,0.07994066178798676
stations,0.18198855221271515,0.2893238365650177,0.2037392407655716,0.24847227334976196,0.3013860881328583,0.5476300120353699,1.0,0.28331783413887024,0.25864288210868835,0.24762700498104095,0.25539547204971313,0.13192185759544373
in,0.2601168751716614,0.41474202275276184,0.18351052701473236,0.4129433035850525,0.2905867397785187,0.2326211929321289,0.25864288210868835,0.3841303884983063,1.0,0.6662389636039734,0.2261405885219574,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.19111110270023346,0.5514441132545471,0.31246060132980347,0.2692219316959381,0.24762700498104095,0.40399202704429626,0.6662389636039734,1.0,0.2143084555864334,0.22068053483963013
uk,0.14388126134872437,0.18414634466171265,0.2769143879413605,0.23009344935417175,0.21401269733905792,0.22096991539001465,0.25539547204971313,0.14764739573001862,0.2261405885219574,0.2143084555864334,1.0,0.20222434401512146
.,0.3287222981452942,0.3974229395389557,0.20457910001277924,0.4123194217681885,0.2932872176170349,0.20848026871681213,0.22839494049549103,0.3452940285205841,0.5591574311256409,0.5934505462646484,0.24075214564800262,0.4130953550338745
