,what,does,less,education,lead,to,when,working,?
as,0.31749409437179565,0.31202155351638794,0.3253805339336395,0.2414141446352005,0.2644319534301758,0.42092081904411316,0.4437963366508484,0.2861536145210266,0.27043893933296204
a,0.3320399522781372,0.38201746344566345,0.3475147485733032,0.21779850125312805,0.20661775767803192,0.45503583550453186,0.44397395849227905,0.2998538911342621,0.23916715383529663
result,0.19945499300956726,0.18998359143733978,0.2483719438314438,0.14211563766002655,0.19438086450099945,0.23653174936771393,0.32054403424263,0.08602282404899597,0.17218433320522308
",",0.3087472915649414,0.28617382049560547,0.28111666440963745,0.2718683183193207,0.2561914026737213,0.44245919585227966,0.36674630641937256,0.29007792472839355,0.31091248989105225
those,0.44466671347618103,0.3144809603691101,0.3945322036743164,0.21833743155002594,0.14290066063404083,0.47350940108299255,0.3199491798877716,0.2597036361694336,0.3328189253807068
who,0.40942975878715515,0.25013914704322815,0.24590972065925598,0.2051982581615448,0.19455209374427795,0.42656609416007996,0.48282691836357117,0.32452359795570374,0.26220351457595825
are,0.29724663496017456,0.3126322329044342,0.37797531485557556,0.14324818551540375,0.14601658284664154,0.3504326641559601,0.29873907566070557,0.23492206633090973,0.24591213464736938
unable,0.2877064049243927,0.336455762386322,0.2555198669433594,0.16456829011440277,0.2005835622549057,0.47413626313209534,0.40951576828956604,0.22113585472106934,0.1804998219013214
to,0.455847829580307,0.4391997456550598,0.38397523760795593,0.2626708149909973,0.23490607738494873,1.0,0.5423505902290344,0.28215980529785156,0.29463258385658264
afford,0.2490071803331375,0.27210038900375366,0.35112446546554565,0.23300747573375702,0.14802296459674835,0.36459875106811523,0.26141130924224854,0.18684430420398712,0.2048596292734146
an,0.2821882665157318,0.29477936029434204,0.24461770057678223,0.1506793051958084,0.2059066742658615,0.3138085603713989,0.33026179671287537,0.18882836401462555,0.19793890416622162
education,0.19940856099128723,0.1943693906068802,0.14383840560913086,1.0,0.12865006923675537,0.2626708149909973,0.15827520191669464,0.24962273240089417,0.18067774176597595
",",0.3087472915649414,0.28617382049560547,0.28111666440963745,0.2718683183193207,0.2561914026737213,0.44245919585227966,0.36674630641937256,0.29007792472839355,0.31091248989105225
or,0.33867141604423523,0.4248845875263214,0.40981101989746094,0.14504022896289825,0.16931064426898956,0.38921234011650085,0.417120099067688,0.2252151519060135,0.32389625906944275
choose,0.37237128615379333,0.3232218623161316,0.2351154088973999,0.23230762779712677,0.1425682157278061,0.38412243127822876,0.2620577812194824,0.18181246519088745,0.2863835394382477
not,0.5449194312095642,0.6355478763580322,0.422049343585968,0.22298960387706757,0.23259316384792328,0.5149973034858704,0.4799930453300476,0.2550792098045349,0.41942933201789856
to,0.455847829580307,0.4391997456550598,0.38397523760795593,0.2626708149909973,0.23490607738494873,1.0,0.5423505902290344,0.28215980529785156,0.29463258385658264
pursue,0.21410717070102692,0.17197465896606445,0.18722125887870789,0.30682143568992615,0.22352053225040436,0.38036081194877625,0.2393937110900879,0.22498930990695953,0.1284760683774948
optional,0.18392537534236908,0.18578889966011047,0.1413765698671341,0.1656329333782196,0.0950847715139389,0.1964407116174698,0.10491160303354263,0.07900722324848175,0.2415110170841217
education,0.19940856099128723,0.1943693906068802,0.14383840560913086,1.0,0.12865006923675537,0.2626708149909973,0.15827520191669464,0.24962273240089417,0.18067774176597595
",",0.3087472915649414,0.28617382049560547,0.28111666440963745,0.2718683183193207,0.2561914026737213,0.44245919585227966,0.36674630641937256,0.29007792472839355,0.31091248989105225
generally,0.40614598989486694,0.38465455174446106,0.48648715019226074,0.18290089070796967,0.17730893194675446,0.3871513605117798,0.38531962037086487,0.21959982812404633,0.23411904275417328
receive,0.20392422378063202,0.27620595693588257,0.2493913471698761,0.22655272483825684,0.12120061367750168,0.3372296690940857,0.22619901597499847,0.1924397200345993,0.1652119904756546
much,0.45316147804260254,0.38653305172920227,0.6148731112480164,0.21445085108280182,0.20519433915615082,0.40610215067863464,0.39518025517463684,0.2691572308540344,0.23442231118679047
lower,0.20079238712787628,0.19989411532878876,0.31475934386253357,0.21266406774520874,0.09761782735586166,0.233318492770195,0.19194231927394867,0.14421601593494415,0.08471795171499252
wages,0.20351257920265198,0.22873397171497345,0.3182685971260071,0.3931823968887329,0.12750306725502014,0.24337364733219147,0.16232061386108398,0.3549249768257141,0.19884631037712097
.,0.3567904531955719,0.3022993505001068,0.32668155431747437,0.27047446370124817,0.2305188626050949,0.4645031690597534,0.475719153881073,0.28468647599220276,0.4130953550338745
