,why,is,priestley,usually,given,credit,for,being,first,to,discover,oxygen,?
because,0.5926418900489807,0.4047735333442688,0.2013966292142868,0.4673277735710144,0.37735071778297424,0.18638312816619873,0.4676002562046051,0.5229522585868835,0.314182847738266,0.5166091918945312,0.2676559388637543,0.28859952092170715,0.2528740465641022
he,0.26086166501045227,0.36230841279029846,0.266123503446579,0.22549396753311157,0.22582392394542694,0.16084790229797363,0.4540175199508667,0.426932692527771,0.3826274573802948,0.385390967130661,0.17222784459590912,0.15942583978176117,0.2089974731206894
published,0.15849295258522034,0.17880885303020477,0.2152271568775177,0.14612939953804016,0.2386694699525833,0.13549333810806274,0.21304498612880707,0.17447856068611145,0.3122035264968872,0.12403073906898499,0.23846469819545746,0.020142076537013054,0.16280238330364227
his,0.19196097552776337,0.24372583627700806,0.23296187818050385,0.20796990394592285,0.2973951995372772,0.2684380114078522,0.39312878251075745,0.34421810507774353,0.3241460621356964,0.3715193271636963,0.2157134711742401,0.1720821112394333,0.18075084686279297
findings,0.23938599228858948,0.23744268715381622,0.18781778216362,0.2156505435705185,0.29298001527786255,0.19004212319850922,0.2538018822669983,0.29105889797210693,0.21743004024028778,0.30011293292045593,0.4729295074939728,0.24184323847293854,0.16064861416816711
first,0.21323956549167633,0.30889374017715454,0.2066122144460678,0.2776850461959839,0.29456719756126404,0.19086527824401855,0.3800288736820221,0.3338102698326111,1.0,0.3792489171028137,0.2556436061859131,0.17370176315307617,0.18701928853988647
",",0.2827242314815521,0.4691906273365021,0.31705740094184875,0.21946179866790771,0.2843315005302429,0.2032226324081421,0.4464869201183319,0.34499165415763855,0.34503069519996643,0.44245919585227966,0.22755950689315796,0.21812842786312103,0.31091248989105225
priestley,0.23793628811836243,0.1603458970785141,1.0000001192092896,0.17747464776039124,0.23030903935432434,0.20319205522537231,0.23928965628147125,0.17476166784763336,0.2066122144460678,0.2108820527791977,0.27541694045066833,0.3131166696548462,0.13982412219047546
is,0.26410171389579773,1.0,0.1603458970785141,0.4230746626853943,0.249215230345726,0.07379506528377533,0.43268078565597534,0.4445112943649292,0.30889374017715454,0.42745086550712585,0.21047036349773407,0.21825239062309265,0.22961433231830597
usually,0.298009991645813,0.4230746626853943,0.17747464776039124,1.0000001192092896,0.29048091173171997,0.1579783856868744,0.34784460067749023,0.4151638150215149,0.2776850461959839,0.3824864327907562,0.10405392199754715,0.27663707733154297,0.19435347616672516
