,for,what,occasion,was,he,put,on,the,cover,?
on,0.36199691891670227,0.34226128458976746,0.2930532991886139,0.3909217119216919,0.32403138279914856,0.33860915899276733,0.9999999403953552,0.5107308030128479,0.3228342533111572,0.2714994251728058
tesla,0.13983871042728424,0.23221199214458466,0.1115165501832962,0.16455206274986267,0.12373391538858414,0.1382041871547699,0.16159376502037048,0.1324402391910553,0.12449809163808823,0.10250775516033173
's,-0.07241261005401611,0.02692362666130066,0.04829338565468788,0.008974763564765453,0.024063590914011,0.006688596680760384,0.0026888418942689896,-0.01540423184633255,0.05930739641189575,-0.023395681753754616
75th,0.10161904245615005,0.11947454512119293,0.03668428957462311,0.19887813925743103,0.09253285825252533,0.06446462869644165,0.08966006338596344,0.20871460437774658,0.09749327600002289,0.044982850551605225
birthday,0.22447143495082855,0.21950648725032806,0.3145996630191803,0.25935232639312744,0.2747727334499359,0.1530526578426361,0.287424772977829,0.1861504316329956,0.11071731895208359,0.22143252193927765
in,0.4322226941585541,0.30808621644973755,0.16129016876220703,0.45514053106307983,0.41690486669540405,0.26728662848472595,0.46853652596473694,0.6662389636039734,0.19227565824985504,0.20430970191955566
1931,0.06597933173179626,0.11184271425008774,0.03365393355488777,0.10929901897907257,0.025363115593791008,0.02762705646455288,0.08620596677064896,0.2207084596157074,0.008532194420695305,-0.060640864074230194
",",0.4464869201183319,0.3087472915649414,0.27114757895469666,0.45456063747406006,0.40251094102859497,0.28264448046684265,0.49057599902153015,0.4933079481124878,0.24982257187366486,0.31091248989105225
time,0.3992156386375427,0.36319252848625183,0.3017566204071045,0.3641340136528015,0.37626320123672485,0.31336086988449097,0.30044233798980713,0.43061500787734985,0.19033178687095642,0.27391523122787476
magazine,0.1829415112733841,0.16423653066158295,0.140216663479805,0.25375688076019287,0.1975211650133133,0.24193985760211945,0.2296493798494339,0.19931171834468842,0.33916035294532776,0.15570664405822754
put,0.3295622766017914,0.3330543637275696,0.22605054080486298,0.24684612452983856,0.21457596123218536,1.0,0.33860915899276733,0.34150463342666626,0.2926618456840515,0.2993032932281494
him,0.34431272745132446,0.34912991523742676,0.335490882396698,0.3675798773765564,0.6241704225540161,0.32915881276130676,0.2697460651397705,0.39213326573371887,0.14544783532619476,0.23943768441677094
on,0.36199691891670227,0.34226128458976746,0.2930532991886139,0.3909217119216919,0.32403138279914856,0.33860915899276733,0.9999999403953552,0.5107308030128479,0.3228342533111572,0.2714994251728058
its,0.2992613911628723,0.30393704771995544,0.18629343807697296,0.3518870174884796,0.31198829412460327,0.17810069024562836,0.34331920742988586,0.559237003326416,0.16687849164009094,0.15103481709957123
cover,0.23061032593250275,0.19970405101776123,0.2040039747953415,0.188062384724617,0.159764364361763,0.2926618456840515,0.3228342533111572,0.26727065443992615,0.9999998807907104,0.18414615094661713
.,0.4726039469242096,0.3567904531955719,0.18884871900081635,0.40146201848983765,0.38061028718948364,0.32595527172088623,0.49257001280784607,0.5934505462646484,0.22325164079666138,0.4130953550338745
