,what,do,chloroplasts,do,like,mitochondria,?
like,0.4320242702960968,0.4615015685558319,0.21969065070152283,0.4615015685558319,1.0000001192092896,0.23680487275123596,0.3268813192844391
mitochondria,0.26347023248672485,0.3216342031955719,0.7002830505371094,0.3216342031955719,0.23680487275123596,1.0,0.20248937606811523
",",0.3087472915649414,0.3283645510673523,0.20794041454792023,0.3283645510673523,0.4085598886013031,0.22430789470672607,0.31091248989105225
chloroplasts,0.2524593770503998,0.2621478736400604,0.9999999403953552,0.2621478736400604,0.21969065070152283,0.7002830505371094,0.13049766421318054
use,0.3453877568244934,0.4545445144176483,0.2257048487663269,0.4545445144176483,0.4426271915435791,0.23567494750022888,0.32795652747154236
the,0.42745697498321533,0.30239659547805786,0.23062430322170258,0.30239659547805786,0.32912567257881165,0.22119471430778503,0.22068053483963013
potential,0.27308183908462524,0.25315120816230774,0.26177138090133667,0.25315120816230774,0.22789166867733002,0.3078469932079315,0.20122039318084717
energy,0.190252885222435,0.21968168020248413,0.3781890571117401,0.21968168020248413,0.1865965873003006,0.3864597976207733,0.14860127866268158
stored,0.23197562992572784,0.2388223260641098,0.386023610830307,0.2388223260641098,0.24302582442760468,0.3226536214351654,0.18399180471897125
in,0.30808621644973755,0.23402775824069977,0.21141497790813446,0.23402775824069977,0.31010183691978455,0.22548407316207886,0.20430970191955566
an,0.2821882665157318,0.25865980982780457,0.15571507811546326,0.25865980982780457,0.2679307162761688,0.16522236168384552,0.19793890416622162
h+,0.2063293606042862,0.22533519566059113,0.4832388460636139,0.22533519566059113,0.23905736207962036,0.3981899917125702,0.3206552565097809
",",0.3087472915649414,0.3283645510673523,0.20794041454792023,0.3283645510673523,0.4085598886013031,0.22430789470672607,0.31091248989105225
or,0.33867141604423523,0.39439281821250916,0.3088610768318176,0.39439281821250916,0.4823164641857147,0.29290467500686646,0.32389625906944275
hydrogen,0.19052310287952423,0.24647696316242218,0.528927743434906,0.24647696316242218,0.26381775736808777,0.45799165964126587,0.14590126276016235
ion,0.09849503636360168,0.12429719418287277,0.4181656241416931,0.12429719418287277,0.1682559847831726,0.253946989774704,0.14370645582675934
gradient,0.2476568967103958,0.19845695793628693,0.38050320744514465,0.19845695793628693,0.1631692349910736,0.3195748031139374,0.16633863747119904
to,0.455847829580307,0.38876664638519287,0.23370109498500824,0.38876664638519287,0.35482415556907654,0.2363239973783493,0.29463258385658264
generate,0.26186254620552063,0.31660905480384827,0.3253514766693115,0.31660905480384827,0.2970660626888275,0.3555046319961548,0.28300654888153076
atp,0.1845729500055313,0.18263812363147736,0.4773290455341339,0.18263812363147736,0.11837886273860931,0.4699406921863556,0.17643076181411743
energy,0.190252885222435,0.21968168020248413,0.3781890571117401,0.21968168020248413,0.1865965873003006,0.3864597976207733,0.14860127866268158
.,0.3567904531955719,0.3613996207714081,0.23868323862552643,0.3613996207714081,0.393751323223114,0.2463228851556778,0.4130953550338745
