,what,was,the,date,of,the,very,first,episode,of,doctor,who,?
doctor,0.20870667695999146,0.19672659039497375,0.2820442318916321,0.051478512585163116,0.16895952820777893,0.2820442318916321,0.17383863031864166,0.27244147658348083,0.2940889000892639,0.16895952820777893,0.9999999403953552,0.3504868149757385,0.1462511420249939
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.13548210263252258,0.2827862501144409,0.3733934462070465,0.34641316533088684,0.39065709710121155,0.2015407234430313,0.2827862501144409,0.3504868149757385,0.9999998807907104,0.26220351457595825
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.2779913544654846,0.3536086082458496,0.49448907375335693,0.25814202427864075,1.0,0.24243572354316711,0.3536086082458496,0.27244147658348083,0.39065709710121155,0.18701928853988647
appeared,0.1569073647260666,0.35842156410217285,0.30265679955482483,0.13870368897914886,0.24007049202919006,0.30265679955482483,0.2241113781929016,0.37911704182624817,0.35301968455314636,0.24007049202919006,0.23563694953918457,0.22738154232501984,0.1384376585483551
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.21806180477142334,0.3966929316520691,0.5107308030128479,0.28276392817497253,0.3120559751987457,0.28993746638298035,0.3966929316520691,0.1636410653591156,0.2340552806854248,0.2714994251728058
bbc,0.20634698867797852,0.19087861478328705,0.2735401690006256,0.1105324923992157,0.1797877550125122,0.2735401690006256,0.13044951856136322,0.25469130277633667,0.3176216185092926,0.1797877550125122,0.32370132207870483,0.2086644321680069,0.20556949079036713
tv,0.20700684189796448,0.1889979988336563,0.20034731924533844,0.059106338769197464,0.19364769756793976,0.20034731924533844,0.13597407937049866,0.21167080104351044,0.4701891541481018,0.19364769756793976,0.23672568798065186,0.20096197724342346,0.20290863513946533
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.24779295921325684,0.42558613419532776,0.457212895154953,0.31395775079727173,0.3138778805732727,0.1932540386915207,0.42558613419532776,0.2165924310684204,0.22096660733222961,0.21978627145290375
17:16:20,0.03760942071676254,0.018821291625499725,0.03122871182858944,0.021698597818613052,0.03950362280011177,0.03122871182858944,0.014674818143248558,-0.031442295759916306,0.0493825301527977,0.03950362280011177,0.0397011935710907,-0.07407471537590027,0.11100462824106216
gmt,0.21689079701900482,0.2101697027683258,0.163153275847435,0.27352282404899597,0.14149236679077148,0.163153275847435,0.1178632378578186,0.22172267735004425,0.1886041760444641,0.14149236679077148,0.15373322367668152,0.05592767894268036,0.2714465260505676
