,what,did,stephen,kemble,guide,the,theatre,royal,through,?
stephen,0.19542662799358368,0.1677616983652115,0.9999999403953552,0.2690754532814026,0.18683089315891266,0.16396762430667877,0.11826059222221375,0.08815144002437592,0.09923388063907623,0.13611415028572083
kemble,0.15583722293376923,0.10021261125802994,0.2690754532814026,0.9999999403953552,0.17832691967487335,0.2401106208562851,0.3077898323535919,0.3115391135215759,0.15517786145210266,0.13023337721824646
guided,0.21968917548656464,0.19545669853687286,0.2131621390581131,0.17278099060058594,0.6641185879707336,0.2760855555534363,0.10023898631334305,0.18473412096500397,0.307870090007782,0.11538667976856232
the,0.42745697498321533,0.34736719727516174,0.16396762430667877,0.2401106208562851,0.2088000774383545,1.0,0.25594043731689453,0.2997032403945923,0.44071322679519653,0.22068053483963013
theatre,0.12211663275957108,0.17782776057720184,0.11826059222221375,0.3077898323535919,0.11607284843921661,0.25594043731689453,1.0,0.33194202184677124,0.1497700959444046,0.1159285232424736
through,0.23167094588279724,0.14190755784511566,0.09923388063907623,0.15517786145210266,0.2153853476047516,0.44071322679519653,0.1497700959444046,0.1575707346200943,1.0,0.16913433372974396
many,0.36131182312965393,0.375588983297348,0.14425060153007507,0.14218103885650635,0.13387368619441986,0.4335206151008606,0.22114235162734985,0.18892993032932281,0.28384116291999817,0.2124512493610382
celebrated,0.16191492974758148,0.1900625377893448,0.15723289549350739,0.2046559900045395,0.13322757184505463,0.27264803647994995,0.20707477629184723,0.19306857883930206,0.1501907855272293,0.19592389464378357
seasons,0.13544028997421265,0.18920958042144775,0.13057193160057068,0.15187667310237885,0.15567167103290558,0.24226845800876617,0.20220598578453064,0.13664542138576508,0.2163393199443817,0.13766995072364807
.,0.3567904531955719,0.35288307070732117,0.23956622183322906,0.26900333166122437,0.23866170644760132,0.5934505462646484,0.2394188642501831,0.19540183246135712,0.3174465596675873,0.4130953550338745
