,ediacaran,eoandromeda,can,be,regarded,to,represent,what,?
the,0.2770300805568695,0.23292838037014008,0.312528520822525,0.4248143136501312,0.28921735286712646,0.535392165184021,0.3288072943687439,0.42745697498321533,0.22068053483963013
ediacaran,0.9999999403953552,0.3765327036380768,0.23668190836906433,0.25609925389289856,0.22185669839382172,0.2183510959148407,0.26596543192863464,0.2511945962905884,0.2199965864419937
eoandromeda,0.3765327036380768,1.0,0.20078271627426147,0.18522799015045166,0.1838970184326172,0.2268860936164856,0.15094631910324097,0.15315935015678406,0.15456728637218475
could,0.19661282002925873,0.21625177562236786,0.6550644040107727,0.4791525900363922,0.1687787026166916,0.5461788773536682,0.25695016980171204,0.4188697934150696,0.3411986827850342
putatively,0.3555932641029358,0.1786622852087021,0.3363548219203949,0.30456605553627014,0.22198207676410675,0.2582709789276123,0.23526141047477722,0.2811916768550873,0.14974793791770935
represent,0.26596543192863464,0.15094631910324097,0.27878230810165405,0.3413621783256531,0.33805009722709656,0.2675820589065552,1.0,0.2515442371368408,0.1972627341747284
a,0.2513369917869568,0.236474871635437,0.3915780484676361,0.39883795380592346,0.24923060834407806,0.45503583550453186,0.2923792004585266,0.3320399522781372,0.23916715383529663
comb,0.2767501771450043,0.18400081992149353,0.27596426010131836,0.2500430941581726,0.09860611706972122,0.18590781092643738,0.23926909267902374,0.20374168455600739,0.2510223686695099
jelly,0.2427198886871338,0.11723850667476654,0.3178275227546692,0.2642629146575928,0.12656451761722565,0.21408908069133759,0.16047878563404083,0.20626559853553772,0.18690063059329987
.,0.2529752552509308,0.2210424244403839,0.35783761739730835,0.4383580684661865,0.21672438085079193,0.4645031690597534,0.22431740164756775,0.3567904531955719,0.4130953550338745
