,imperialism,often,divides,countries,by,using,which,technique,?
this,0.2821269631385803,0.40794891119003296,0.244828999042511,0.3181088864803314,0.38438332080841064,0.4070901870727539,0.6719430088996887,0.30310148000717163,0.3155723512172699
is,0.13894762098789215,0.3856629431247711,0.3161165714263916,0.254234254360199,0.3899846076965332,0.26543745398521423,0.4457404911518097,0.22651469707489014,0.22961433231830597
often,0.239182248711586,1.0000001192092896,0.2154746949672699,0.336731880903244,0.32333052158355713,0.3929809629917145,0.5498976707458496,0.3269713819026947,0.23748154938220978
through,0.13557466864585876,0.1985778659582138,0.3756053149700165,0.1984005570411682,0.3433202803134918,0.28066855669021606,0.40321648120880127,0.2234787940979004,0.16913433372974396
various,0.2392261028289795,0.4236096441745758,0.2094341516494751,0.3272593021392822,0.2973117232322693,0.2750030755996704,0.42230772972106934,0.26408442854881287,0.12823495268821716
forms,0.21253208816051483,0.3391062617301941,0.3020022511482239,0.2709815800189972,0.19076815247535706,0.19266484677791595,0.4084344804286957,0.27899953722953796,0.1196754202246666
of,0.29240643978118896,0.3351972997188568,0.3720552325248718,0.2800094783306122,0.3646814823150635,0.24298200011253357,0.5011631846427917,0.1720840036869049,0.1826142966747284
``,0.050459738820791245,0.06302177906036377,0.16514109075069427,0.06715091317892075,-0.030704375356435776,0.09494099766016006,0.05178012326359749,0.06329558789730072,0.0685480609536171
othering,0.21959316730499268,0.32907500863075256,0.1654510200023651,0.22869990766048431,0.29208117723464966,0.39661556482315063,0.411893367767334,0.2785947322845459,0.2150711864233017
'',-0.013202380388975143,0.03212470933794975,-0.04626584053039551,0.07233493775129318,-0.010275691747665405,0.051351990550756454,-0.03332270681858063,-0.02733965404331684,0.018684765323996544
(,0.19792230427265167,0.1375083178281784,0.20280234515666962,0.15407808125019073,0.20696312189102173,0.1647263914346695,0.2589828372001648,0.10405454784631729,0.40561532974243164
see,0.18249592185020447,0.30456027388572693,0.2349177598953247,0.22841650247573853,0.21684600412845612,0.2793806493282318,0.34714528918266296,0.13105444610118866,0.42005208134651184
other,0.19548238813877106,0.4479043185710907,0.1904846727848053,0.42453643679618835,0.3321913778781891,0.34451326727867126,0.50507652759552,0.1595667004585266,0.24682199954986572
),0.2044532299041748,0.16039077937602997,0.20660918951034546,0.15248970687389374,0.2151763141155243,0.19352808594703674,0.2758678197860718,0.12101513147354126,0.42300865054130554
based,0.2524650990962982,0.24628451466560364,0.1789785921573639,0.19458940625190735,0.3462308943271637,0.2953546345233917,0.3473800718784332,0.20637963712215424,0.134929820895195
on,0.09501302242279053,0.24822035431861877,0.2503262162208557,0.2938643991947174,0.33887791633605957,0.29792529344558716,0.4245251417160034,0.21131812036037445,0.2714994251728058
racial,0.34389740228652954,0.24594441056251526,0.18957841396331787,0.2648514211177826,0.204776793718338,0.18947961926460266,0.19829218089580536,0.1266191005706787,0.13234834372997284
",",0.2420617640018463,0.24139221012592316,0.23782670497894287,0.2966555655002594,0.3680937886238098,0.27050045132637024,0.3658004403114319,0.19078779220581055,0.31091248989105225
religious,0.33959099650382996,0.27376699447631836,0.14275555312633514,0.28960883617401123,0.19244135916233063,0.11093494296073914,0.23757514357566833,0.11961669474840164,0.15727058053016663
",",0.2420617640018463,0.24139221012592316,0.23782670497894287,0.2966555655002594,0.3680937886238098,0.27050045132637024,0.3658004403114319,0.19078779220581055,0.31091248989105225
or,0.16436384618282318,0.5791526436805725,0.2549995481967926,0.33534011244773865,0.30274316668510437,0.4131818115711212,0.5105096101760864,0.26881954073905945,0.32389625906944275
cultural,0.34698227047920227,0.18464431166648865,0.24913862347602844,0.2571737468242645,0.15795396268367767,0.06962933391332626,0.20728276669979095,0.16486947238445282,0.09798457473516464
stereotypes,0.34706875681877136,0.3944220244884491,0.1628609001636505,0.31640854477882385,0.20949019491672516,0.1952936202287674,0.2590580880641937,0.17701952159404755,0.16184504330158234
.,0.22279119491577148,0.30710849165916443,0.2201136201620102,0.27938392758369446,0.3936232924461365,0.3629456162452698,0.45942068099975586,0.16046342253684998,0.4130953550338745
