,what,was,the,total,number,of,patents,that,tesla,had,?
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.18085311353206635,0.1560482233762741,0.18837453424930573,0.352291464805603,0.22102725505828857,0.9999999403953552,0.12050733715295792,0.10250775516033173
obtained,0.15716862678527832,0.20744366943836212,0.2607382833957672,0.16930629312992096,0.2373165637254715,0.32358500361442566,0.21649812161922455,0.22595681250095367,0.19276434183120728,0.20350758731365204,0.10347618907690048
around,0.27475327253341675,0.24039418995380402,0.40085816383361816,0.28445571660995483,0.27744415402412415,0.3296394646167755,0.224798321723938,0.36311936378479004,0.13338635861873627,0.2928045392036438,0.14729668200016022
300,-0.018814310431480408,-0.062496185302734375,-0.07017405331134796,-0.08921690285205841,-0.05055490508675575,-0.04760007932782173,-0.11367309093475342,-0.03788096085190773,-0.005521261598914862,-0.046910688281059265,-0.06213558092713356
patents,0.16317835450172424,0.15588046610355377,0.20236903429031372,0.13959500193595886,0.16920430958271027,0.17704786360263824,1.0,0.2503669261932373,0.352291464805603,0.17608098685741425,0.1148110032081604
worldwide,0.20704631507396698,0.26323333382606506,0.2698158025741577,0.2988300323486328,0.2957112193107605,0.23144318163394928,0.22859466075897217,0.2686769962310791,0.19640660285949707,0.24944669008255005,0.2253960371017456
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.18924455344676971,0.2861633002758026,0.4185989499092102,0.2654845714569092,0.4137635827064514,0.13983871042728424,0.3270139992237091,0.264628142118454
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.11309853941202164,0.1706494837999344,0.38364991545677185,0.1780233383178711,0.3173833191394806,0.1580733060836792,0.4401516616344452,0.18075084686279297
inventions,0.26480668783187866,0.216258704662323,0.21484124660491943,0.09573385864496231,0.21087096631526947,0.20976124703884125,0.6049428582191467,0.3586066663265228,0.32972049713134766,0.23170016705989838,0.1723206788301468
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2295650690793991,0.3256329298019409,0.5352458953857422,0.21918348968029022,0.4460422694683075,0.17949827015399933,0.37348684668540955,0.4130953550338745
