,who,are,commonly,associated,with,the,algorithm,typically,considered,the,most,effective,with,respect,to,finite,polynomial,hierarchy,and,graph,isomorphism,?
the,0.3733934462070465,0.40399202704429626,0.2974449694156647,0.2742886245250702,0.4223487675189972,1.0,0.15884782373905182,0.33345210552215576,0.4028765559196472,1.0,0.47635307908058167,0.23741452395915985,0.4223487675189972,0.2571326196193695,0.535392165184021,0.25951775908470154,0.1902180016040802,0.22604632377624512,0.5171257257461548,0.26083993911743164,0.20008665323257446,0.22068053483963013
best,0.266329824924469,0.20069833099842072,0.20120200514793396,0.17589236795902252,0.19415417313575745,0.3134109377861023,0.21579806506633759,0.14526598155498505,0.2445000410079956,0.3134109377861023,0.3848520517349243,0.2277328073978424,0.19415417313575745,0.21543310582637787,0.21715646982192993,0.2047172635793686,0.16504999995231628,0.10891146212816238,0.30328524112701416,0.10634449124336243,0.11399158090353012,0.2799045741558075
algorithm,0.1264619529247284,0.19334718585014343,0.2524632215499878,0.028188295662403107,0.0763108879327774,0.15884782373905182,1.0,0.2395947128534317,0.14542166888713837,0.15884782373905182,0.11581528931856155,0.22415229678153992,0.0763108879327774,0.15670610964298248,0.20727625489234924,0.4822426438331604,0.6020130515098572,0.2269579917192459,0.06731905043125153,0.41370630264282227,0.34541624784469604,0.21180397272109985
for,0.37110671401023865,0.3895993232727051,0.27418190240859985,0.22591517865657806,0.39140474796295166,0.4739971458911896,0.22014065086841583,0.3479194939136505,0.3214476406574249,0.4739971458911896,0.3906237483024597,0.2914128005504608,0.39140474796295166,0.27822989225387573,0.4451248347759247,0.24490396678447723,0.21961666643619537,0.09427861869335175,0.5064792633056641,0.16102299094200134,0.17853045463562012,0.264628142118454
this,0.3345087468624115,0.35762670636177063,0.2733919322490692,0.27648818492889404,0.36358317732810974,0.6274310946464539,0.2709719240665436,0.38951244950294495,0.39504173398017883,0.6274310946464539,0.43080902099609375,0.3555901050567627,0.36358317732810974,0.3369671106338501,0.5759071707725525,0.32842355966567993,0.2959214150905609,0.24643215537071228,0.42353692650794983,0.25881490111351013,0.33628514409065247,0.3155723512172699
problem,0.22970008850097656,0.2619974911212921,0.23363131284713745,0.18436965346336365,0.2717578709125519,0.24928659200668335,0.39858657121658325,0.2080833911895752,0.23308736085891724,0.24928659200668335,0.2509269416332245,0.3089003264904022,0.2717578709125519,0.27220141887664795,0.2502208352088928,0.3287704586982727,0.4493931233882904,0.24423439800739288,0.24328261613845825,0.32991036772727966,0.30088382959365845,0.3762950301170349
",",0.3365725874900818,0.4062570035457611,0.27548834681510925,0.27184680104255676,0.4120737314224243,0.4933079481124878,0.19359813630580902,0.18964512646198273,0.32932984828948975,0.4933079481124878,0.3636029064655304,0.2531147599220276,0.4120737314224243,0.31207460165023804,0.44245919585227966,0.24448928236961365,0.21592853963375092,0.15345069766044617,0.6633074283599854,0.21839329600334167,0.15876521170139313,0.31091248989105225
due,0.1198829784989357,0.17220361530780792,0.23945315182209015,0.25721466541290283,0.22345976531505585,0.22577603161334991,0.1473851352930069,0.2646675705909729,0.3047218322753906,0.22577603161334991,0.20159634947776794,0.26248303055763245,0.22345976531505585,0.2533210813999176,0.35188060998916626,0.16422079503536224,0.1319390833377838,0.11039593815803528,0.3082410395145416,0.10662779211997986,0.16972766816616058,0.10954997688531876
to,0.42656609416007996,0.3504326641559601,0.2571072280406952,0.2648659348487854,0.4239959120750427,0.535392165184021,0.20727625489234924,0.3589242696762085,0.2954166829586029,0.535392165184021,0.321603000164032,0.27306854724884033,0.4239959120750427,0.3208255469799042,1.0,0.2827737033367157,0.22792209684848785,0.19228041172027588,0.48971283435821533,0.19438183307647705,0.18489499390125275,0.29463258385658264
laszlo,0.28881481289863586,0.07518631219863892,0.12788577377796173,0.09387759119272232,0.22779539227485657,0.20076152682304382,0.16141408681869507,0.10155412554740906,0.13525225222110748,0.20076152682304382,0.13785502314567566,0.15753591060638428,0.22779539227485657,0.1391502171754837,0.18790224194526672,0.1696687489748001,0.22491024434566498,0.15601228177547455,0.27273598313331604,0.21205441653728485,0.14763183891773224,0.21286968886852264
babai,0.25817540287971497,0.12738625705242157,0.0961407795548439,0.11426496505737305,0.13316473364830017,0.18298661708831787,0.1438221037387848,0.08378870040178299,0.1677107810974121,0.18298661708831787,0.10828468948602676,0.08030141144990921,0.13316473364830017,0.21890534460544586,0.16125009953975677,0.06943503022193909,0.12207620590925217,0.08733530342578888,0.20572006702423096,0.13133485615253448,0.10526959598064423,0.17831723392009735
and,0.41279885172843933,0.48576638102531433,0.2290310114622116,0.30157923698425293,0.5477725267410278,0.5171257257461548,0.06731905043125153,0.3137528598308563,0.3359341621398926,0.5171257257461548,0.4309377074241638,0.2838481068611145,0.5477725267410278,0.30358022451400757,0.48971283435821533,0.19670739769935608,0.18511588871479034,0.2264053225517273,1.0,0.15086640417575836,0.17626088857650757,0.20544172823429108
eugene,0.2504054605960846,0.06340508162975311,0.17157723009586334,0.05766231566667557,0.08672861754894257,0.16070903837680817,0.11713050305843353,0.0916801169514656,0.09601835906505585,0.16070903837680817,0.127081960439682,0.06248071789741516,0.08672861754894257,0.001968498108908534,0.16246794164180756,0.1275038868188858,0.14851276576519012,0.14170964062213898,0.17491143941879272,0.13216888904571533,0.13073773682117462,0.16149088740348816
