,what,do,some,mongolians,feel,non-mongolian,historians,exaggerate,about,genghis,khan,?
however,0.4480680823326111,0.39999139308929443,0.5966196060180664,0.3294849097728729,0.3914106488227844,0.30832675099372864,0.3726766109466553,0.3771476447582245,0.37023138999938965,0.2830825448036194,0.20937305688858032,0.2152075469493866
",",0.3087472915649414,0.3283645510673523,0.42400437593460083,0.23116454482078552,0.23670589923858643,0.2766948640346527,0.28167304396629333,0.16736102104187012,0.3877100944519043,0.2891939878463745,0.19700400531291962,0.31091248989105225
there,0.35085538029670715,0.33227086067199707,0.5035935640335083,0.2603527903556824,0.2609860897064209,0.24141068756580353,0.2829084098339081,0.22767230868339539,0.463201105594635,0.17414520680904388,0.10096750408411026,0.29405656456947327
is,0.28837618231773376,0.30895981192588806,0.3038453459739685,0.173089399933815,0.2400403469800949,0.24835915863513947,0.16763648390769958,0.18951857089996338,0.3532065451145172,0.1866190880537033,0.20103248953819275,0.22961433231830597
a,0.3320399522781372,0.26237669587135315,0.34539633989334106,0.18916195631027222,0.2556643486022949,0.23252516984939575,0.18169201910495758,0.2372491955757141,0.34171196818351746,0.194350928068161,0.1743650734424591,0.23916715383529663
chasm,0.22183972597122192,0.163206085562706,0.14766542613506317,0.23012304306030273,0.2134767770767212,0.18404218554496765,0.16817978024482727,0.2622080445289612,0.1882067322731018,0.29463839530944824,0.18570071458816528,0.1518620252609253
in,0.30808621644973755,0.23402775824069977,0.4010399878025055,0.20711056888103485,0.1927928626537323,0.20333042740821838,0.20400987565517426,0.15513820946216583,0.39797019958496094,0.224680557847023,0.1527150720357895,0.20430970191955566
the,0.42745697498321533,0.30239659547805786,0.4566698372364044,0.2997082769870758,0.264497846364975,0.30641674995422363,0.2874947786331177,0.1565275341272354,0.37995871901512146,0.3448939025402069,0.21067845821380615,0.22068053483963013
perception,0.34251677989959717,0.235088050365448,0.30039095878601074,0.16420860588550568,0.266369491815567,0.16368459165096283,0.24343648552894592,0.447640597820282,0.2017129361629486,0.14070633053779602,0.07928454130887985,0.1807376742362976
of,0.33290785551071167,0.26150479912757874,0.4300730526447296,0.25245094299316406,0.19935615360736847,0.2736136019229889,0.27032220363616943,0.2027152180671692,0.40939709544181824,0.2938849925994873,0.17124508321285248,0.1826142966747284
