,what,is,most,of,the,cleared,land,in,the,amazon,region,used,for,?
between,0.2462156116962433,0.26809602975845337,0.24144990742206573,0.3737983703613281,0.39067012071609497,0.18801435828208923,0.1967475861310959,0.41100412607192993,0.39067012071609497,0.12149064987897873,0.1942082941532135,0.20879125595092773,0.24671313166618347,0.12887074053287506
1991,0.15930123627185822,-0.05684731900691986,-0.013390902429819107,-0.004689669236540794,0.002508036559447646,0.0375564806163311,-0.04062993451952934,0.0019440409960225224,0.002508036559447646,-0.0911702811717987,-0.10392115265130997,-0.055199816823005676,0.07042362540960312,0.175977423787117
and,0.31309178471565247,0.3859752118587494,0.4309377074241638,0.5116966962814331,0.5171257257461548,0.2928588092327118,0.2874513864517212,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.2372262328863144,0.3150506615638733,0.5064792633056641,0.20544172823429108
2000,-0.10562582314014435,-0.07182633876800537,-0.05183561146259308,0.010344067588448524,-0.015081177465617657,-0.193666011095047,-0.1118416041135788,-0.0435720756649971,-0.015081177465617657,-0.11082176119089127,-0.20353463292121887,-0.17411433160305023,0.008091370575129986,-0.0824366956949234
",",0.3087472915649414,0.4691906273365021,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.2776278555393219,0.22220008075237274,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2119160145521164,0.3120402991771698,0.4464869201183319,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.47635307908058167,0.733189046382904,1.0,0.2800750434398651,0.28587454557418823,0.6662389636039734,1.0,0.260541707277298,0.35020557045936584,0.3718377649784088,0.4739971458911896,0.22068053483963013
total,0.19850242137908936,0.18159881234169006,0.2879014015197754,0.29045331478118896,0.27068960666656494,0.22002770006656647,0.2987608015537262,0.27667245268821716,0.27068960666656494,0.11719238758087158,0.18781934678554535,0.1136968806385994,0.18924455344676971,0.14396025240421295
area,0.21965408325195312,0.29283958673477173,0.2143535614013672,0.3409860134124756,0.37834644317626953,0.31406089663505554,0.46885520219802856,0.33632898330688477,0.37834644317626953,0.15915891528129578,0.4801144301891327,0.2307427078485489,0.20941852033138275,0.12640461325645447
of,0.33290785551071167,0.4854315221309662,0.4178851246833801,1.0,0.733189046382904,0.18411119282245636,0.3057127296924591,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2852717339992523,0.3075267970561981,0.4185989499092102,0.1826142966747284
forest,0.15328429639339447,0.209678515791893,0.17225387692451477,0.2309139519929886,0.24134553968906403,0.282772958278656,0.3276755213737488,0.24136987328529358,0.24134553968906403,0.26471444964408875,0.16004255414009094,0.12550048530101776,0.20533806085586548,0.1214437186717987
lost,0.198215052485466,0.18998044729232788,0.17681948840618134,0.2878951132297516,0.3376973867416382,0.2791016399860382,0.2538301944732666,0.3167656362056732,0.3376973867416382,0.10585277527570724,0.10811768472194672,0.14100907742977142,0.2845156490802765,0.15261413156986237
in,0.30808621644973755,0.5394441485404968,0.41416558623313904,0.5696388483047485,0.6662389636039734,0.2415894865989685,0.22871792316436768,1.0,0.6662389636039734,0.12227833271026611,0.3524819314479828,0.3090210556983948,0.4322226941585541,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.47635307908058167,0.733189046382904,1.0,0.2800750434398651,0.28587454557418823,0.6662389636039734,1.0,0.260541707277298,0.35020557045936584,0.3718377649784088,0.4739971458911896,0.22068053483963013
amazon,0.16355936229228973,0.15197539329528809,0.19138962030410767,0.20143137872219086,0.260541707277298,0.12150149792432785,0.18616637587547302,0.12227833271026611,0.260541707277298,1.0000001192092896,0.18148772418498993,0.11720351874828339,0.165912926197052,0.18144656717777252
rose,0.13161541521549225,0.20399169623851776,0.10361509770154953,0.2557028830051422,0.28326278924942017,0.13167475163936615,0.20582105219364166,0.24995949864387512,0.28326278924942017,0.14034469425678253,0.17026542127132416,0.1184496060013771,0.09382632374763489,0.11847885698080063
from,0.2737620174884796,0.27355384826660156,0.28580769896507263,0.4249346852302551,0.40150508284568787,0.16847695410251617,0.21997374296188354,0.4274188280105591,0.40150508284568787,0.08236479759216309,0.2132602334022522,0.25821518898010254,0.314039945602417,0.19969791173934937
"415,000",0.1442546248435974,0.11638256162405014,0.2021932154893875,0.22733664512634277,0.2739603817462921,0.11468390375375748,0.19849719107151031,0.2128148376941681,0.2739603817462921,0.13109560310840607,0.12103277444839478,0.20406557619571686,0.14497600495815277,0.053169235587120056
