,what,was,the,harvard,endowment,total,in,2011,?
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.1871805340051651,0.19382479786872864,0.20137327909469604,0.5130809545516968,0.0850728452205658,0.25732165575027466
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2415156066417694,0.28945615887641907,0.14069223403930664,0.45514053106307983,-0.022202642634510994,0.18412111699581146
worth,0.319988876581192,0.20631952583789825,0.2137632668018341,0.0795808658003807,0.34659481048583984,0.22785727679729462,0.21340444684028625,-0.04157814383506775,0.3282513916492462
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.19535687565803528,0.49323704838752747,0.3233705759048462,0.21616753935813904,-0.049336839467287064,0.2786129117012024
32,-0.003086621640250087,0.05284477397799492,-0.06675421446561813,-0.011937052942812443,0.028823597356677055,-0.013454628176987171,-0.04161756858229637,-0.07080929726362228,0.04494665935635567
billion,0.262668639421463,0.18399004638195038,0.2162325382232666,0.21851566433906555,0.41007882356643677,0.3630574643611908,0.18475750088691711,0.02042212523519993,0.25791820883750916
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.26072487235069275,0.23720911145210266,0.27667245268821716,1.0,0.08290185779333115,0.20430970191955566
2011,0.04286744073033333,-0.022202642634510994,0.07811610400676727,-0.029918933287262917,0.02473759464919567,0.020701056346297264,0.08290185779333115,1.0,0.005212190095335245
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2719281017780304,0.2694043815135956,0.25815486907958984,0.5201468467712402,0.08851227909326553,0.31091248989105225
up,0.28591108322143555,0.24070115387439728,0.38423117995262146,0.15868650376796722,0.17855609953403473,0.23945732414722443,0.3120773434638977,0.07306738942861557,0.1819818764925003
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.2288978099822998,0.2223457396030426,0.14256314933300018,0.4274188280105591,0.035411104559898376,0.19969791173934937
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.19535687565803528,0.49323704838752747,0.3233705759048462,0.21616753935813904,-0.049336839467287064,0.2786129117012024
28,-0.2335955947637558,-0.2500663697719574,-0.31177106499671936,0.021879892796278,-0.2131730169057846,-0.09832330048084259,-0.27002766728401184,-0.032397493720054626,-0.012856917455792427
billion,0.262668639421463,0.18399004638195038,0.2162325382232666,0.21851566433906555,0.41007882356643677,0.3630574643611908,0.18475750088691711,0.02042212523519993,0.25791820883750916
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.26072487235069275,0.23720911145210266,0.27667245268821716,1.0,0.08290185779333115,0.20430970191955566
september,0.2153792530298233,0.4425655007362366,0.2516939043998718,0.1729520559310913,0.1453370600938797,0.16654647886753082,0.25402772426605225,-0.0178473349660635,0.2665146589279175
2010,0.2741409242153168,0.23825319111347198,0.31722962856292725,0.048086587339639664,0.11168663203716278,0.11782553791999817,0.2692960798740387,-0.012720898725092411,0.21232788264751434
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2453373372554779,0.28278791904449463,0.2520328164100647,0.4954058527946472,0.0998905599117279,0.20544172823429108
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.19535687565803528,0.49323704838752747,0.3233705759048462,0.21616753935813904,-0.049336839467287064,0.2786129117012024
26,0.052160754799842834,0.15403041243553162,0.11227777600288391,0.05234983563423157,0.04025227576494217,0.1228490099310875,0.06889026612043381,0.06756573915481567,-0.05200668424367905
billion,0.262668639421463,0.18399004638195038,0.2162325382232666,0.21851566433906555,0.41007882356643677,0.3630574643611908,0.18475750088691711,0.02042212523519993,0.25791820883750916
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.26072487235069275,0.23720911145210266,0.27667245268821716,1.0,0.08290185779333115,0.20430970191955566
2009,-0.2519478499889374,-0.17510849237442017,-0.23935742676258087,-0.2515944838523865,-0.2023056298494339,-0.22796113789081573,-0.28531888127326965,0.051074881106615067,-0.2287932187318802
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.254516065120697,0.29407718777656555,0.2295650690793991,0.5591574311256409,0.10024500638246536,0.4130953550338745
