,what,is,the,largest,denomination,within,the,wider,methodist,movement,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.26250898838043213,0.39827480912208557,1.0,0.3782990276813507,0.21922016143798828,0.339571475982666,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.2719666361808777,0.22201207280158997,0.24872973561286926,0.34367692470550537,0.17647941410541534,0.3283560872077942,0.15926331281661987,0.17266890406608582
methodist,0.17637217044830322,0.14683330059051514,0.21922016143798828,0.19862455129623413,0.5030563473701477,0.2349887490272522,0.21922016143798828,0.1638239622116089,1.0,0.28493544459342957,0.1436992734670639
church,0.1944202184677124,0.203276589512825,0.23846197128295898,0.1541421115398407,0.5308495759963989,0.17566072940826416,0.23846197128295898,0.14134392142295837,0.6119816899299622,0.2679787874221802,0.18081501126289368
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.22500525414943695,0.30135563015937805,0.5823672413825989,0.21796871721744537,0.14683330059051514,0.20353496074676514,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.26250898838043213,0.39827480912208557,1.0,0.3782990276813507,0.21922016143798828,0.339571475982666,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.2598181366920471,0.3014984726905823,0.3757036626338959,0.2649954855442047,0.19862455129623413,0.19604521989822388,0.12401245534420013
denomination,0.24481600522994995,0.22500525414943695,0.26250898838043213,0.2598181366920471,0.9999999403953552,0.3090544641017914,0.26250898838043213,0.20245876908302307,0.5030563473701477,0.2879265546798706,0.2643771171569824
within,0.2498195916414261,0.30135563015937805,0.39827480912208557,0.3014984726905823,0.3090544641017914,1.0,0.39827480912208557,0.28088808059692383,0.2349887490272522,0.20748914778232574,0.1870293766260147
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.26250898838043213,0.39827480912208557,1.0,0.3782990276813507,0.21922016143798828,0.339571475982666,0.22068053483963013
wider,0.33491194248199463,0.21796871721744537,0.3782990276813507,0.2649954855442047,0.20245876908302307,0.28088808059692383,0.3782990276813507,1.0,0.1638239622116089,0.2663455307483673,0.20532488822937012
methodist,0.17637217044830322,0.14683330059051514,0.21922016143798828,0.19862455129623413,0.5030563473701477,0.2349887490272522,0.21922016143798828,0.1638239622116089,1.0,0.28493544459342957,0.1436992734670639
movement,0.23934946954250336,0.20353496074676514,0.339571475982666,0.19604521989822388,0.2879265546798706,0.20748914778232574,0.339571475982666,0.2663455307483673,0.28493544459342957,1.0,0.1423349231481552
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.24402782320976257,0.2513136863708496,0.4933079481124878,0.22190336883068085,0.2960420250892639,0.1862073689699173,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.29749369621276855,0.26889747381210327,0.43539655208587646,0.6521818041801453,0.40928012132644653,0.16454297304153442,0.3471234440803528,0.25814583897590637
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.24081888794898987,0.20914292335510254,0.30466988682746887,0.4177538752555847,0.2218596488237381,0.18049748241901398,0.18491831421852112,0.15994466841220856
approximately,0.21610312163829803,0.2724578380584717,0.33137547969818115,0.3624786138534546,0.25681260228157043,0.3509974181652069,0.33137547969818115,0.2309335619211197,0.17998993396759033,0.12424909323453903,0.10237617790699005
80,0.04945533350110054,0.022314833477139473,0.003630283521488309,-0.013360295444726944,-0.032168153673410416,0.106166772544384,0.003630283521488309,-0.026187218725681305,-0.04945727437734604,-0.03731096163392067,0.04445207491517067
million,0.22197039425373077,0.19962359964847565,0.277012437582016,0.3343927264213562,0.3112316429615021,0.2028702050447464,0.277012437582016,0.20198674499988556,0.27891647815704346,0.16764035820960999,0.23092924058437347
adherents,0.32679039239883423,0.2195126861333847,0.1907312124967575,0.1604367196559906,0.41460537910461426,0.3269798159599304,0.1907312124967575,0.24436905980110168,0.3031953275203705,0.34057432413101196,0.24220485985279083
across,0.24809791147708893,0.21617691218852997,0.3816230297088623,0.2996161878108978,0.2152649462223053,0.34953370690345764,0.3816230297088623,0.4040767550468445,0.21349911391735077,0.23455151915550232,0.17034576833248138
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.26250898838043213,0.39827480912208557,1.0,0.3782990276813507,0.21922016143798828,0.339571475982666,0.22068053483963013
world,0.21669597923755646,0.24458536505699158,0.33604270219802856,0.344524085521698,0.18026265501976013,0.17563968896865845,0.33604270219802856,0.17631842195987701,0.09401881694793701,0.20576640963554382,0.17579582333564758
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.2725091278553009,0.2984525263309479,0.5934505462646484,0.2565799951553345,0.30669423937797546,0.22796523571014404,0.4130953550338745
