,after,an,eventful,and,tiring,year,for,the,world,during,1968,",",what,type,of,ending,to,the,year,did,the,images,from,space,provide,?
the,0.4565047025680542,0.4207492768764496,0.3177931606769562,0.5171257257461548,0.24484778940677643,0.3609684407711029,0.4739971458911896,1.0,0.33604270219802856,0.4838213622570038,0.07431387901306152,0.4933079481124878,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3726840615272522,0.535392165184021,1.0,0.3609684407711029,0.34736719727516174,1.0,0.22232814133167267,0.40150508284568787,0.24495907127857208,0.26373472809791565,0.22068053483963013
mission,0.1930197924375534,0.1624951809644699,0.12078305333852768,0.16932862997055054,0.14105452597141266,0.1476016789674759,0.18326549232006073,0.22673439979553223,0.14087341725826263,0.22419573366641998,0.0070488182827830315,0.21226151287555695,0.2317502647638321,0.1187060996890068,0.20170781016349792,0.21417883038520813,0.26700642704963684,0.22673439979553223,0.1476016789674759,0.1377914398908615,0.22673439979553223,0.1894988864660263,0.155157208442688,0.3416440784931183,0.199151873588562,0.19506393373012543
and,0.3765919506549835,0.2838519215583801,0.24733135104179382,1.0,0.2881718575954437,0.2506658732891083,0.5064792633056641,0.5171257257461548,0.3246132433414459,0.36462149024009705,0.06726996600627899,0.6633074283599854,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.23760265111923218,0.48971283435821533,0.5171257257461548,0.2506658732891083,0.34479495882987976,0.5171257257461548,0.1939600706100464,0.3601827025413513,0.22901733219623566,0.32960009574890137,0.20544172823429108
christmas,0.17694932222366333,0.12385418266057968,0.2461349219083786,0.1769854575395584,0.20030052959918976,0.2731500566005707,0.14492979645729065,0.2044597715139389,0.21443422138690948,0.1924842894077301,0.07366800308227539,0.2420792281627655,0.2578675448894501,0.07037824392318726,0.14198152720928192,0.23312664031982422,0.17153602838516235,0.2044597715139389,0.2731500566005707,0.17876142263412476,0.2044597715139389,0.20576319098472595,0.15571251511573792,0.1311686933040619,0.07920683175325394,0.23817040026187897
provided,0.15299078822135925,0.24971148371696472,0.1967276781797409,0.35591721534729004,0.1483520269393921,0.1731232851743698,0.38938868045806885,0.304488867521286,0.1935657262802124,0.18840329349040985,0.013130772858858109,0.27036961913108826,0.2206064909696579,0.20129922032356262,0.272808313369751,0.18266534805297852,0.28066325187683105,0.304488867521286,0.1731232851743698,0.2778315246105194,0.304488867521286,0.20674951374530792,0.22916625440120697,0.15958496928215027,0.7498367428779602,0.16893617808818817
an,0.20180045068264008,1.0,0.20115196704864502,0.2838519215583801,0.15716591477394104,0.17045794427394867,0.3236706852912903,0.4207492768764496,0.15716314315795898,0.21076080203056335,-0.07470530271530151,0.3581022024154663,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.1633552610874176,0.3138085603713989,0.4207492768764496,0.17045794427394867,0.22598257660865784,0.4207492768764496,0.11164950579404831,0.20876385271549225,0.19467206299304962,0.24505722522735596,0.19793890416622162
inspiring,0.22773107886314392,0.22733421623706818,0.32375314831733704,0.24866436421871185,0.5055329203605652,0.21678103506565094,0.3153974413871765,0.2629661560058594,0.2626621723175049,0.2837085425853729,-0.0013124345568940043,0.23031312227249146,0.2538295388221741,0.11487268656492233,0.2937183082103729,0.18820355832576752,0.2911841869354248,0.2629661560058594,0.21678103506565094,0.27855443954467773,0.2629661560058594,0.1942366659641266,0.20141318440437317,0.10713456571102142,0.23473051190376282,0.19693689048290253
end,0.34383532404899597,0.1506708711385727,0.25148385763168335,0.24708716571331024,0.21243038773536682,0.3135334253311157,0.22042374312877655,0.39658910036087036,0.23514898121356964,0.4166269898414612,-0.010014460422098637,0.25448864698410034,0.29234179854393005,0.16096603870391846,0.2215006798505783,0.5471429228782654,0.3229445815086365,0.39658910036087036,0.3135334253311157,0.18808481097221375,0.39658910036087036,0.09134171903133392,0.31609439849853516,0.12036696821451187,0.16981050372123718,0.12543344497680664
to,0.37890323996543884,0.3138085603713989,0.27395015954971313,0.48971283435821533,0.314354807138443,0.23523004353046417,0.4451248347759247,0.535392165184021,0.26213452219963074,0.2828781306743622,0.06488213688135147,0.44245919585227966,0.455847829580307,0.19930607080459595,0.41548454761505127,0.23115113377571106,1.0,0.535392165184021,0.23523004353046417,0.4452643394470215,0.535392165184021,0.2165423482656479,0.4069952368736267,0.22712917625904083,0.3479624092578888,0.29463258385658264
1968,-0.0035232221707701683,-0.07470530271530151,-0.06899536401033401,0.06726996600627899,-0.11460186541080475,-0.06641988456249237,0.04250431805849075,0.07431387901306152,0.07624384015798569,-0.008298451080918312,0.9999999403953552,0.07405266165733337,-0.07854823768138885,-0.07214672863483429,0.09872698038816452,-0.046509768813848495,0.06488213688135147,0.07431387901306152,-0.06641988456249237,-0.016806963831186295,0.07431387901306152,-0.02541275881230831,0.09268874675035477,0.02943902648985386,-0.04912504181265831,-0.08543776720762253
