,what,is,usual,form,of,oxygen,bound,compounds,?
due,0.15204688906669617,0.24065633118152618,0.3121339976787567,0.15926139056682587,0.2533245384693146,0.23325195908546448,0.18936701118946075,0.18850727379322052,0.10954997688531876
to,0.455847829580307,0.42745086550712585,0.2885439693927765,0.2772196829319,0.41548454761505127,0.24193501472473145,0.29917120933532715,0.29820382595062256,0.29463258385658264
its,0.30393704771995544,0.4447362422943115,0.24771748483181,0.2492789775133133,0.48690423369407654,0.23293741047382355,0.18461160361766815,0.23313990235328674,0.15103481709957123
electronegativity,0.27904632687568665,0.2637895345687866,0.2815006673336029,0.2779492139816284,0.2217739373445511,0.5212929844856262,0.2742410898208618,0.5408084988594055,0.200034037232399
",",0.3087472915649414,0.4691906273365021,0.27604877948760986,0.21805599331855774,0.4946078956127167,0.21812842786312103,0.2750377655029297,0.20700839161872864,0.31091248989105225
oxygen,0.16781960427761078,0.21825239062309265,0.22823767364025116,0.22106200456619263,0.16848602890968323,0.9999999403953552,0.17269660532474518,0.514471173286438,0.16786395013332367
forms,0.16334041953086853,0.35419854521751404,0.23923176527023315,0.6824371218681335,0.33835989236831665,0.21243564784526825,0.24203498661518097,0.3118983805179596,0.1196754202246666
chemical,0.26249468326568604,0.2387559562921524,0.2007356733083725,0.16953223943710327,0.22874756157398224,0.46001601219177246,0.1508573591709137,0.7057791352272034,0.2040288895368576
bonds,0.16189642250537872,0.2026764154434204,0.1459275633096695,0.33417484164237976,0.1858377605676651,0.3768948018550873,0.3431350886821747,0.4651264548301697,0.12427790462970734
with,0.2464839518070221,0.3250955045223236,0.2893120050430298,0.29348593950271606,0.41827285289764404,0.200663760304451,0.23389144241809845,0.23910129070281982,0.2433311939239502
almost,0.2467888444662094,0.29784226417541504,0.3190227150917053,0.2598845958709717,0.3144364058971405,0.17669527232646942,0.1821524202823639,0.18306800723075867,0.1372147500514984
all,0.41981086134910583,0.2553904056549072,0.32444578409194946,0.2039855718612671,0.42798417806625366,0.22770634293556213,0.28626319766044617,0.26393139362335205,0.29575422406196594
other,0.341873437166214,0.25895947217941284,0.37853166460990906,0.2616437077522278,0.38583824038505554,0.2354368269443512,0.2603670358657837,0.3425661325454712,0.24682199954986572
elements,0.2152351289987564,0.25405067205429077,0.2245457023382187,0.29706767201423645,0.23613712191581726,0.32853466272354126,0.1471530944108963,0.45408159494400024,0.15222592651844025
to,0.455847829580307,0.42745086550712585,0.2885439693927765,0.2772196829319,0.41548454761505127,0.24193501472473145,0.29917120933532715,0.29820382595062256,0.29463258385658264
give,0.32935357093811035,0.25632646679878235,0.3209930956363678,0.2498747855424881,0.33489471673965454,0.21485719084739685,0.14038465917110443,0.2550397515296936,0.2985610067844391
corresponding,0.2633531987667084,0.32080236077308655,0.31830886006355286,0.29454463720321655,0.3214208483695984,0.2772413194179535,0.2418074607849121,0.3172273635864258,0.21760094165802002
oxides,0.1899927854537964,0.2404932975769043,0.2010902464389801,0.1929810792207718,0.19486629962921143,0.6094407439231873,0.1665639728307724,0.7078349590301514,0.18569931387901306
.,0.3567904531955719,0.4569662809371948,0.27288782596588135,0.28317511081695557,0.5352458953857422,0.2554275095462799,0.2447955310344696,0.23886778950691223,0.4130953550338745
