,what,is,the,main,component,of,the,aboral,organ,?
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.272861510515213,0.3114250600337982,0.48690423369407654,0.559237003326416,0.13150325417518616,0.11465282738208771,0.15103481709957123
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,1.0000001192092896,0.2556306719779968,0.3177044689655304,0.38631999492645264,0.09454864263534546,0.10013911128044128,0.1665669083595276
component,0.19980107247829437,0.327473908662796,0.3172481954097748,0.2556306719779968,1.0,0.30378368496894836,0.3172481954097748,0.1711355447769165,0.2533480226993561,0.14409896731376648
is,0.28837618231773376,1.0,0.5823672413825989,0.3009335994720459,0.327473908662796,0.4854315221309662,0.5823672413825989,0.1954440027475357,0.15513595938682556,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.27217230200767517,0.3017847537994385,0.5052502155303955,0.5829201340675354,0.17822478711605072,0.21340829133987427,0.23916715383529663
statocyst,0.2704133987426758,0.2843655049800873,0.30905142426490784,0.18977458775043488,0.4436861276626587,0.25228452682495117,0.30905142426490784,0.23776273429393768,0.3316991627216339,0.24412000179290771
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.1739291101694107,0.4946078956127167,0.4933079481124878,0.2603401839733124,0.19589580595493317,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.27217230200767517,0.3017847537994385,0.5052502155303955,0.5829201340675354,0.17822478711605072,0.21340829133987427,0.23916715383529663
balance,0.25451838970184326,0.25354740023612976,0.2858610153198242,0.20819692313671112,0.31052166223526,0.2267034351825714,0.2858610153198242,0.19399765133857727,0.1892983764410019,0.2381676584482193
sensor,0.2129664123058319,0.16153326630592346,0.20802311599254608,0.1288495510816574,0.36306703090667725,0.1473238617181778,0.20802311599254608,0.18147283792495728,0.26894521713256836,0.12371891736984253
consisting,0.12705351412296295,0.33188143372535706,0.33371514081954956,0.26310330629348755,0.3029448986053467,0.40096408128738403,0.33371514081954956,0.13265395164489746,0.25005194544792175,0.006223649252206087
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3177044689655304,0.30378368496894836,1.0,0.733189046382904,0.27554333209991455,0.22419366240501404,0.1826142966747284
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.27217230200767517,0.3017847537994385,0.5052502155303955,0.5829201340675354,0.17822478711605072,0.21340829133987427,0.23916715383529663
statolith,0.26140064001083374,0.24224597215652466,0.364490807056427,0.17746424674987793,0.25370490550994873,0.29433849453926086,0.364490807056427,0.214546799659729,0.16183416545391083,0.1501501202583313
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.1739291101694107,0.4946078956127167,0.4933079481124878,0.2603401839733124,0.19589580595493317,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.27217230200767517,0.3017847537994385,0.5052502155303955,0.5829201340675354,0.17822478711605072,0.21340829133987427,0.23916715383529663
solid,0.2455693930387497,0.22751952707767487,0.21678750216960907,0.19785736501216888,0.26516982913017273,0.23000986874103546,0.21678750216960907,0.19261638820171356,0.11936098337173462,0.2297065705060959
particle,0.31278425455093384,0.26882052421569824,0.2507205605506897,0.14738212525844574,0.37875473499298096,0.2452378273010254,0.2507205605506897,0.22264204919338226,0.1915469616651535,0.22597293555736542
supported,0.16402992606163025,0.1375114768743515,0.27276676893234253,0.17807309329509735,0.18978646397590637,0.30414751172065735,0.27276676893234253,0.21424299478530884,0.15007701516151428,0.11593948304653168
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.2898236811161041,0.21081379055976868,0.3966929316520691,0.5107308030128479,0.2489093691110611,0.17500002682209015,0.2714994251728058
four,0.18057085573673248,0.22331103682518005,0.40344667434692383,0.22894445061683655,0.13811728358268738,0.36293646693229675,0.40344667434692383,0.10688743740320206,0.16431516408920288,0.14532537758350372
bundles,0.2000209242105484,0.13724665343761444,0.24538308382034302,0.1319572627544403,0.2475193440914154,0.21540015935897827,0.24538308382034302,0.16854797303676605,0.26471778750419617,0.13219405710697174
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3177044689655304,0.30378368496894836,1.0,0.733189046382904,0.27554333209991455,0.22419366240501404,0.1826142966747284
