,what,was,the,eventual,final,goal,of,the,apollo,projects,?
possible,0.3281886577606201,0.19756397604942322,0.32701125741004944,0.2967866063117981,0.1825757622718811,0.2771828770637512,0.3314395844936371,0.32701125741004944,0.20518989861011505,0.30022895336151123,0.3059970438480377
missions,0.21898438036441803,0.1960911750793457,0.26288601756095886,0.20459459722042084,0.1626800149679184,0.2948288023471832,0.2598918080329895,0.26288601756095886,0.3512161374092102,0.4208548963069916,0.21422071754932404
included,0.2288810908794403,0.3148443400859833,0.3825419843196869,0.21619395911693573,0.23677872121334076,0.13166886568069458,0.4391688108444214,0.3825419843196869,0.12437957525253296,0.24837104976177216,0.14385655522346497
ferrying,0.2525098919868469,0.2344929277896881,0.2753656804561615,0.16697455942630768,0.12427810579538345,0.17247678339481354,0.27204087376594543,0.2753656804561615,0.2396451234817505,0.18522846698760986,0.21514204144477844
crews,0.14378176629543304,0.20854081213474274,0.19271017611026764,0.1548757255077362,0.15778060257434845,0.12737824022769928,0.14748889207839966,0.19271017611026764,0.28991374373435974,0.24777014553546906,0.11821021884679794
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.37297776341438293,0.26099109649658203,0.37094977498054504,0.41548454761505127,0.535392165184021,0.23190522193908691,0.3065624237060547,0.29463258385658264
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.25237640738487244,0.24625235795974731,0.20853768289089203,0.5052502155303955,0.5829201340675354,0.19996169209480286,0.21870890259742737,0.23916715383529663
space,0.20525942742824554,0.14677780866622925,0.24495907127857208,0.14403939247131348,0.16433416306972504,0.22680190205574036,0.21300287544727325,0.24495907127857208,0.3076713979244232,0.28304848074913025,0.1885536164045334
station,0.1613752841949463,0.18833480775356293,0.23609806597232819,0.06498098373413086,0.14271579682826996,0.1752537339925766,0.17394597828388214,0.23609806597232819,0.1934690922498703,0.23134557902812958,0.12574981153011322
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23991858959197998,0.24864837527275085,0.2145523726940155,0.4946078956127167,0.4933079481124878,0.19808128476142883,0.2649989724159241,0.31091248989105225
circumlunar,0.3662795424461365,0.2522297203540802,0.39635443687438965,0.23241262137889862,0.23065415024757385,0.18441948294639587,0.3497810661792755,0.39635443687438965,0.4088497757911682,0.30622559785842896,0.27601030468940735
flights,0.17598165571689606,0.17491722106933594,0.25325238704681396,0.0946442112326622,0.1896352469921112,0.17209814488887787,0.1994985193014145,0.25325238704681396,0.2823284864425659,0.29616686701774597,0.1590299755334854
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23991858959197998,0.24864837527275085,0.2145523726940155,0.4946078956127167,0.4933079481124878,0.19808128476142883,0.2649989724159241,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.30223146080970764,0.2635152339935303,0.20885969698429108,0.5116966962814331,0.5171257257461548,0.15251155197620392,0.3284114897251129,0.20544172823429108
eventual,0.24209775030612946,0.29995083808898926,0.40338146686553955,1.0,0.37068337202072144,0.26368051767349243,0.3464183211326599,0.40338146686553955,0.12230876088142395,0.2417389303445816,0.13254497945308685
manned,0.16094419360160828,0.24339483678340912,0.2392944097518921,0.16893935203552246,0.20699436962604523,0.20555347204208374,0.17604194581508636,0.2392944097518921,0.5195745825767517,0.26294729113578796,0.17514055967330933
lunar,0.18274477124214172,0.17547959089279175,0.23309995234012604,0.165505513548851,0.1725466549396515,0.16039052605628967,0.204553484916687,0.23309995234012604,0.48109763860702515,0.19228288531303406,0.1628302037715912
landings,0.16291393339633942,0.1934853494167328,0.26410871744155884,0.1904883086681366,0.25776025652885437,0.1703619509935379,0.2141752690076828,0.26410871744155884,0.3129429221153259,0.20515605807304382,0.09511345624923706
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26022008061408997,0.24325628578662872,0.19919876754283905,0.5352458953857422,0.5934505462646484,0.22384987771511078,0.2564103305339813,0.4130953550338745
