,what,part,of,the,earth,'s,geological,structure,is,larger,than,the,crust,?
the,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.2813860774040222,0.2933249771595001,0.5823672413825989,0.378620445728302,0.3227543234825134,1.0,0.22538691759109497,0.22068053483963013
earth,0.25883176922798157,0.16151063144207,0.2329314798116684,0.2801888585090637,1.0,0.0661235973238945,0.3650486469268799,0.20828722417354584,0.26888176798820496,0.14595924317836761,0.2436409294605255,0.2801888585090637,0.52252197265625,0.17717236280441284
's,0.02692362666130066,0.007562864106148481,-0.03817026689648628,-0.01540423184633255,0.0661235973238945,0.9999999403953552,-0.015327246859669685,-0.016846615821123123,0.02396530658006668,0.06408897042274475,0.0585811510682106,-0.01540423184633255,-0.01568504609167576,-0.023395681753754616
mantle,0.20894600450992584,0.17391248047351837,0.19364143908023834,0.24731530249118805,0.4542229175567627,-0.043731871992349625,0.3455269932746887,0.2951771318912506,0.21450211107730865,0.2362106889486313,0.17005960643291473,0.24731530249118805,0.5828907489776611,0.16224074363708496
",",0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.23186853528022766,-0.0016132977325469255,0.1997290551662445,0.20300157368183136,0.4691906273365021,0.2491181194782257,0.3371901512145996,0.4933079481124878,0.2004449963569641,0.31091248989105225
of,0.33290785551071167,0.452393114566803,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.3277883529663086,0.2599511742591858,0.4854315221309662,0.32469573616981506,0.33036211133003235,0.733189046382904,0.21774794161319733,0.1826142966747284
much,0.45316147804260254,0.3357490599155426,0.2671096920967102,0.35023224353790283,0.23964592814445496,0.06731651723384857,0.19697730243206024,0.28896164894104004,0.3156087100505829,0.4501052498817444,0.632695198059082,0.35023224353790283,0.2817700505256653,0.23442231118679047
larger,0.23663538694381714,0.34327030181884766,0.32469573616981506,0.378620445728302,0.14595924317836761,0.06408897042274475,0.2179463505744934,0.3159756362438202,0.24218857288360596,1.0000001192092896,0.5064740180969238,0.378620445728302,0.2716044485569,0.1602165699005127
mass,0.23905135691165924,0.20446710288524628,0.26915112137794495,0.2284930944442749,0.23690102994441986,0.022538112476468086,0.17740723490715027,0.1827351450920105,0.21063528954982758,0.2672059237957001,0.2647872567176819,0.2284930944442749,0.25962385535240173,0.2076406031847
than,0.29388150572776794,0.22591069340705872,0.33036211133003235,0.3227543234825134,0.2436409294605255,0.0585811510682106,0.19520682096481323,0.24957376718521118,0.2839990258216858,0.5064740180969238,1.0,0.3227543234825134,0.27321526408195496,0.24917294085025787
the,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.2813860774040222,0.2933249771595001,0.5823672413825989,0.378620445728302,0.3227543234825134,1.0,0.22538691759109497,0.22068053483963013
crust,0.22092486917972565,0.22978553175926208,0.21774794161319733,0.22538691759109497,0.52252197265625,-0.01568504609167576,0.433437317609787,0.2975677251815796,0.2493407428264618,0.2716044485569,0.27321526408195496,0.22538691759109497,1.0000001192092896,0.1887258142232895
",",0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.23186853528022766,-0.0016132977325469255,0.1997290551662445,0.20300157368183136,0.4691906273365021,0.2491181194782257,0.3371901512145996,0.4933079481124878,0.2004449963569641,0.31091248989105225
is,0.28837618231773376,0.4582172930240631,0.4854315221309662,0.5823672413825989,0.26888176798820496,0.02396530658006668,0.19911125302314758,0.26677995920181274,1.0,0.24218857288360596,0.2839990258216858,0.5823672413825989,0.2493407428264618,0.22961433231830597
largely,0.25660550594329834,0.30427253246307373,0.3087159991264343,0.34641584753990173,0.16671840846538544,0.09165722876787186,0.2362416833639145,0.27198219299316406,0.27936726808547974,0.3354247212409973,0.20917415618896484,0.34641584753990173,0.2543625831604004,0.08185246586799622
composed,0.14231626689434052,0.2828750014305115,0.29509663581848145,0.21816956996917725,0.17983998358249664,-0.00410611554980278,0.22028347849845886,0.23551924526691437,0.18838012218475342,0.19689087569713593,0.17220793664455414,0.21816956996917725,0.211540088057518,0.0784355029463768
