,which,entities,have,powers,of,amendment,and,veto,during,the,legislative,process,?
while,0.38669952750205994,0.1757388859987259,0.3577405512332916,0.19988928735256195,0.3366928696632385,0.19177912175655365,0.45699796080589294,0.19337810575962067,0.3849048316478729,0.39804592728614807,0.14045105874538422,0.3098815083503723,0.21076419949531555
the,0.6521818041801453,0.2298012375831604,0.40389683842658997,0.25233519077301025,0.733189046382904,0.276956170797348,0.5171257257461548,0.25482627749443054,0.4838213622570038,1.0,0.27501925826072693,0.264274537563324,0.22068053483963013
commission,0.25648555159568787,0.23780792951583862,0.1714901328086853,0.2337777465581894,0.2698368728160858,0.28921258449554443,0.21015366911888123,0.24188119173049927,0.23919175565242767,0.24418850243091583,0.3781234920024872,0.274989515542984,0.16231559216976166
has,0.4350704550743103,0.2231403887271881,0.6353569626808167,0.1980433315038681,0.3909035325050354,0.14685845375061035,0.43716782331466675,0.1586616188287735,0.23098520934581757,0.4177538752555847,0.14951680600643158,0.17192330956459045,0.15994466841220856
a,0.56894451379776,0.2339533120393753,0.338716596364975,0.17258815467357635,0.5052502155303955,0.18196852505207062,0.3739250600337982,0.16522058844566345,0.30341604351997375,0.5829201340675354,0.23537522554397583,0.2601566016674042,0.23916715383529663
monopoly,0.2630988359451294,0.31751465797424316,0.24284563958644867,0.3026399612426758,0.23683126270771027,0.25529780983924866,0.21548062562942505,0.3260825574398041,0.10368543863296509,0.21333852410316467,0.25248974561691284,0.2382216602563858,0.1011270210146904
on,0.4245251417160034,0.14887413382530212,0.36494916677474976,0.15752583742141724,0.3966929316520691,0.20919835567474365,0.4077630043029785,0.1918436735868454,0.3347817361354828,0.5107308030128479,0.16444751620292664,0.19009415805339813,0.2714994251728058
initiating,0.3593659996986389,0.28852468729019165,0.27943477034568787,0.22375023365020752,0.3090760409832001,0.18365074694156647,0.2922993302345276,0.22978129982948303,0.36849886178970337,0.33843520283699036,0.28056737780570984,0.39232420921325684,0.19326087832450867
legislation,0.3041580617427826,0.33310994505882263,0.23653626441955566,0.35479438304901123,0.3114430606365204,0.5815715193748474,0.2457927167415619,0.5106863975524902,0.22447599470615387,0.2839483618736267,0.8590786457061768,0.30774781107902527,0.21123437583446503
",",0.3658004403114319,0.2422296404838562,0.3541618287563324,0.24735067784786224,0.4946078956127167,0.17331579327583313,0.6633074283599854,0.2485281080007553,0.3225448727607727,0.4933079481124878,0.24434074759483337,0.2061346471309662,0.31091248989105225
