,when,was,this,naturalization,act,passed,?
both,0.435994029045105,0.2990766167640686,0.3937772214412689,0.18576331436634064,0.24014775454998016,0.24185626208782196,0.19455738365650177
before,0.5650408267974854,0.38607707619667053,0.39637717604637146,0.18165703117847443,0.17840589582920074,0.30122360587120056,0.2507109045982361
and,0.4716290831565857,0.3740963041782379,0.42353692650794983,0.263049840927124,0.2776535749435425,0.2603820264339447,0.20544172823429108
after,0.5331412553787231,0.49306565523147583,0.3357301354408264,0.15088169276714325,0.16005510091781616,0.2713231146335602,0.16608688235282898
the,0.5091903209686279,0.48711544275283813,0.6274310946464539,0.2534526288509369,0.28682878613471985,0.3173406720161438,0.22068053483963013
1708,0.16097944974899292,0.08826171606779099,0.14415961503982544,0.21155288815498352,0.05528712645173073,0.08439893275499344,0.1984906941652298
passage,0.25576460361480713,0.1789361983537674,0.3184349238872528,0.23586951196193695,0.2916710674762726,0.4291257858276367,0.11149881780147552
of,0.3757161796092987,0.4069072902202606,0.45148900151252747,0.29426905512809753,0.2802577316761017,0.2703755795955658,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.6274310946464539,0.2534526288509369,0.28682878613471985,0.3173406720161438,0.22068053483963013
foreign,0.23193815350532532,0.18690811097621918,0.23326793313026428,0.31719234585762024,0.13072073459625244,0.22720123827457428,0.13770383596420288
protestants,0.1754545420408249,0.2280297428369522,0.2522323429584503,0.24777114391326904,0.20849768817424774,0.26333293318748474,0.15855816006660461
naturalization,0.2502739727497101,0.16589462757110596,0.29877540469169617,0.9999999403953552,0.29276666045188904,0.23175767064094543,0.24616435170173645
act,0.22280360758304596,0.1887621134519577,0.2470771074295044,0.29276666045188904,1.0,0.4205443859100342,0.1482519507408142
",",0.36674630641937256,0.45456063747406006,0.4316047728061676,0.27323365211486816,0.1787904053926468,0.23382075130939484,0.31091248989105225
an,0.33026179671287537,0.3694365322589874,0.41881775856018066,0.24531161785125732,0.20058928430080414,0.22781316936016083,0.19793890416622162
estimated,0.15348517894744873,0.2472851723432541,0.25014832615852356,0.20086804032325745,0.08005402982234955,0.14734168350696564,0.18149758875370026
"50,000",0.050442539155483246,-0.10689222812652588,0.15787415206432343,0.14368073642253876,0.11413973569869995,0.044078584760427475,0.02804366871714592
protestant,0.17039497196674347,0.25246119499206543,0.24984940886497498,0.2553325295448303,0.1610124707221985,0.22694464027881622,0.14798137545585632
walloons,0.2131659984588623,0.15636710822582245,0.19914822280406952,0.18143942952156067,0.11101511120796204,0.1063612848520279,0.1857677847146988
and,0.4716290831565857,0.3740963041782379,0.42353692650794983,0.263049840927124,0.2776535749435425,0.2603820264339447,0.20544172823429108
huguenots,0.21745723485946655,0.20650696754455566,0.2504573166370392,0.3170968294143677,0.24704232811927795,0.24583852291107178,0.16010338068008423
fled,0.2553989887237549,0.30835461616516113,0.1604461669921875,0.22378462553024292,0.125944584608078,0.3015842139720917,0.13968057930469513
to,0.5423505902290344,0.3636345863342285,0.5759071707725525,0.2224201112985611,0.24833928048610687,0.26747700572013855,0.29463258385658264
england,0.26359328627586365,0.2656741440296173,0.25592857599258423,0.22818753123283386,0.26710808277130127,0.1550590991973877,0.13436897099018097
",",0.36674630641937256,0.45456063747406006,0.4316047728061676,0.27323365211486816,0.1787904053926468,0.23382075130939484,0.31091248989105225
with,0.5075214505195618,0.27411898970603943,0.36358317732810974,0.16307920217514038,0.18591532111167908,0.1990165412425995,0.2433311939239502
many,0.36563900113105774,0.260356068611145,0.43532639741897583,0.2979596257209778,0.2125060111284256,0.16953809559345245,0.2124512493610382
moving,0.375427782535553,0.1652146279811859,0.3160440921783447,0.2743183970451355,0.21508873999118805,0.2713019549846649,0.21667467057704926
on,0.37706470489501953,0.3909217119216919,0.4193967580795288,0.1718561053276062,0.17222115397453308,0.19424374401569366,0.2714994251728058
to,0.5423505902290344,0.3636345863342285,0.5759071707725525,0.2224201112985611,0.24833928048610687,0.26747700572013855,0.29463258385658264
ireland,0.17813114821910858,0.23053917288780212,0.2142292857170105,0.18059976398944855,0.24175502359867096,0.17015938460826874,0.10685748606920242
and,0.4716290831565857,0.3740963041782379,0.42353692650794983,0.263049840927124,0.2776535749435425,0.2603820264339447,0.20544172823429108
elsewhere,0.27658000588417053,0.2300332635641098,0.3574780225753784,0.2749857008457184,0.25732436776161194,0.24691371619701385,0.33915433287620544
.,0.475719153881073,0.40146201848983765,0.500583827495575,0.28576236963272095,0.2025400698184967,0.23110949993133545,0.4130953550338745
