,according,to,the,riemann,hypothesis,",",all,zeroes,of,the,ζ-function,have,real,part,equal,to,1/2,except,for,what,values,of,s,?
the,0.3202974498271942,0.535392165184021,1.0,0.22838398814201355,0.2221619188785553,0.4933079481124878,0.4860881567001343,0.26670578122138977,0.733189046382904,1.0,0.2709183692932129,0.40389683842658997,0.19885718822479248,0.527681291103363,0.21154357492923737,0.535392165184021,0.08184071630239487,0.31242886185646057,0.4739971458911896,0.42745697498321533,0.23992402851581573,0.733189046382904,0.46610721945762634,0.22068053483963013
unproven,0.1235460713505745,0.25183790922164917,0.161139115691185,0.3220384120941162,0.3651224970817566,0.20668749511241913,0.24101611971855164,0.24557024240493774,0.16485989093780518,0.161139115691185,0.3402939736843109,0.3740219175815582,0.2099490910768509,0.06977930665016174,0.13642096519470215,0.25183790922164917,0.06648807972669601,0.17022515833377838,0.2593234181404114,0.34358012676239014,0.20403863489627838,0.16485989093780518,0.1805647909641266,0.29078683257102966
riemann,0.18049699068069458,0.24055254459381104,0.22838398814201355,1.0,0.4592725336551666,0.260956346988678,0.1885560303926468,0.30931445956230164,0.25200456380844116,0.22838398814201355,0.3528326153755188,0.22323133051395416,0.25375446677207947,0.22493690252304077,0.22872264683246613,0.24055254459381104,0.04347603768110275,0.1391153633594513,0.20640519261360168,0.27023857831954956,0.33595454692840576,0.25200456380844116,0.21255996823310852,0.1997363567352295
hypothesis,0.1804102063179016,0.22394606471061707,0.2221619188785553,0.4592725336551666,1.0,0.15448060631752014,0.17662912607192993,0.20815595984458923,0.18608006834983826,0.2221619188785553,0.332475870847702,0.26380831003189087,0.18907780945301056,0.12816500663757324,0.19134779274463654,0.22394606471061707,-0.07296153157949448,0.051037609577178955,0.19596698880195618,0.32678523659706116,0.27351951599121094,0.18608006834983826,0.14783254265785217,0.20027662813663483
",",0.3107093870639801,0.44245919585227966,0.4933079481124878,0.260956346988678,0.15448060631752014,1.0000001192092896,0.425624817609787,0.22604452073574066,0.4946078956127167,0.4933079481124878,0.20931386947631836,0.3541618287563324,0.2110464870929718,0.3376222252845764,0.2120320051908493,0.44245919585227966,0.12903504073619843,0.3071746826171875,0.4464869201183319,0.3087472915649414,0.24435195326805115,0.4946078956127167,0.361433744430542,0.31091248989105225
dating,0.17914895713329315,0.17611581087112427,0.23401090502738953,0.23553131520748138,0.14564727246761322,0.2450258880853653,0.16599756479263306,0.09859701991081238,0.2134421318769455,0.23401090502738953,0.1424589902162552,0.252057284116745,0.11593589931726456,0.10888926684856415,0.05049389973282814,0.17611581087112427,0.04033694788813591,0.15747672319412231,0.20495396852493286,0.19090399146080017,0.09816738218069077,0.2134421318769455,0.11251002550125122,0.1135709211230278
from,0.24556046724319458,0.4069952368736267,0.40150508284568787,0.15205073356628418,0.08770541846752167,0.39760664105415344,0.2866387963294983,0.1251218616962433,0.4249346852302551,0.40150508284568787,0.1725635677576065,0.30702701210975647,0.15691350400447845,0.31841611862182617,0.18358252942562103,0.4069952368736267,0.0296705961227417,0.17070691287517548,0.314039945602417,0.2737620174884796,0.15263591706752777,0.4249346852302551,0.3071970045566559,0.19969791173934937
1859,0.11164186149835587,-0.025724442675709724,0.012682649306952953,-0.05368126928806305,0.0010036301100626588,0.14516553282737732,0.1109517440199852,0.018324539065361023,-0.005544272251427174,0.012682649306952953,-0.08007004112005234,0.0664462149143219,0.11732393503189087,-0.01564054749906063,-0.06475503742694855,-0.025724442675709724,-0.06717383116483688,0.10257751494646072,0.10683739930391312,0.012366089969873428,0.029406189918518066,-0.005544272251427174,0.042309846729040146,0.08665214478969574
",",0.3107093870639801,0.44245919585227966,0.4933079481124878,0.260956346988678,0.15448060631752014,1.0000001192092896,0.425624817609787,0.22604452073574066,0.4946078956127167,0.4933079481124878,0.20931386947631836,0.3541618287563324,0.2110464870929718,0.3376222252845764,0.2120320051908493,0.44245919585227966,0.12903504073619843,0.3071746826171875,0.4464869201183319,0.3087472915649414,0.24435195326805115,0.4946078956127167,0.361433744430542,0.31091248989105225
states,0.2622531056404114,0.2828785181045532,0.3463578522205353,0.13656620681285858,0.1534101366996765,0.3315127193927765,0.22727420926094055,0.17950814962387085,0.30884552001953125,0.3463578522205353,0.15271461009979248,0.20162390172481537,0.1396622657775879,0.23451218008995056,0.2443864941596985,0.2828785181045532,0.2392173409461975,0.17991609871387482,0.2496437132358551,0.21526020765304565,0.231962189078331,0.30884552001953125,0.3174673616886139,0.16272737085819244
that,0.29146862030029297,0.5436353087425232,0.5473989248275757,0.2777266800403595,0.3562784492969513,0.4137537479400635,0.53305584192276,0.3060011863708496,0.41498205065727234,0.5473989248275757,0.3235684633255005,0.6182622313499451,0.31668397784233093,0.37747326493263245,0.32840782403945923,0.5436353087425232,-0.021973928436636925,0.31196343898773193,0.4137635827064514,0.6297725439071655,0.3192267119884491,0.41498205065727234,0.36097484827041626,0.32716336846351624
except,0.15979187190532684,0.23187223076820374,0.31242886185646057,0.1391153633594513,0.051037609577178955,0.3071746826171875,0.46780258417129517,0.2488509863615036,0.2851351797580719,0.31242886185646057,0.2190835177898407,0.3662084937095642,0.09816724061965942,0.3128002882003784,0.19548706710338593,0.23187223076820374,0.07318092882633209,1.0,0.2858213484287262,0.2278055101633072,0.21427562832832336,0.2851351797580719,0.22377848625183105,0.16405975818634033
for,0.1956551969051361,0.4451248347759247,0.4739971458911896,0.20640519261360168,0.19596698880195618,0.4464869201183319,0.41144001483917236,0.23893891274929047,0.4185989499092102,0.4739971458911896,0.2703208327293396,0.41175219416618347,0.2462109625339508,0.250704288482666,0.24821323156356812,0.4451248347759247,0.15690995752811432,0.2858213484287262,0.9999999403953552,0.3017193675041199,0.2713778018951416,0.4185989499092102,0.29884564876556396,0.264628142118454
