,what,is,a,major,importance,of,southern,california,in,relation,to,california,and,the,united,states,?
southern,0.18679563701152802,0.2419366091489792,0.25843560695648193,0.15392079949378967,0.13058792054653168,0.31933003664016724,1.0,0.2983402609825134,0.3190481662750244,0.12355846911668777,0.18284058570861816,0.2983402609825134,0.24232792854309082,0.3282862603664398,0.2923206686973572,0.29004350304603577,0.11225555837154388
california,0.1811584085226059,0.20727038383483887,0.2426064908504486,0.1549016237258911,0.11107098311185837,0.24929828941822052,0.2983402609825134,1.0,0.2772824168205261,0.1106390729546547,0.20697450637817383,1.0,0.2441616654396057,0.2750805914402008,0.33969607949256897,0.3858724534511566,0.1409905105829239
is,0.28837618231773376,1.0,0.658733606338501,0.19079607725143433,0.2766280770301819,0.4854315221309662,0.2419366091489792,0.20727038383483887,0.5394441485404968,0.2880297899246216,0.42745086550712585,0.20727038383483887,0.3859752118587494,0.5823672413825989,0.22408509254455566,0.21939043700695038,0.22961433231830597
a,0.3320399522781372,0.658733606338501,1.0,0.22990699112415314,0.24237868189811707,0.5052502155303955,0.25843560695648193,0.2426064908504486,0.539380669593811,0.3077252209186554,0.45503583550453186,0.2426064908504486,0.3739250600337982,0.5829201340675354,0.2732578217983246,0.24708621203899384,0.23916715383529663
major,0.21026742458343506,0.19079607725143433,0.22990699112415314,0.9999998807907104,0.26845940947532654,0.2641255557537079,0.15392079949378967,0.1549016237258911,0.3249945342540741,0.17001867294311523,0.19240309298038483,0.1549016237258911,0.29795366525650024,0.31775903701782227,0.24764922261238098,0.20306000113487244,0.19788557291030884
economic,0.18082544207572937,0.21102669835090637,0.2234611213207245,0.23579595983028412,0.37878724932670593,0.3030148148536682,0.20292389392852783,0.10441574454307556,0.22027181088924408,0.29781022667884827,0.26856908202171326,0.10441574454307556,0.2707010805606842,0.282455176115036,0.21480794250965118,0.18787707388401031,0.1206481084227562
center,0.1908310204744339,0.24782158434391022,0.2640431225299835,0.24597682058811188,0.23351998627185822,0.24526838958263397,0.24712294340133667,0.21444468200206757,0.27253323793411255,0.17535953223705292,0.17764393985271454,0.21444468200206757,0.28670641779899597,0.29064592719078064,0.22856438159942627,0.23873774707317352,0.12538520991802216
for,0.3017193675041199,0.43268078565597534,0.44038116931915283,0.23592928051948547,0.30082738399505615,0.4185989499092102,0.14496514201164246,0.23038740456104279,0.4322226941585541,0.19901341199874878,0.4451248347759247,0.23038740456104279,0.5064792633056641,0.4739971458911896,0.30487096309661865,0.2496437132358551,0.264628142118454
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.31775903701782227,0.2901651859283447,0.733189046382904,0.3282862603664398,0.2750805914402008,0.6662389636039734,0.2734622061252594,0.535392165184021,0.2750805914402008,0.5171257257461548,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
state,0.24273863434791565,0.2627358138561249,0.25097307562828064,0.1592228263616562,0.1697271764278412,0.34253445267677307,0.2978775203227997,0.3314559757709503,0.33316072821617126,0.15051786601543427,0.25557461380958557,0.3314559757709503,0.2653750479221344,0.3097178041934967,0.3713562488555908,0.5370627045631409,0.1160883978009224
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.2641255557537079,0.30354931950569153,1.0,0.31933003664016724,0.24929828941822052,0.5696388483047485,0.29761821031570435,0.41548454761505127,0.24929828941822052,0.5116966962814331,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
california,0.1811584085226059,0.20727038383483887,0.2426064908504486,0.1549016237258911,0.11107098311185837,0.24929828941822052,0.2983402609825134,1.0,0.2772824168205261,0.1106390729546547,0.20697450637817383,1.0,0.2441616654396057,0.2750805914402008,0.33969607949256897,0.3858724534511566,0.1409905105829239
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.29795366525650024,0.31810495257377625,0.5116966962814331,0.24232792854309082,0.2441616654396057,0.4954058527946472,0.3051023781299591,0.48971283435821533,0.2441616654396057,1.0,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.31775903701782227,0.2901651859283447,0.733189046382904,0.3282862603664398,0.2750805914402008,0.6662389636039734,0.2734622061252594,0.535392165184021,0.2750805914402008,0.5171257257461548,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.2732578217983246,0.24764922261238098,0.20084956288337708,0.3187655806541443,0.2923206686973572,0.33969607949256897,0.3938477039337158,0.1349763423204422,0.2715383470058441,0.33969607949256897,0.28213179111480713,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.24708621203899384,0.20306000113487244,0.21467269957065582,0.30884552001953125,0.29004350304603577,0.3858724534511566,0.3977442979812622,0.15659299492835999,0.2828785181045532,0.3858724534511566,0.2974761426448822,0.3463578522205353,0.8952266573905945,1.0,0.16272737085819244
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.3054012954235077,0.22653226554393768,0.5352458953857422,0.26629969477653503,0.2870451807975769,0.5591574311256409,0.23840641975402832,0.4645031690597534,0.2870451807975769,0.588965117931366,0.5934505462646484,0.3406063914299011,0.33941102027893066,0.4130953550338745
