,when,was,the,merger,between,itt,and,abc,officially,canceled,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2557354271411896,0.39067012071609497,0.2516029179096222,0.5171257257461548,0.2068762183189392,0.36343514919281006,0.24497857689857483,0.22068053483963013
merger,0.11291089653968811,0.23289446532726288,0.2557354271411896,1.0000001192092896,0.15942129492759705,0.22005751729011536,0.16802267730236053,0.07602907717227936,0.261674165725708,0.22305640578269958,0.1345871090888977
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.23289446532726288,0.24048170447349548,0.25572720170021057,0.3740963041782379,0.21565799415111542,0.4353274703025818,0.35665977001190186,0.18412111699581146
suspended,0.27219924330711365,0.2645036280155182,0.28768354654312134,0.16095931828022003,0.12867797911167145,0.15403588116168976,0.2007519155740738,0.10476165264844894,0.3398177921772003,0.3951767385005951,0.13118882477283478
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.25569602847099304,0.27714940905570984,0.23605763912200928,0.6633074283599854,0.2097204476594925,0.27735915780067444,0.24571475386619568,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.16802267730236053,0.40645647048950195,0.19525663554668427,1.0,0.16453155875205994,0.18821144104003906,0.2440541386604309,0.20544172823429108
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.20794767141342163,0.29385313391685486,0.18278837203979492,0.3739250600337982,0.21331243216991425,0.2489907592535019,0.2089352160692215,0.23916715383529663
complaint,0.2560952603816986,0.2453518956899643,0.2516179382801056,0.1747172623872757,0.16134434938430786,0.14083628356456757,0.16165614128112793,0.18032395839691162,0.20811279118061066,0.2807474434375763,0.29882416129112244
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.23289446532726288,0.24048170447349548,0.25572720170021057,0.3740963041782379,0.21565799415111542,0.4353274703025818,0.35665977001190186,0.18412111699581146
filed,0.17985990643501282,0.27742746472358704,0.16002413630485535,0.20657643675804138,0.15048418939113617,0.2896163761615753,0.13030290603637695,0.19482725858688354,0.2595003843307495,0.3161025047302246,0.24084022641181946
