,how,significant,was,the,transfer,of,disease,through,fleas,?
in,0.2601168751716614,0.3551969528198242,0.45514053106307983,0.6662389636039734,0.23500178754329681,0.5696388483047485,0.2769028842449188,0.38533157110214233,0.22842636704444885,0.20430970191955566
addition,0.24312371015548706,0.3456170856952667,0.2078816294670105,0.32955414056777954,0.2396487444639206,0.27503931522369385,0.18331143260002136,0.2040313184261322,0.21732251346111298,0.19187232851982117
to,0.44169697165489197,0.27648770809173584,0.3636345863342285,0.535392165184021,0.29975026845932007,0.41548454761505127,0.261801153421402,0.4062686562538147,0.344497412443161,0.29463258385658264
arguing,0.30051472783088684,0.17130637168884277,0.20140673220157623,0.2737332284450531,0.10463228821754456,0.24923518300056458,0.11527685075998306,0.1353655606508255,0.2005048543214798,0.2956003248691559
that,0.557814359664917,0.3640194833278656,0.33670201897621155,0.5473989248275757,0.3066730201244354,0.41498205065727234,0.2282186597585678,0.3152649402618408,0.31050369143486023,0.32716336846351624
the,0.33890387415885925,0.35524800419807434,0.48711544275283813,1.0,0.2638886570930481,0.733189046382904,0.22720423340797424,0.44071322679519653,0.25670117139816284,0.22068053483963013
rat,0.17446976900100708,0.09012510627508163,0.16971394419670105,0.20352445542812347,0.10744816064834595,0.17492276430130005,0.1646362543106079,0.17385165393352509,0.3923620581626892,0.1439226120710373
population,0.1651063710451126,0.2773532569408417,0.1935066133737564,0.32044094800949097,0.1881687045097351,0.3060894012451172,0.26670801639556885,0.15261656045913696,0.21733003854751587,0.14449454843997955
was,0.16678167879581451,0.187061607837677,1.0000001192092896,0.48711544275283813,0.12057474255561829,0.4069072902202606,0.1844245046377182,0.21752823889255524,0.13780154287815094,0.18412111699581146
insufficient,0.3451315462589264,0.476898193359375,0.1773374229669571,0.28354156017303467,0.28197211027145386,0.24200928211212158,0.1729808747768402,0.22720570862293243,0.21979275345802307,0.30383768677711487
to,0.44169697165489197,0.27648770809173584,0.3636345863342285,0.535392165184021,0.29975026845932007,0.41548454761505127,0.261801153421402,0.4062686562538147,0.344497412443161,0.29463258385658264
