,where,did,tesla,work,with,edison,?
tesla,0.12761090695858002,0.09757418930530548,0.9999999403953552,0.2545209228992462,0.16424812376499176,0.35526686906814575,0.10250775516033173
gained,0.13548526167869568,0.2939504086971283,0.2018451988697052,0.156564861536026,0.22814740240573883,0.0973464623093605,0.11261032521724701
experience,0.22362922132015228,0.2411177009344101,0.23926784098148346,0.35909560322761536,0.2553955614566803,0.09411590546369553,0.25203612446784973
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.2753349542617798,0.4080928862094879,0.22187061607837677,0.20430970191955566
telephony,0.21644844114780426,0.15577323734760284,0.3377399444580078,0.2415921837091446,0.2150789499282837,0.3022801876068115,0.14779767394065857
and,0.43859338760375977,0.34479495882987976,0.19560420513153076,0.37551814317703247,0.5477725267410278,0.13864636421203613,0.20544172823429108
electrical,0.24192504584789276,0.12294142693281174,0.45727142691612244,0.23701360821723938,0.1801341325044632,0.37905892729759216,0.10923371464014053
engineering,0.22602170705795288,0.14655107259750366,0.31800028681755066,0.2970539927482605,0.17486169934272766,0.20784735679626465,0.16555240750312805
before,0.37386465072631836,0.33642593026161194,0.14506052434444427,0.21733282506465912,0.32654517889022827,0.17299823462963104,0.2507109045982361
emigrating,0.3140077292919159,0.17718683183193207,0.23259085416793823,0.3024757504463196,0.23471780121326447,0.14764100313186646,0.14666429162025452
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.3482864499092102,0.4239959120750427,0.21176284551620483,0.29463258385658264
the,0.5003893971443176,0.34736719727516174,0.1324402391910553,0.2704800069332123,0.4223487675189972,0.25419825315475464,0.22068053483963013
united,0.23721055686473846,0.21137088537216187,0.1552019715309143,0.13603049516677856,0.19869105517864227,0.2525595724582672,0.17266890406608582
states,0.24649012088775635,0.21754568815231323,0.17635658383369446,0.14620256423950195,0.21424104273319244,0.269476056098938,0.16272737085819244
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.2753349542617798,0.4080928862094879,0.22187061607837677,0.20430970191955566
1884,0.03221607208251953,-0.019103914499282837,0.029632732272148132,-0.019513612613081932,0.027040107175707817,-0.1515403389930725,-0.08445221930742264
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.3482864499092102,0.4239959120750427,0.21176284551620483,0.29463258385658264
work,0.2737104296684265,0.336654931306839,0.2545209228992462,1.0,0.2649822533130646,0.20589876174926758,0.2621155381202698
for,0.38599511981010437,0.318512886762619,0.13983871042728424,0.4087657630443573,0.39140474796295166,0.1954379379749298,0.264628142118454
thomas,0.12281821668148041,0.20728807151317596,0.21892967820167542,0.18902532756328583,0.1763175129890442,0.4682042896747589,0.16133050620555878
edison,0.1765860617160797,0.1372239738702774,0.35526686906814575,0.20589876174926758,0.17097458243370056,0.9999999403953552,0.10244420915842056
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.2753349542617798,0.4080928862094879,0.22187061607837677,0.20430970191955566
new,0.26026442646980286,0.227974995970726,0.15999311208724976,0.2501217722892761,0.24325589835643768,0.31342771649360657,0.14782847464084625
york,0.21910661458969116,0.16606222093105316,0.15629629790782928,0.21467359364032745,0.18072271347045898,0.33205801248550415,0.15262620151042938
city,0.2686662971973419,0.12266099452972412,0.13220614194869995,0.12649786472320557,0.19554263353347778,0.1856289952993393,0.13423943519592285
.,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.33121398091316223,0.4446153938770294,0.2391979843378067,0.4130953550338745
